#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000018 CALCULE LE 19/09/2026 A 13:02:30 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,1       ,   2.0000000000000000E+00,   0.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,2       ,   7.2500000000000000E+00,   0.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,3       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,4       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.7894769256997599E-03,   6.7912571322203174E-03,  -6.4418134092666011E-08,  -1.2920002890233469E-03,   4.5478179755714584E-04,   6.7912518008261891E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,5       ,   2.7500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.2105316788461364E-03,   1.2839720094635951E-02,  -5.4747282122181550E-04,  -1.7765003974070871E-03,   8.8847424705829038E-04,   9.3379588398821416E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,6       ,   3.0000000000000000E+00,   2.5000000000000000E-01,   0.0000000000000000E+00,   3.1862249905551233E-03,   1.5757825230643504E-02,  -1.2486658547279873E-03,  -1.9649929041195076E-03,   8.6632361333421773E-04,   1.0131128538715206E-02
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,7       ,   3.0000000000000000E+00,   5.5000000000000004E-01,   0.0000000000000000E+00,   2.2160031267885573E-04,   1.6330175580911613E-02,  -1.8467971409922774E-03,  -2.0070017147353499E-03,   8.2980018918006973E-04,   9.3430016331871747E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,8       ,   3.2500000000000000E+00,   8.0000000000000004E-01,   0.0000000000000000E+00,  -1.4211405777634911E-03,   1.8723150955417659E-02,  -2.5460897880629431E-03,  -1.9703555439061567E-03,   7.6582265481577646E-04,   6.4873560373629171E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,9       ,   4.7500000000000000E+00,   8.0000000000000004E-01,   0.0000000000000000E+00,   1.4209670783175616E-03,   1.8723152676271899E-02,  -3.1743651085321327E-03,  -1.6800699548308749E-03,  -2.7540366129525261E-05,  -6.4873537941337271E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,10      ,   5.0000000000000000E+00,   5.5000000000000004E-01,   0.0000000000000000E+00,  -2.2177326602549450E-04,   1.6330177854588783E-02,  -2.7382958505461617E-03,  -1.5841897724001941E-03,  -3.1786245626550056E-04,  -9.3429994863737792E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,11      ,   5.0000000000000000E+00,   2.5000000000000000E-01,   0.0000000000000000E+00,  -3.1863973120806405E-03,   1.5757827504389595E-02,  -2.2724797527911024E-03,  -1.5158038133233885E-03,  -5.5890815665292500E-04,  -1.0131126473541566E-02
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,12      ,   5.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -5.2105317186144744E-03,   1.2839716851977696E-02,  -1.7201383441017338E-03,  -1.3410508649785487E-03,  -8.3467560510680863E-04,  -9.3379568919648593E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,13      ,   7.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.4210547937506413E-03,   9.5502007700179535E-04,  -1.0948050799605616E-07,  -3.6574114499415172E-04,  -2.5969195803064027E-04,  -2.5467065787660209E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,14      ,   8.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,15      ,   2.7745042850999999E+00,   1.2038183320000004E-03,   0.0000000000000000E+00,   5.2492800251250950E-03,   1.3072051107003199E-02,  -5.7152100551941811E-04,  -1.7922605316353668E-03,   8.9146162300633898E-04,   9.4208586402374610E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,16      ,   2.7987725804999997E+00,   4.8036798992000017E-03,   0.0000000000000000E+00,   5.2605869704417272E-03,   1.3308523576240567E-02,  -5.9972489626111247E-04,  -1.8078103599044584E-03,   8.9370035560481685E-04,   9.5028562662674686E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,17      ,   2.8225711692999997E+00,   1.0764916067000004E-02,   0.0000000000000000E+00,   5.2488515093799632E-03,   1.3547145178804685E-02,  -6.3189178555306778E-04,  -1.8230404273282218E-03,   8.9505371649207198E-04,   9.5830906791658215E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,18      ,   2.8456708581000001E+00,   1.9030116872000003E-02,   0.0000000000000000E+00,   5.2130024916741827E-03,   1.3785325050846472E-02,  -6.6776105879599098E-04,  -1.8378548528315804E-03,   8.9556872910575170E-04,   9.6607031912870154E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,19      ,   2.8678491842000002E+00,   2.9519683913000003E-02,   0.0000000000000000E+00,   5.1531820098587519E-03,   1.4020607029890469E-02,  -7.0703183679943888E-04,  -1.8521696686219530E-03,   8.9531462574496889E-04,   9.7348593438651432E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,20      ,   2.8888925583000002E+00,   4.2132596924000010E-02,   0.0000000000000000E+00,   5.0696534023627286E-03,   1.4250474179894446E-02,  -7.4936740816614088E-04,  -1.8659126910952728E-03,   8.9436993240626602E-04,   9.8047578939569613E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,21      ,   2.9085983209999999E+00,   5.6747386659000004E-02,   0.0000000000000000E+00,   4.9629864815282174E-03,   1.4472438860274942E-02,  -7.9439838355355012E-04,  -1.8790242066626522E-03,   8.9281973953423495E-04,   9.8696385959392841E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,22      ,   2.9267766953000001E+00,   7.3223304703000008E-02,   0.0000000000000000E+00,   4.8340287047967780E-03,   1.4684065626187313E-02,  -8.4172607905602225E-04,  -1.8914574619522710E-03,   8.9075360352650350E-04,   9.9287895295017518E-03
