#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000019 CALCULE LE 15/09/2026 A 20:20:16 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,1       ,   2.0000000000000000E+00,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.9444730971178406E-14,   0.0000000000000000E+00,   6.4418134271271299E+02, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,2       ,   7.2500000000000000E+00,   0.0000000000000000E+00,  -1.0000000000000000E+00,   6.7037476977071389E-14,   0.0000000000000000E+00,   1.0948050821468769E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,3       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.9564029613180223E+03,  -3.3448844084850154E-05,  -6.7335917520000791E+01,   1.3055549367196875E+02,   8.1455228260884681E+01,  -8.9225299146346435E+02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,4       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -6.0631464293692261E-09,   7.4042930827241315E-10,   5.3717963055532891E-07,  -1.1368683772161603E-13,  -1.5347723092418164E-12,   1.9758772396016866E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,5       ,   2.7500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   4.0674876800039783E-08,  -1.8051731094355459E-09,   1.6329959606764533E-09,  -1.5802470443304628E-10,  -6.7707617290579947E-11,   9.7350039141019806E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,6       ,   3.0000000000000000E+00,   2.5000000000000000E-01,   0.0000000000000000E+00,  -4.9440131988376379E-09,  -1.2712167213161269E-07,  -1.6387620149771465E-09,  -3.0463809252978535E-10,   9.0121687890132307E-11,   3.5312552881805459E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,7       ,   3.0000000000000000E+00,   5.5000000000000004E-01,   0.0000000000000000E+00,   1.0362782632000744E-08,   2.5954407144450521E-07,  -8.4433704472530735E-10,  -3.5014657839838037E-10,   4.9045212335840915E-11,  -2.5147528504021466E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,8       ,   3.2500000000000000E+00,   8.0000000000000004E-01,   0.0000000000000000E+00,   1.6307694750139490E-08,  -1.1956041810453813E-07,  -6.9085359655218781E-09,   2.9155700076444191E-10,  -6.4147798184421845E-11,   8.8402885012328625E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,9       ,   4.7500000000000000E+00,   8.0000000000000004E-01,   0.0000000000000000E+00,  -1.1991687642876059E-09,   2.7197322647518312E-08,  -1.4047895291469104E-08,   1.8104628907167353E-11,   1.0626877156028058E-10,   9.4678398454561830E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,10      ,   5.0000000000000000E+00,   5.5000000000000004E-01,   0.0000000000000000E+00,   6.2664184952154756E-09,  -1.2250530687872010E-07,   6.5731420306747168E-11,  -5.7818283494270872E-10,  -5.5024429457262158E-11,  -2.9922375688329339E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,11      ,   5.0000000000000000E+00,   2.5000000000000000E-01,   0.0000000000000000E+00,  -1.7367256077704951E-08,   1.8500073307692154E-07,  -1.2543921457108809E-10,   9.6832764029386453E-11,   4.4479975258582272E-11,  -2.4847679469530703E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,12      ,   5.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -4.2763076635310426E-08,  -1.8136001627275846E-07,  -8.9415408410786767E-10,  -2.0109780507482355E-10,  -1.4944134818506427E-10,   2.9172042559366673E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,13      ,   7.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -5.3069015848450363E-09,  -7.0819382243280174E-10,   5.5620716921112034E-09,  -6.1106675275368616E-13,   8.0149220593739301E-12,   1.5620571502950042E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,14      ,   8.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -3.9564029595952352E+03,   3.6635833114684720E-05,  -6.5573829815308261E+02,   9.8554190008647268E+01,  -1.6531092029744806E+02,   8.9225270896798190E+02
