#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000016 CALCULE LE 21/09/2026 A 09:53:18 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,1       ,   3.2999999999999998E+00,   3.2999999999999998E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,2       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,3       ,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.4623254159539896E-03,  -1.1349538539540925E-03,  -1.6846849065310580E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,4       ,   3.2999999999999998E+00,   3.0000000000000004E-01,   0.0000000000000000E+00,   1.0290810067965837E-03,  -1.0434738993266006E-04,   2.1471286637192019E-03,   5.9783837046379967E-03,  -1.3437261188309559E-03,  -1.7660880395271193E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,5       ,   3.2999999999999998E+00,   3.2999999999999998E+00,   0.0000000000000000E+00,   3.2360841220030619E-03,   4.4727189641851454E-03,  -8.1990149623047434E-06,  -1.4550930767299266E-02,  -1.4598818505735631E-03,  -1.3687428875583992E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,6       ,   3.2999999999999998E+00,   3.6000000000000001E+00,   3.0000000000000004E-01,   2.8338229627274964E-03,   8.9847292942145246E-03,  -4.0781571791614676E-03,  -1.0572073025261549E-02,  -1.4575838933198594E-03,  -1.0698532082813780E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,7       ,   3.2999999999999998E+00,   3.6000000000000001E+00,   3.2999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,8       ,   3.0294051420999999E+00,   1.4445819983000005E-03,   0.0000000000000000E+00,   5.1738637470465275E-05,  -4.9600093894913626E-05,   4.2438649611188737E-05,   5.5152059546736305E-03,  -1.1707702456355037E-03,  -1.7436284515337803E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,9       ,   3.0585270966000002E+00,   5.7644158790000006E-03,   0.0000000000000000E+00,   1.0374125834072282E-04,  -9.5768627841320324E-05,   1.0142844509913228E-04,   5.5664946830168158E-03,  -1.2025044830600005E-03,  -1.7951998936076789E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,10      ,   3.0870854032000001E+00,   1.2917899280000002E-02,   0.0000000000000000E+00,   1.6102533033077196E-04,  -1.3773194864718594E-04,   1.7664295848058615E-04,   5.6157533890229495E-03,  -1.2299115264541474E-03,  -1.8376852799603593E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,11      ,   3.1148050296999998E+00,   2.2836140247000002E-02,   0.0000000000000000E+00,   2.2235129647695136E-04,  -1.7495093990391901E-04,   2.6747288981875128E-04,   5.6626047086550998E-03,  -1.2532632889658841E-03,  -1.8711748503262905E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,12      ,   3.1414190209999999E+00,   3.5423620695000005E-02,   0.0000000000000000E+00,   2.8735685502008469E-04,  -2.0672188666773407E-04,   3.7312494484112175E-04,   5.7067274084156745E-03,  -1.2728957375711019E-03,  -1.8959916542873106E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,13      ,   3.1666710699000000E+00,   5.0559116309000007E-02,   0.0000000000000000E+00,   3.5540935940638334E-04,  -2.3246378134736935E-04,   4.9263792329143168E-04,   5.7478516596102484E-03,  -1.2891630853452359E-03,  -1.9125547115089558E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,14      ,   3.1903179852000001E+00,   6.8096863991000012E-02,   0.0000000000000000E+00,   4.2580963866268055E-04,  -2.5167967248855121E-04,   6.2489350725108777E-04,   5.7857563427593517E-03,  -1.3024267962161390E-03,  -1.9213635894761562E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,15      ,   3.2121320344000002E+00,   8.7867965644000012E-02,   0.0000000000000000E+00,   4.9778020897720682E-04,  -2.6398363298404579E-04,   7.6862818973608940E-04,   5.8202656610144461E-03,  -1.3130483589913833E-03,  -1.9229926230482110E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,16      ,   3.2319031360000001E+00,   1.0968201475000000E-01,   0.0000000000000000E+00,   5.7049028751833335E-04,  -2.6910855657220586E-04,   9.2244676743580842E-04,   5.8512447985562318E-03,  -1.3213834319100882E-03,  -1.9180853005697205E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,17      ,   3.2494408837000002E+00,   1.3332893008999999E-01,   0.0000000000000000E+00,   6.4307672205052139E-04,  -2.6691286351584602E-04,   1.0848373067049487E-03,   5.8785948427196311E-03,  -1.3277772963224809E-03,  -1.9073480596859635E-03
