#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000015 CALCULE LE 19/09/2026 A 13:03:39 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,1       ,                        1,   3.2999999999999998E+00,   2.2999999999999998E+00,  -1.0000000000000000E+00,  -9.1670281926470314E+04,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,5       ,                        1,   3.2999999999999998E+00,   2.2999999999999998E+00,   0.0000000000000000E+00,  -9.1670281926470314E+04,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,2       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -6.6304337006232515E+05,  -1.2453006431745284E+03,   2.2461691760478448E+02,   8.6692342919676582E+02,  -5.7221691705294504E+01,  -1.0756191634884026E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,3       ,                        1,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -6.6304337006232305E+05,  -9.1076720651392452E+02,  -1.0991651905568895E+02,   8.6692342919676435E+02,   1.1482890611834674E+02,   2.1584826110443510E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,38      ,                        1,   1.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -6.6304337006232410E+05,  -1.0780339248442265E+03,   5.7350199274547769E+01,   8.6692342919676503E+02,   2.8803607206526117E+01,   5.4143172377797418E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,4       ,                        1,   3.2999999999999998E+00,   3.0000000000000004E-01,   0.0000000000000000E+00,  -6.6020117909798773E+03,   3.4929550316122413E+03,  -4.0012039488327400E+03,   8.9294996165741892E+01,  -1.5614147690707523E+02,  -8.0949500852653546E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,5       ,                        1,   3.2999999999999998E+00,   2.2999999999999998E+00,   0.0000000000000000E+00,  -6.6020117909798209E+03,   3.7074887007853349E+03,  -4.2324034069924619E+03,   8.9294996165745374E+01,  -8.3897488327318533E+03,  -8.0099387409242927E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,39      ,                        1,   3.2999999999999998E+00,   1.3000000000000000E+00,   0.0000000000000000E+00,  -6.6020117909798482E+03,   3.6002218661987881E+03,  -4.1168036779126014E+03,   8.9294996165743640E+01,  -4.2729451548194647E+03,  -4.4097168747254145E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,6       ,                        1,   3.2999999999999998E+00,   2.6000000000000001E+00,   3.0000000000000004E-01,  -8.5971697606612201E+04,   4.5543843164456093E+03,  -4.7822702975953607E+03,   1.1655886585491515E+02,   8.5111687703100251E+03,   8.7058167592728078E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,7       ,                        1,   3.2999999999999998E+00,   2.6000000000000001E+00,   3.2999999999999998E+00,  -8.5498595883419854E+04,   4.5543843164457558E+03,  -4.7822702975958709E+03,   1.1655886585493096E+02,  -5.8356421224771348E+03,  -4.9573361900642176E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,40      ,                        1,   3.2999999999999998E+00,   2.6000000000000001E+00,   1.8000000000000000E+00,  -8.5735146745016027E+04,   4.5543843164456830E+03,  -4.7822702975956163E+03,   1.1655886585492306E+02,   1.3377633239164447E+03,   1.8742402846042953E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,3       ,                        1,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -4.8489098704836067E+02,   8.3591183423886305E+03,   9.5064511417080280E+02,   7.9280767207553197E+02,   6.1281771273961795E+01,   2.1036311953003515E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,8       ,                        1,   3.0294051420999999E+00,   1.4445819983000005E-03,   0.0000000000000000E+00,  -4.8489098704636933E+02,   8.3623993189134490E+03,   9.4736018079897462E+02,   7.9280767207517363E+02,   8.9220982980689982E+01,   1.8574854004316571E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,41      ,                        1,   3.0147025709999999E+00,   7.2229099917000032E-04,   0.0000000000000000E+00,  -4.8489098704736500E+02,   8.3607588306510406E+03,   9.4900264748488871E+02,   7.9280767207535280E+02,   7.5251377127325895E+01,   1.9805582978660041E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,6       ,8       ,                        1,   3.0294051420999999E+00,   1.4445819983000005E-03,   0.0000000000000000E+00,  -1.1281119509232394E+03,   8.3084602304847303E+03,   8.7131221445557571E+02,   6.5414161974030844E+02,   1.4411902915403167E+02,   1.9073768551749004E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,6       ,9       ,                        1,   3.0585270966000002E+00,   5.7644158790000006E-03,   0.0000000000000000E+00,  -1.1281119509181826E+03,   8.3117332694934303E+03,   8.6801937223863865E+02,   6.5414161974087870E+02,   1.6972251590187517E+02,   1.6627225826492609E+03
