#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000018 CALCULE LE 13/09/2026 A 00:19:06 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.6304337006232422E+05,  -6.8646764248295909E+01,   1.8373304318620981E+02,   4.0411827841722504E+02,  -6.5575807501529241E+01,  -6.8492994016856215E+01
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,2       ,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -6.6298743172855803E+05,   9.8213033294449929E+02,   1.2736628474425759E+03,  -5.2733639677171595E-10,  -2.8080648917239159E-11,   1.1368683772161603E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,3       ,   3.2999999999999998E+00,   3.0000000000000004E-01,   0.0000000000000000E+00,  -1.1767786189942342E-08,   8.8775095781479241E-08,   2.3312509256356861E-08,   1.3918963759351755E-09,  -4.8544279707130045E-11,   1.1445422387623694E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,4       ,   3.2999999999999998E+00,   2.2999999999999998E+00,   0.0000000000000000E+00,  -1.5372421724446639E-08,   1.7232275692155574E-07,   7.1858764272292319E-08,   1.0072653822135180E-09,   1.5494094895984745E-10,   2.3374013835564256E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,5       ,   3.2999999999999998E+00,   2.6000000000000001E+00,   3.0000000000000004E-01,  -2.7502551288444144E-08,  -1.9975163922936190E-07,  -9.0157359977638407E-07,  -2.5011104298755527E-11,   1.0163603292312473E-10,  -6.4005689637269825E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,6       ,   3.2999999999999998E+00,   2.6000000000000001E+00,   3.2999999999999998E+00,  -5.5938333847746208E+01,  -9.1348357121694039E+02,  -4.7221689806596615E+01,  -1.4626112124421904E+03,   1.2144699987030856E+02,  -8.8418954431492160E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,7       ,   3.0294051420999999E+00,   1.4445819983000005E-03,   0.0000000000000000E+00,  -2.5145034412282774E-08,  -3.6422986293693782E-09,  -1.1453347159573468E-09,  -5.5774762586224824E-10,  -5.8605564845493063E-11,   1.3287149158713873E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,8       ,   3.0585270966000002E+00,   5.7644158790000006E-03,   0.0000000000000000E+00,  -5.4205611874080795E-09,  -9.2199520240754396E-10,  -6.9895778054274160E-10,   3.8096459320513532E-10,   1.5177192835835740E-10,  -6.1945115703565534E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,9       ,   3.0870854032000001E+00,   1.2917899280000002E-02,   0.0000000000000000E+00,  -1.0120231111465650E-08,   1.2167885032887682E-09,   3.2557372353636538E-09,   3.2571279007242993E-11,   1.6459011931146961E-10,  -1.6697754290362354E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,10      ,   3.1148050296999998E+00,   2.2836140247000002E-02,   0.0000000000000000E+00,  -4.7807929726140230E-08,  -1.2996452525282365E-08,   6.4745662164966689E-09,   1.4432544048759155E-10,  -1.7348611436318606E-10,   1.0771827874123119E-11
