#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000016 CALCULE LE 19/09/2026 A 13:07:47 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,1       ,   3.7000000000000002E+00,   1.7000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,2       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,3       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.0496618724104396E-03,  -1.5015145370390595E-03,  -1.0209174300205061E-03,   1.9591738574649680E-04,   7.0386188695290052E-04,   5.5783663922918530E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,4       ,   2.2000000000000002E+00,   2.0000000000000001E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.1179761265434614E-03,   2.2560531930769715E-04,   6.8603046477832088E-04,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,5       ,   2.2000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.7170041186485390E-03,   1.7795113413382200E-03,  -6.4404525347702647E-04,   3.7927606667417183E-04,   5.5485124245873102E-04,  -1.7103375546830809E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,6       ,   3.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   3.5248699009936021E-03,  -7.8599499068649642E-04,  -6.5258550622651866E-08,   3.7927523981134324E-04,  -1.0961247927512212E-03,  -1.7103375546831878E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,7       ,   4.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   4.7276275558435108E-03,   0.0000000000000000E+00,  -1.8545176452213019E-01, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,8       ,   6.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -1.4459068828757337E-03,   0.0000000000000000E+00,  -1.7431401319534000E-03,   0.0000000000000000E+00,  -2.1114839337214482E-03,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,9       ,   7.9000000000000004E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       13,10      ,   2.3875000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.9429873414416941E-03,   1.4588230498351351E-03,  -7.2494957913148107E-04,   3.7927616422787198E-04,   3.0235100025498561E-04,  -1.7103375546831353E-03
