#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000015 CALCULE LE 15/09/2026 A 20:19:13 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,1       ,1       ,                        1,   3.7000000000000002E+00,   1.7000000000000000E+00,  -1.0000000000000000E+00,  -6.5258550785429748E+02,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,1       ,6       ,                        1,   3.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -6.5258550785429748E+02,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,2       ,2       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.7043807490007533E+05,   6.2942713686419247E+03,   4.3916641642694282E+02,   4.5105149927669778E+01,  -4.9260996442225064E+02,   4.6244581046893436E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,2       ,3       ,                        1,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.7043807490007527E+05,   6.2942713686419447E+03,   1.2475504893893302E+02,   4.5105149927669594E+01,   7.1311500943622946E+01,  -7.9640846325945258E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,2       ,46      ,                        1,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.7043807490007527E+05,   6.2942713686419338E+03,   2.8196073268293793E+02,   4.5105149927669686E+01,  -2.1064923173931388E+02,  -1.6698132639525916E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,3       ,4       ,                        1,   2.2000000000000002E+00,   2.0000000000000001E-01,   0.0000000000000000E+00,  -3.5590226826763592E+02,   9.1122211976517599E+02,   7.5387258267531948E+01,  -4.0267710920265436E+01,   9.3251572512711505E+01,   1.3668331796477942E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,3       ,5       ,                        1,   2.2000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -3.5590226826764678E+02,   9.1122211976517451E+02,  -1.6042126734847898E+02,  -4.0267710920265344E+01,   2.9476065702001257E+01,   3.2969182939268649E-11
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,3       ,47      ,                        1,   2.2000000000000002E+00,   9.5000000000000007E-01,   0.0000000000000000E+00,  -3.5590226826764138E+02,   9.1122211976517531E+02,  -4.2517004540473515E+01,  -4.0267710920265387E+01,   6.1363819107356377E+01,   6.8341658982391368E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,4       ,5       ,                        1,   2.2000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.0829214000729455E+03,   2.5579538487363607E-12,  -2.5337627531113110E+01,   1.3129010682441655E-20,  -4.0500669706625352E+01,  -3.1924685117701301E-11
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       13,4       ,10      ,                        1,   2.3875000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.0829214000729455E+03,   2.5579538487363607E-12,  -2.5337627531113110E+01,   1.3129010682441655E-20,  -4.5251474868708605E+01,  -2.9444890969898552E-11
