#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000017 CALCULE LE 15/09/2026 A 20:19:13 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,1       ,   3.7000000000000002E+00,   1.7000000000000000E+00,  -1.0000000000000000E+00,   3.9959337668185767E-14,   0.0000000000000000E+00,   6.5258550785429748E+02, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,2       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.7043807490007544E+05,   6.2942713686419283E+03,   4.3916641642694316E+02,  -4.5105149927669771E+01,  -5.4501185900358564E+02,   4.6244581046893400E+03
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,3       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.8044374883174896E-09,   2.0463630789890885E-11,   4.5169201712269569E-11,   1.7976731214730535E-12,  -2.1316282072803006E-13,  -1.8189894035458565E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,4       ,   2.2000000000000002E+00,   2.0000000000000001E-01,   0.0000000000000000E+00,  -2.7134929701984045E+05,  -8.1906409056241919E+03,   4.5474735088646412E-13,   1.0089706847793423E-12,  -2.3447910280083306E-13,  -4.3047388532993995E+04
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,5       ,   2.2000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.8189894035458565E-12,  -4.3200998334214091E-12,  -6.3948846218409017E-14,  -1.0072737586661163E-13,   5.7898130734201914E-14,  -7.2061800970857348E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,6       ,   3.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -3.8653524825349450E-12,   4.3200998334214091E-12,   1.4984243534854613E-07,  -9.7408788934244539E-21,   0.0000000000000000E+00,   4.1211478674085811E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,7       ,   4.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -1.8169087130468142E-01,   0.0000000000000000E+00,  -1.1333303730950206E-02, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,8       ,   6.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   2.9816395191073752E-01,   0.0000000000000000E+00,   3.3345468774935938E-02,   0.0000000000000000E+00,   4.1633363423443370E-16,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,9       ,   7.9000000000000004E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.0829214000729457E+03,   0.0000000000000000E+00,   2.2564000559999573E+02,   0.0000000000000000E+00,   2.0977727472000294E+02,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,10      ,   2.3875000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -3.6379788070917130E-12,   5.7980287238024175E-12,  -1.7763568394002505E-15,   1.8211208365967457E-20,   0.0000000000000000E+00,  -2.0605739337042905E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,11      ,   2.5750000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -2.2737367544323206E-13,   6.8212102632969618E-13,   0.0000000000000000E+00,  -1.1434944787933055E-20,   0.0000000000000000E+00,   7.8159700933611020E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,12      ,   2.7625000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   6.8212102632969618E-13,  -1.9326762412674725E-12,   1.7763568394002505E-15,  -1.9058241313221758E-21,   0.0000000000000000E+00,   8.5265128291212022E-14
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,13      ,   2.9500000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -4.5474735088646412E-13,  -4.7748471843078732E-12,  -3.5527136788005009E-15,   2.3716922523120409E-20,   0.0000000000000000E+00,  -1.4210854715202004E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,14      ,   3.1375000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -8.4128259913995862E-12,   2.2737367544323206E-13,   3.5527136788005009E-15,  -6.9880218148479778E-21,   0.0000000000000000E+00,  -6.7146288529329468E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,15      ,   3.3250000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   4.7748471843078732E-12,  -1.5916157281026244E-12,  -3.5527136788005009E-15,  -2.2658131339052534E-20,   0.0000000000000000E+00,  -4.2987835513486061E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,16      ,   3.5125000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.4324541552923620E-11,  -1.7053025658242404E-13,   3.5527136788005009E-15,   2.3928680759933985E-20,   0.0000000000000000E+00,   2.0250467969162855E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,17      ,   6.8499999999999996E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -5.0476955948397517E-11,   0.0000000000000000E+00,  -3.5527136788005009E-15,   0.0000000000000000E+00,   1.6653345369377348E-15,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,18      ,   7.0000000000000000E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   5.7980287238024175E-11,   0.0000000000000000E+00,   3.5527136788005009E-15,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,19      ,   7.1500000000000004E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -6.5710992203094065E-11,   0.0000000000000000E+00,  -3.5527136788005009E-15,   0.0000000000000000E+00,   1.6098233857064770E-14,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,20      ,   7.2999999999999998E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   4.7066350816749036E-11,   0.0000000000000000E+00,  -3.5527136788005009E-15,   0.0000000000000000E+00,  -1.6098233857064770E-14,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,21      ,   7.4500000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -4.7748471843078732E-12,   0.0000000000000000E+00,  -3.5527136788005009E-15,   0.0000000000000000E+00,   1.8873791418627661E-15,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,22      ,   7.5999999999999996E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -6.1390892369672656E-12,   0.0000000000000000E+00,  -3.5527136788005009E-15,   0.0000000000000000E+00,  -1.8873791418627661E-15,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,23      ,   7.7500000000000000E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.5527136788005009E-15,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,24      ,   4.9500000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   6.0869567506415478E-02,   0.0000000000000000E+00,   3.2495226350661710E-03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,25      ,   5.2000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -2.3537407670005450E+00,   0.0000000000000000E+00,  -1.9665186929344003E-01, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,26      ,   5.4500000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   2.3243633186259558E+00,   0.0000000000000000E+00,   1.9263987166390706E-01, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,27      ,   5.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -1.4925108165698475E-02,   0.0000000000000000E+00,  -3.8708192138088293E-03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,28      ,   5.9500000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.2820774862575490E-02,   0.0000000000000000E+00,   2.3710436904167409E-04, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,29      ,   6.2000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -5.0640495567677135E-02,   0.0000000000000000E+00,  -6.0303865009458946E-03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,30      ,   6.4500000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -9.5220370848437597E-02,   0.0000000000000000E+00,  -1.1585588704015493E-02, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,31      ,   2.0196034280999999E+00,   9.6305466556000042E-04,   0.0000000000000000E+00,  -1.2805685400962830E-09,  -1.3824319466948509E-10,  -1.1201573002495024E-10,   7.2262196226802189E-12,  -2.8443025712476810E-11,   7.2759576141834259E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,32      ,   2.0390180644000000E+00,   3.8429439194000012E-03,   0.0000000000000000E+00,  -1.4551915228366852E-09,  -5.0567905418574810E-10,   1.1839196289997744E-10,  -4.8174797484534793E-12,   3.6983749396313215E-12,  -1.3642420526593924E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,33      ,   2.0580569354999998E+00,   8.6119328536000024E-03,   0.0000000000000000E+00,  -9.8953023552894592E-10,  -8.8766682893037796E-10,   8.5975448982367197E-11,  -3.4319214137212839E-12,   8.9350749021832598E-12,   7.2759576141834259E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,34      ,   2.0765366864999999E+00,   1.5224093498000000E-02,   0.0000000000000000E+00,   1.1641532182693481E-10,  -3.2014213502407074E-10,  -1.5656098639738047E-10,  -7.7449158197850920E-13,   4.1637804315541871E-12,   9.0949470177292824E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,35      ,   2.0942793474000001E+00,   2.3615747130000003E-02,   0.0000000000000000E+00,  -6.4028427004814148E-10,  -2.6193447411060333E-10,  -2.7452706774511171E-11,   8.8817841970012523E-13,   1.2576606422953773E-11,   5.0022208597511053E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,36      ,   2.1111140466000000E+00,   3.3706077539000005E-02,   0.0000000000000000E+00,   1.1641532182693481E-09,   1.6443664208054543E-09,  -8.5107920710925100E-11,  -6.7217342802905478E-12,  -8.0149220593739301E-12,  -5.4001247917767614E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,37      ,   2.1268786567999998E+00,   4.5397909327000011E-02,   0.0000000000000000E+00,   5.8207660913467407E-10,   4.8021320253610611E-10,  -1.7913714955852811E-10,  -7.5033312896266580E-12,  -8.3062445810355712E-12,  -1.0913936421275139E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,38      ,   2.1414213562000000E+00,   5.8578643763000017E-02,   0.0000000000000000E+00,   5.8207660913467407E-10,   1.4551915228366852E-11,  -9.5961905088870481E-11,   4.5474735088646412E-12,   3.2187585929932538E-12,  -1.8189894035458565E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       13,39      ,   2.1546020907000001E+00,   7.3121343167000016E-02,   0.0000000000000000E+00,  -6.4028427004814148E-10,  -1.0331859812140465E-09,  -1.0462875010830430E-10,  -1.4352963262354024E-12,  -3.2827074392116629E-12,   3.6379788070917130E-12
