#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000002f CALCULE LE 19/09/2026 A 13:09:29 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,1       ,   2.2204460493000039E-16,   0.0000000000000000E+00,   4.5000000000000000E+00,  -1.8873354444746951E-03,   2.9169335796246451E-04,   1.1446840700729264E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,2       ,   4.0000000000000000E+00,   0.0000000000000000E+00,   4.5000000000000000E+00,   2.2482337052828421E-04,  -2.5970053511390852E-05,   1.9863081529222174E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,3       ,   8.0000000000000000E+00,   0.0000000000000000E+00,   4.5000000000000000E+00,   2.3238830195365504E-03,  -4.3195865616089968E-04,   1.7710199714311820E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,4       ,   1.2000000000000000E+01,   0.0000000000000000E+00,   4.5000000000000000E+00,   4.5085512682616694E-03,  -1.1347843486569070E-03,   1.7668190648787200E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,5       ,   1.6000000000000000E+01,   0.0000000000000000E+00,   4.5000000000000000E+00,   6.6721604656812365E-03,  -1.7445574225138111E-03,   1.6348201134488215E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,6       ,  -5.0000000000000000E+00,   0.0000000000000000E+00,   1.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,7       ,  -1.0000000000000000E+00,   0.0000000000000000E+00,   1.5000000000000000E+00,   1.9707417208000770E-03,  -4.5751567726485286E-05,  -1.4931422359061601E-03,  -6.6095038251012543E-05,  -2.1926378244407359E-04,  -2.4040362685120235E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,8       ,  -5.0000000000000000E-01,   0.0000000000000000E+00,   2.0000000000000000E+00,   1.9527245658564672E-03,  -2.1968664290177357E-05,  -1.0467415925852486E-03,  -7.8034022723755161E-05,  -6.9885356771671103E-04,  -3.1329857241035648E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,9       ,  -5.0000000000000000E-01,   0.0000000000000000E+00,   5.0000000000000000E+00,  -1.3695485838589778E-03,   2.6640673291213578E-04,   4.3514934390222030E-04,  -1.1355756212727924E-04,  -1.1066870304585756E-03,  -5.9005359014240735E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,10      ,   2.2204460493000039E-16,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.6271833430121382E-03,   2.9306281308689140E-04,   1.1445084665485481E-03,  -1.2407652464424066E-04,  -7.8066944460649507E-04,  -6.6250853301712314E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,11      ,   4.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,   3.4632460226544819E-04,  -2.4337802693019015E-05,   1.9862226560010384E-03,  -1.8113766393586551E-04,   7.0409353612986599E-05,  -9.0752385783415983E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,12      ,   8.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,   2.3211711500385206E-03,  -4.3121352165071129E-04,   1.7709114809120452E-03,  -2.3819880322748982E-04,   2.5698983879731634E-05,  -1.1361658433224846E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,13      ,   1.2000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,   4.2945830281531979E-03,  -1.2647434357197650E-03,   1.7667101483664889E-03,  -2.9525994251911253E-04,  -8.3648127872690717E-06,  -3.8543708437978373E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,14      ,   1.6000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,   6.2676618470013622E-03,  -2.7802011035890266E-03,   1.6346968394394569E-03,  -3.5232108181073484E-04,   1.1173488301656617E-04,  -1.0447021651466906E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,15      ,   1.6500000000000000E+01,   5.0000000000000000E-01,   5.5000000000000000E+00,   6.4879624155680746E-03,  -2.5421164757582766E-03,   1.3840427250151283E-03,  -3.1907248849590394E-04,   2.2965848029560246E-04,   1.5678357871445013E-04
