#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000002e CALCULE LE 18/09/2026 A 12:26:09 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,1       ,                        1,   2.2204460493000039E-16,   0.0000000000000000E+00,   4.5000000000000000E+00,  -1.7560352437852139E+03,   5.2288268760628171E+02,  -2.5239065232280287E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,10      ,                        1,   2.2204460493000039E-16,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.7560352437852139E+03,   5.2288268760628171E+02,  -2.5239065232280287E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,2       ,                        1,   4.0000000000000000E+00,   0.0000000000000000E+00,   4.5000000000000000E+00,  -8.5496921179047115E+02,   2.5302795359563171E+02,   2.4121731999609271E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,11      ,                        1,   4.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,  -8.5496921179047115E+02,   2.5302795359563171E+02,   2.4121731999609271E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,3       ,                        1,   8.0000000000000000E+00,   0.0000000000000000E+00,   4.5000000000000000E+00,  -1.0849051913677624E+03,  -2.7118694980307265E+02,   7.4513451018838168E+01, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,12      ,                        1,   8.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.0849051913677624E+03,  -2.7118694980307265E+02,   7.4513451018838168E+01, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,4       ,                        1,   1.2000000000000000E+01,   0.0000000000000000E+00,   4.5000000000000000E+00,  -1.0891651223087460E+03,  -6.2959280320768244E+01,  -3.2062655652696003E+02, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,13      ,                        1,   1.2000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.0891651223087460E+03,  -6.2959280320768244E+01,  -3.2062655652696003E+02, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,5       ,                        1,   1.6000000000000000E+01,   0.0000000000000000E+00,   4.5000000000000000E+00,  -1.2327400936455388E+03,  -3.3742343970505959E+00,  -3.6980663461537273E+02, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,14      ,                        1,   1.6000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.2327400936455388E+03,  -3.3742343970505959E+00,  -3.6980663461537273E+02, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        1,  -5.0000000000000000E+00,   0.0000000000000000E+00,   1.5000000000000000E+00,  -6.6306602658963220E+02,  -1.0184563992232278E+03,   1.0169480914864537E+03,  -3.1212501889854366E+01,  -1.1648241506626514E+03,  -1.1469676625096374E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,6       ,7       ,                        1,  -1.0000000000000000E+00,   0.0000000000000000E+00,   1.5000000000000000E+00,  -6.6306602658962208E+02,  -2.3423041789824907E+02,   2.3272211016147293E+02,  -3.1212501889854295E+01,   1.3345162526332026E+03,   1.3584059717333162E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,6       ,421     ,                        1,  -3.0000000000000000E+00,   0.0000000000000000E+00,   1.5000000000000000E+00,  -6.6306602658962720E+02,  -6.2634340856073834E+02,   6.2483510082396322E+02,  -3.1212501889854330E+01,   8.4846050985275610E+01,   1.0571915461183937E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,7       ,8       ,                        1,  -5.0000000000000000E-01,   0.0000000000000000E+00,   2.0000000000000000E+00,  -1.1250872702857509E+02,   4.8532384573269405E+02,  -4.5179470766784237E+02,  -1.7425849690728381E+01,   9.2609147599589460E+02,   9.5293005713067691E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,7       ,9       ,                        1,  -5.0000000000000000E-01,   0.0000000000000000E+00,   5.0000000000000000E+00,   7.1928853703777463E+02,   4.8532384573269474E+02,  -4.5179470766784118E+02,  -1.7425849690729372E+01,  -4.2929264700764327E+02,  -5.0304148006740627E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,7       ,422     ,                        1,  -5.0000000000000000E-01,   0.0000000000000000E+00,   3.5000000000000000E+00,   3.0338990500459971E+02,   4.8532384573269439E+02,  -4.5179470766784175E+02,  -1.7425849690728874E+01,   2.4839941449412569E+02,   2.2494428853163538E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,8       ,10      ,                        1,   2.2204460493000039E-16,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.4018333898332915E+02,  -6.1974037177678656E+02,   5.3553700251877478E+02,  -2.6946363374708035E+01,  -6.9968020273587206E+02,  -7.8508613612397585E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,8       ,11      ,                        1,   4.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.4018333898332136E+02,   2.2070750246691571E+02,  -1.8811218752396323E+02,  -2.6946363374708717E+01,  -4.8305727462590369E+00,   1.2979602495739442E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,8       ,423     ,                        1,   2.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.4018333898332526E+02,  -1.9951643465493544E+02,   1.7371240749740582E+02,  -2.6946363374708380E+01,  -3.5225538774106559E+02,  -3.8605326681411822E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,9       ,11      ,                        1,   4.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,   1.1284461461229853E+02,  -4.2876201513021078E+02,   3.6791615474084864E+02,  -2.6946363374708120E+01,  -4.8305727462593833E+00,   1.2979602495740167E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,9       ,12      ,                        1,   8.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,   1.1284461461230981E+02,   4.1168585911345906E+02,  -3.5573303530188082E+02,  -2.6946363374708309E+01,   1.9535666131681662E+01,   4.7131914529256264E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,9       ,424     ,                        1,   6.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,   1.1284461461230416E+02,  -8.5380780083758481E+00,   6.0915597194838824E+00,  -2.6946363374708213E+01,   7.3525466927111394E+00,   3.0055758512498215E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,10      ,12      ,                        1,   8.0000000000000000E+00,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.5834233519074132E+02,  -4.5907427262560662E+02,   2.9568719896588038E+02,  -2.6946363374708390E+01,   1.9535666131681353E+01,   4.7131914529256697E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,10      ,13      ,                        1,   1.2000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.5834233519080206E+02,   3.8137360161807999E+02,  -4.2796199107685754E+02,  -2.6946363374708486E+01,  -2.4501391809026649E+02,   2.0253325654429710E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,10      ,425     ,                        1,   1.0000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,  -1.5834233519077168E+02,  -3.8850335503763304E+01,  -6.6137396055488551E+01,  -2.6946363374708440E+01,  -1.1273912597929258E+02,   1.2483258553677692E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,11      ,13      ,                        1,   1.2000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,  -2.2129851890885919E+02,  -2.3479033643517715E+02,   5.2567562235036758E+02,  -2.6946363374708440E+01,  -2.4501391809026529E+02,   2.0253325654429844E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,11      ,14      ,                        1,   1.6000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,  -2.2129851890903643E+02,   6.0565753780847956E+02,  -1.9797356769236535E+02,  -2.6946363374707786E+01,   4.1039019122573148E+02,  -5.3920114620230322E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,11      ,426     ,                        1,   1.4000000000000000E+01,   0.0000000000000000E+00,   5.5000000000000000E+00,  -2.2129851890894781E+02,   1.8543360068665120E+02,   1.6385102732900111E+02,  -2.6946363374708113E+01,   8.2688136567733096E+01,  -1.6833394482900238E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,12      ,15      ,                        1,   1.6500000000000000E+01,   5.0000000000000000E-01,   5.5000000000000000E+00,  -6.1496594339808553E+02,  -4.6576809749431902E+02,   1.2569624077230861E+02,   2.2782650429600989E+02,   1.1009721909447551E+03,  -7.4850841326875724E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,12      ,16      ,                        1,   1.6500000000000000E+01,   5.0000000000000000E+00,   5.5000000000000000E+00,  -6.1496594339809201E+02,   4.4883419950239721E+02,  -7.2297783534407415E+02,   2.2782650429600895E+02,  -2.4291139684173083E+02,  -3.6749570845088492E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,12      ,427     ,                        1,   1.6500000000000000E+01,   2.7500000000000000E+00,   5.5000000000000000E+00,  -6.1496594339808871E+02,  -8.4669489959609052E+00,  -2.9864079728588274E+02,   2.2782650429600940E+02,   4.2903039705151213E+02,  -5.5800206085982111E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,13      ,17      ,                        1,   1.6500000000000000E+01,   5.5000000000000000E+00,   5.0000000000000000E+00,  -1.0384513614119148E+03,  -6.1261717795757602E+02,   2.3100030089676881E+02,   2.6540163682059352E+02,  -4.3614220255404501E+02,  -6.8353649556695086E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,13      ,18      ,                        1,   1.6500000000000000E+01,   5.5000000000000000E+00,   2.0000000000000000E+00,  -1.8702486254782561E+03,  -6.1261717795757670E+02,   2.3100030089677534E+02,   2.6540163682059409E+02,   2.5685870013627323E+02,   1.1543150383057803E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,13      ,428     ,                        1,   1.6500000000000000E+01,   5.5000000000000000E+00,   3.5000000000000000E+00,  -1.4543499934450856E+03,  -6.1261717795757636E+02,   2.3100030089677207E+02,   2.6540163682059381E+02,  -8.9641751208885879E+01,   2.3538927136941462E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,14      ,19      ,                        1,   1.6500000000000000E+01,   6.0000000000000000E+00,   1.5000000000000000E+00,  -6.1496594339864600E+02,   1.4909807723647607E+03,  -1.4788122940887233E+03,  -6.7086440321681039E+02,  -6.5052985095308941E+01,   5.2373321540636368E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,14      ,20      ,                        1,   1.6500000000000000E+01,   7.0000000000000000E+00,   1.5000000000000000E+00,  -6.1496594339860633E+02,   1.7075986259281103E+03,  -1.6518816566019891E+03,  -6.7086440321681062E+02,  -1.6303999604406661E+03,  -1.0755564837400732E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,14      ,429     ,                        1,   1.6500000000000000E+01,   6.5000000000000000E+00,   1.5000000000000000E+00,  -6.1496594339862622E+02,   1.5992896991464356E+03,  -1.5653469753453564E+03,  -6.7086440321681062E+02,  -8.4772647276798750E+02,  -2.7591163416685475E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,15      ,21      ,                        1,   1.4000000000000000E+01,  -6.5000000000000000E+00,   1.5000000000000000E+00,  -6.7054278106167669E+02,  -1.9842942524949572E+03,   1.2713296948757306E+02,   8.2606691217969410E+02,  -7.6626047262991506E+02,  -6.6788670103194327E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,15      ,22      ,                        1,   1.8000000000000000E+01,  -6.5000000000000000E+00,   1.5000000000000000E+00,  -6.7054278106167351E+02,  -1.3734823030359344E+03,   1.2713296948757581E+02,   8.2606691217969546E+02,  -2.5772859467962166E+02,   3.6686100742348799E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,15      ,430     ,                        1,   1.6000000000000000E+01,  -6.5000000000000000E+00,   1.5000000000000000E+00,  -6.7054278106167510E+02,  -1.6788882777654458E+03,   1.2713296948757443E+02,   8.2606691217969478E+02,  -5.1199453365476836E+02,  -3.3210904547885420E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,16      ,23      ,                        1,   1.8400000000000002E+01,  -6.5000000000000000E+00,   1.8999999999999999E+00,  -1.2775747132416313E+03,   6.7054278106174627E+02,   1.2713296948755973E+02,  -2.0687540688459239E+02,  -7.7521372438466665E+02,   1.0029793844781790E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,16      ,24      ,                        1,   1.8400000000000002E+01,  -6.5000000000000000E+00,   3.3999999999999999E+00,  -1.0485202321945881E+03,   6.7054278106174684E+02,   1.2713296948756107E+02,  -2.0687540688459313E+02,  -5.8451427015331797E+02,  -9.0551623314479900E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,16      ,431     ,                        1,   1.8400000000000002E+01,  -6.5000000000000000E+00,   2.6499999999999999E+00,  -1.1630474727181099E+03,   6.7054278106174661E+02,   1.2713296948756040E+02,  -2.0687540688459276E+02,  -6.7986399726899231E+02,  -4.0260914734849058E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,17      ,25      ,                        1,   1.8799999999999997E+01,  -6.5000000000000000E+00,   3.7999999999999998E+00,  -6.7054278106174957E+02,  -9.5261264240031710E+02,   1.2713296948757329E+02,   5.3366108235829256E+02,  -1.5602221908956670E+02,  -6.6420106015460374E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,17      ,26      ,                        1,   2.1800000000000001E+01,  -6.5000000000000000E+00,   3.7999999999999998E+00,  -6.7054278106174763E+02,  -4.9450368030605597E+02,   1.2713296948755141E+02,   5.3366108235829120E+02,   2.2537668937312711E+02,   1.5064734239049594E+03
