#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000030 CALCULE LE 18/09/2026 A 12:26:09 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,1       ,   2.2204460493000039E-16,   0.0000000000000000E+00,   4.5000000000000000E+00,  -5.2288268760628159E+02,   2.5239065232279967E+00,   1.7560352437852139E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,2       ,   4.0000000000000000E+00,   0.0000000000000000E+00,   4.5000000000000000E+00,  -2.5302795359563166E+02,  -2.4121731999609426E+00,   8.5496921179047115E+02, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,3       ,   8.0000000000000000E+00,   0.0000000000000000E+00,   4.5000000000000000E+00,   2.7118694980307271E+02,  -7.4513451018838154E+01,   1.0849051913677624E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,4       ,   1.2000000000000000E+01,   0.0000000000000000E+00,   4.5000000000000000E+00,   6.2959280320768286E+01,   3.2062655652696003E+02,   1.0891651223087460E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,5       ,   1.6000000000000000E+01,   0.0000000000000000E+00,   4.5000000000000000E+00,   3.3742343970506488E+00,   3.6980663461537273E+02,   1.2327400936455388E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,6       ,  -5.0000000000000000E+00,   0.0000000000000000E+00,   1.5000000000000000E+00,   6.6306602658963163E+02,  -1.0665346287902224E+00,   1.4392483178383695E+03,   3.1212501889854337E+01,  -2.0043713407040486E+03,   1.2626443861174721E+01
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,7       ,  -1.0000000000000000E+00,   0.0000000000000000E+00,   1.5000000000000000E+00,   1.4529205616398144E-10,  -3.2840397068412130E-13,   1.4949819160392508E-11,  -1.9007018181582680E-12,  -2.4556356947869062E-11,   4.5815795601811260E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,8       ,  -5.0000000000000000E-01,   0.0000000000000000E+00,   2.0000000000000000E+00,  -9.3450920612969668E-11,  -2.0895643548790588E-10,   1.0386145277152536E-09,   1.1368683772161603E-12,   7.5033312896266580E-12,   8.0007112046587281E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,9       ,  -5.0000000000000000E-01,   0.0000000000000000E+00,   5.0000000000000000E+00,   1.2175790237156647E-10,   2.1418585655075262E-10,  -1.6284786852338584E-09,   2.0634161046473309E-11,  -8.1854523159563541E-12,  -1.9468870959826745E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,10      ,   2.2204460493000039E-16,   0.0000000000000000E+00,   5.5000000000000000E+00,   1.1687028428353230E-10,   2.2151391831926048E-11,  -5.1045390137005597E-10,   4.5048409447190352E-12,   1.8644641386345029E-11,   2.2737367544323206E-13
