#
#--------------------------------------------------------------------------------
##ASTER 17.04.00 CONCEPT 00000018 CALCULE LE 16/09/2026 A 22:59:04 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,1       ,   2.5000000000000000E+00,   0.0000000000000000E+00,   2.0000000000000000E+00,   8.1755406139255072E-05,  -1.4676909517918507E-06,  -2.4178966803684340E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,2       ,   2.5000000000000000E+00,  -1.0000000000000000E+00,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,3       ,   2.5000000000000000E+00,   0.0000000000000000E+00,   2.7999999999999998E+00,   8.1755406139255072E-05,  -1.4676909517918507E-06,  -2.4178966803684340E-03,   6.7645501831485560E-18,  -6.4577650407476911E-08,   6.5709029482069568E-21
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,4       ,   2.5000000000000000E+00,   1.0000000000000000E+00,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,5       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,6       ,   2.5000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.8482474189085359E-03,  -2.0252010114254972E-03,  -2.4184358079181430E-03,   5.8140559387161268E-03,   5.5917071826146495E-03,  -1.7710822252622993E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,7       ,   5.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   7.7038488815775836E-03,  -5.4207081324170068E-03,  -2.7414509270604931E-02,   1.1628111877432255E-02,   1.0530074202932210E-02,   5.9292320904493162E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,8       ,   5.2999999999999998E+00,   3.0000000000000004E-01,   3.0000000000000000E+00,   7.7336141780902689E-03,  -4.6297032793674716E-03,  -2.6781032399494160E-02,   1.2332745931146933E-02,   9.1762757967230792E-03,   1.9237826398299095E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,9       ,   5.2999999999999998E+00,   3.2999999999999998E+00,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,10      ,   2.5000000000000000E+00,  -8.7500000000000000E-01,   2.7999999999999998E+00,   5.6782574625757439E-06,  -1.8346136897398046E-07,  -1.0688735675129899E-04,  -1.5627978263581057E-03,  -8.2433890846706224E-09,  -4.5365081574066204E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,11      ,   2.5000000000000000E+00,  -7.5000000000000000E-01,   2.7999999999999998E+00,   1.5948043959460184E-05,  -3.6692273794796119E-07,  -3.8121733775524998E-04,  -2.6790819880424645E-03,  -1.6437868802559498E-08,  -7.6050650271128453E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,12      ,   2.5000000000000000E+00,  -6.2500000000000000E-01,   2.7999999999999998E+00,   2.9028109787237190E-05,  -5.5038410692194200E-07,  -7.6717573492763474E-04,  -3.3488524850530787E-03,  -2.4583439153666726E-08,  -9.2915736590536328E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,13      ,   2.5000000000000000E+00,  -5.0000000000000000E-01,   2.7999999999999998E+00,   4.3244584054909289E-05,  -7.3384547589592302E-07,  -1.2089483401842348E-03,  -3.5721093173899502E-03,  -3.2680100137992206E-08,  -9.6819371031639571E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,14      ,   2.5000000000000000E+00,  -3.7500000000000000E-01,   2.7999999999999998E+00,   5.7030974683897782E-05,  -9.1730684486990393E-07,  -1.6507209454408333E-03,  -3.3488524850530765E-03,  -4.0727851755535742E-08,  -8.8620584093787878E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,15      ,   2.5000000000000000E+00,  -2.5000000000000000E-01,   2.7999999999999998E+00,   6.8928168408042640E-05,  -1.1007682138438876E-06,  -2.0366793426132104E-03,  -2.6790819880424602E-03,  -4.8726694006297854E-08,  -6.9178406276330931E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,16      ,   2.5000000000000000E+00,  -1.2500000000000000E-01,   2.7999999999999998E+00,   7.7584430773602669E-05,  -1.2842295828178705E-06,  -2.3110093236171523E-03,  -1.5627978263580990E-03,  -5.6676626890278802E-08,  -3.9351868078618424E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,17      ,   2.5000000000000000E+00,   1.2500000000000000E-01,   2.7999999999999998E+00,   7.7584430773602669E-05,  -1.2842295828178659E-06,  -2.3110093236171502E-03,   1.5627978263581090E-03,  -5.6676626890469199E-08,   3.9351868078618452E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,18      ,   2.5000000000000000E+00,   2.5000000000000000E-01,   2.7999999999999998E+00,   6.8928168408042694E-05,  -1.1007682138438838E-06,  -2.0366793426132078E-03,   2.6790819880424667E-03,  -4.8726694006625609E-08,   6.9178406276330958E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,19      ,   2.5000000000000000E+00,   3.7500000000000000E-01,   2.7999999999999998E+00,   5.7030974683897782E-05,  -9.1730684486990108E-07,  -1.6507209454408298E-03,   3.3488524850530796E-03,  -4.0727851755945672E-08,   8.8620584093787878E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,20      ,   2.5000000000000000E+00,   5.0000000000000000E-01,   2.7999999999999998E+00,   4.3244584054909248E-05,  -7.3384547589592048E-07,  -1.2089483401842313E-03,   3.5721093173899481E-03,  -3.2680100138429322E-08,   9.6819371031639531E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,21      ,   2.5000000000000000E+00,   6.2500000000000000E-01,   2.7999999999999998E+00,   2.9028109787237177E-05,  -5.5038410692194020E-07,  -7.6717573492763170E-04,   3.3488524850530726E-03,  -2.4583439154076455E-08,   9.2915736590536301E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,22      ,   2.5000000000000000E+00,   7.5000000000000000E-01,   2.7999999999999998E+00,   1.5948043959460191E-05,  -3.6692273794796003E-07,  -3.8121733775524819E-04,   2.6790819880424541E-03,  -1.6437868802887396E-08,   7.6050650271128413E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,23      ,   2.5000000000000000E+00,   8.7500000000000000E-01,   2.7999999999999998E+00,   5.6782574625757473E-06,  -1.8346136897397986E-07,  -1.0688735675129842E-04,   1.5627978263580979E-03,  -8.2433890848619113E-09,   4.5365081574066224E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,24      ,   5.0294051420999999E+00,   1.4445819983000005E-03,   3.0000000000000000E+00,   7.7520161090232596E-03,  -5.3998478828260303E-03,  -2.7705661388067317E-02,   1.1695123454306410E-02,   1.0439088635394236E-02,   6.7557700068540845E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,25      ,   5.0585270965999998E+00,   5.7644158790000006E-03,   3.0000000000000000E+00,   7.7932311639094332E-03,  -5.3725138499620753E-03,  -2.7957425527810723E-02,   1.1758997069619109E-02,   1.0351372053492833E-02,   7.5905224436454788E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,26      ,   5.0870854031999997E+00,   1.2917899280000002E-02,   3.0000000000000000E+00,   7.8316538112011679E-03,  -5.3386732931348293E-03,  -2.8167192226815269E-02,   1.1819439827976107E-02,   1.0266291599328211E-02,   8.4338672337365861E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,27      ,   5.1148050297000003E+00,   2.2836140247000002E-02,   3.0000000000000000E+00,   7.8656108466792531E-03,  -5.2988985661073622E-03,  -2.8332811815309760E-02,   1.1876271033785196E-02,   1.0183234334737680E-02,   9.2839400656568336E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,28      ,   5.1414190209999999E+00,   3.5423620695000005E-02,   3.0000000000000000E+00,   7.8944369627533557E-03,  -5.2536866288060719E-03,  -2.8452622947947891E-02,   1.1929421482187608E-02,   1.0101593335119183E-02,   1.0138627861504105E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,29      ,   5.1666710698999996E+00,   5.0559116309000007E-02,   3.0000000000000000E+00,   7.9173793667517457E-03,  -5.2036843672249771E-03,  -2.8525469010269516E-02,   1.1978928495740893E-02,   1.0020785454632350E-02,   1.0995757425005250E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,30      ,   5.1903179852000001E+00,   6.8096863991000012E-02,   3.0000000000000000E+00,   7.9337906988653853E-03,  -5.1496245996972070E-03,  -2.8550708465794619E-02,   1.2024926822622855E-02,   9.9402701594163440E-03,   1.1853130702605000E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,31      ,   5.2121320343999997E+00,   8.7867965644000012E-02,   3.0000000000000000E+00,   7.9431132336182809E-03,  -5.0923274662680032E-03,  -2.8528219592195370E-02,   1.2067636063430375E-02,   9.8595661865348173E-03,   1.2708547189067634E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,32      ,   5.2319031359999997E+00,   1.0968201475000000E-01,   3.0000000000000000E+00,   7.9448945610504224E-03,  -5.0326855983649412E-03,  -2.8458399595992716E-02,   1.2107345223458429E-02,   9.7782652103126540E-03,   1.3559825203414261E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,33      ,   5.2494408837000002E+00,   1.3332893008999999E-01,   3.0000000000000000E+00,   7.9387964230209791E-03,  -4.9716505634541186E-03,  -2.8342158171626618E-02,   1.2144395068506517E-02,   9.6960420054686119E-03,   1.4404822931239616E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,34      ,   5.2645763793000002E+00,   1.5858097895000001E-01,   3.0000000000000000E+00,   7.9246018163774690E-03,  -4.9102183191053949E-03,  -2.8180905555230822E-02,   1.2179159029919638E-02,   9.6126607650103661E-03,   1.5241459049689515E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,35      ,   5.2771638597999999E+00,   1.8519497029000004E-01,   3.0000000000000000E+00,   7.9022227644209506E-03,  -4.8494086102177482E-03,  -2.7976535243533170E-02,   1.2212023492256576E-02,   9.5279773661219574E-03,   1.6067732941839822E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,36      ,   5.2870821007000002E+00,   2.1291459682000002E-01,   3.0000000000000000E+00,   7.8716912694309846E-03,  -4.7902769093971032E-03,  -2.7731401476794228E-02,   1.2243368646178272E-02,   9.4419374492436189E-03,   1.6881745849453504E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,37      ,   5.2942355840999999E+00,   2.4147290340000002E-01,   3.0000000000000000E+00,   7.8332154680027487E-03,  -4.7337174880680019E-03,  -2.7448290829909485E-02,   1.2273555110995890E-02,   9.3545695941037905E-03,   1.7681741373341043E-03
