#
#--------------------------------------------------------------------------------
##ASTER 17.04.00 CONCEPT 00000017 CALCULE LE 16/09/2026 A 22:59:03 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,1       ,                        1,   2.5000000000000000E+00,   0.0000000000000000E+00,   2.0000000000000000E+00,  -5.3912754970899741E+03,   1.2610582113315588E+03,  -1.0127481529632106E+03, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,6       ,                        1,   2.5000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -5.3912754970899741E+03,   1.2610582113315588E+03,  -1.0127481529632106E+03, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -2.6093680082195178E+03,  -9.0497611124443623E+01,  -1.7549295261460470E+03,   1.1243762037540537E+03,   1.3346728772420897E+03,   3.3218816697159889E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,6       ,                        1,   2.5000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -2.6093680082194755E+03,  -9.0497611124446735E+01,  -2.6299295261460429E+03,   1.1243762037540541E+03,  -4.1464009381230189E+03,   5.5843219478270976E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,39      ,                        1,   1.2500000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -2.6093680082194969E+03,  -9.0497611124445172E+01,  -2.1924295261460452E+03,   1.1243762037540539E+03,  -1.4058640304404646E+03,   4.4531018087715438E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,6       ,                        1,   2.5000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -1.3483098461232098E+03,   9.2225081453219445E+02,   2.7613459709428366E+03,   1.1243762037540564E+03,  -4.1464009381230180E+03,   5.5843219478270908E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,7       ,                        1,   5.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -1.3483098461232978E+03,   9.2225081453217126E+02,   1.8863459709428403E+03,   1.1243762037540537E+03,   1.6632139892340842E+03,  -1.7471948415477577E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,40      ,                        1,   3.7500000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -1.3483098461232537E+03,   9.2225081453218286E+02,   2.3238459709428384E+03,   1.1243762037540550E+03,  -1.2415934744444671E+03,  -5.9438132338252433E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,8       ,                        1,   5.2999999999999998E+00,   3.0000000000000004E-01,   3.0000000000000000E+00,  -9.2225081453210714E+02,  -1.3483098461232312E+03,  -1.7785214147966194E+03,  -1.4788279549987215E+03,   8.7131793816673701E+02,  -1.6193771320704427E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,9       ,                        1,   5.2999999999999998E+00,   3.2999999999999998E+00,   3.0000000000000000E+00,  -9.2225081453211897E+02,  -1.3483098461232389E+03,  -2.8285214147966121E+03,  -1.4788279549987246E+03,  -6.0392463062231109E+03,   2.4255524062992681E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,41      ,                        1,   5.2999999999999998E+00,   1.8000000000000000E+00,   3.0000000000000000E+00,  -9.2225081453211305E+02,  -1.3483098461232350E+03,  -2.3035214147966158E+03,  -1.4788279549987233E+03,  -2.5839641840281870E+03,   4.0308763711441276E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,2       ,                        1,   2.5000000000000000E+00,  -1.0000000000000000E+00,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -1.0992790810481199E+03,  -2.6956377485444514E+03,  -1.8295911660692887E-19,   1.3478188742722214E+03,  -4.8128016552405938E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,10      ,                        1,   2.5000000000000000E+00,  -8.7500000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -1.0992790810481199E+03,  -2.6956377485444514E+03,  -1.8295911660692887E-19,   1.0108641557041651E+03,  -3.4387028039304471E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,6       ,10      ,                        1,   2.5000000000000000E+00,  -8.7500000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -1.0367790810481199E+03,  -2.6956377485444514E+03,  -1.8280029792931869E-19,   1.0108641557041651E+03,  -3.4387028039304471E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,6       ,11      ,                        1,   2.5000000000000000E+00,  -7.5000000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -1.0367790810481199E+03,  -2.6956377485444514E+03,  -1.8280029792931869E-19,   6.7390943713610784E+02,  -2.1427289526202964E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,7       ,11      ,                        1,   2.5000000000000000E+00,  -7.5000000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -9.7427908104811991E+02,  -2.6956377485444514E+03,  -1.8301205616613227E-19,   6.7390943713610784E+02,  -2.1427289526202964E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,7       ,12      ,                        1,   2.5000000000000000E+00,  -6.2500000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -9.7427908104811991E+02,  -2.6956377485444514E+03,  -1.8301205616613227E-19,   3.3695471856805250E+02,  -9.2488010131014818E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,8       ,12      ,                        1,   2.5000000000000000E+00,  -6.2500000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -9.1177908104811991E+02,  -2.6956377485444514E+03,  -1.8332969352135263E-19,   3.3695471856805250E+02,  -9.2488010131014818E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,8       ,13      ,                        1,   2.5000000000000000E+00,  -5.0000000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -9.1177908104811991E+02,  -2.6956377485444514E+03,  -1.8332969352135263E-19,  -8.0276467276408201E-13,   2.1484375000000139E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,9       ,13      ,                        1,   2.5000000000000000E+00,  -5.0000000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -8.4927908104811991E+02,  -2.6956377485444514E+03,  -1.8269441881091190E-19,  -8.0276467276411735E-13,   2.1484375000000128E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,9       ,14      ,                        1,   2.5000000000000000E+00,  -3.7500000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -8.4927908104811991E+02,  -2.6956377485444514E+03,  -1.8269441881091190E-19,  -3.3695471856805682E+02,   1.2764426013101497E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,10      ,14      ,                        1,   2.5000000000000000E+00,  -3.7500000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -7.8677908104811979E+02,  -2.6956377485444514E+03,  -1.8274735837011530E-19,  -3.3695471856805682E+02,   1.2764426013101497E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,10      ,15      ,                        1,   2.5000000000000000E+00,  -2.5000000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -7.8677908104811979E+02,  -2.6956377485444514E+03,  -1.8274735837011530E-19,  -6.7390943713610932E+02,   2.2599164526202944E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,11      ,15      ,                        1,   2.5000000000000000E+00,  -2.5000000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -7.2427908104811991E+02,  -2.6956377485444514E+03,  -1.8348851219896281E-19,  -6.7390943713610932E+02,   2.2599164526202941E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,11      ,16      ,                        1,   2.5000000000000000E+00,  -1.2500000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -7.2427908104811991E+02,  -2.6956377485444514E+03,  -1.8348851219896281E-19,  -1.0108641557041663E+03,   3.1652653039304448E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,12      ,16      ,                        1,   2.5000000000000000E+00,  -1.2500000000000000E-01,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -6.6177908104812002E+02,  -2.6956377485444514E+03,  -1.8264248471797264E-19,  -1.0108641557041663E+03,   3.1652653039304442E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,12      ,3       ,                        1,   2.5000000000000000E+00,   0.0000000000000000E+00,   2.7999999999999998E+00,  -5.3872851903682831E+05,  -6.6177908104812002E+02,  -2.6956377485444514E+03,  -1.8264248471797264E-19,  -1.3478188742722225E+03,   3.9924891552405978E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,13      ,3       ,                        1,   2.5000000000000000E+00,   0.0000000000000000E+00,   2.7999999999999998E+00,  -5.3771577061117161E+05,   6.6177908104812047E+02,   2.6956377485444273E+03,  -1.8277382814971700E-19,  -1.3478188742722225E+03,   3.9924891552405978E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,13      ,17      ,                        1,   2.5000000000000000E+00,   1.2500000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   6.6177908104812047E+02,   2.6956377485444273E+03,  -1.8277382814971700E-19,  -1.0108641557041617E+03,   3.1652653039304471E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,14      ,17      ,                        1,   2.5000000000000000E+00,   1.2500000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   7.2427908104812047E+02,   2.6956377485444273E+03,  -1.8280029792931869E-19,  -1.0108641557041617E+03,   3.1652653039304465E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,14      ,18      ,                        1,   2.5000000000000000E+00,   2.5000000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   7.2427908104812047E+02,   2.6956377485444273E+03,  -1.8280029792931869E-19,  -6.7390943713610829E+02,   2.2599164526202964E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,15      ,18      ,                        1,   2.5000000000000000E+00,   2.5000000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   7.8677908104812047E+02,   2.6956377485444273E+03,  -1.8343557263975942E-19,  -6.7390943713610829E+02,   2.2599164526202964E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,15      ,19      ,                        1,   2.5000000000000000E+00,   3.7500000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   7.8677908104812047E+02,   2.6956377485444273E+03,  -1.8343557263975942E-19,  -3.3695471856805148E+02,   1.2764426013101463E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,16      ,19      ,                        1,   2.5000000000000000E+00,   3.7500000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   8.4927908104812047E+02,   2.6956377485444273E+03,  -1.8285323748852209E-19,  -3.3695471856805148E+02,   1.2764426013101463E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,16      ,20      ,                        1,   2.5000000000000000E+00,   5.0000000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   8.4927908104812047E+02,   2.6956377485444273E+03,  -1.8285323748852209E-19,   1.9289749089394754E-12,   2.1484374999999986E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,17      ,20      ,                        1,   2.5000000000000000E+00,   5.0000000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   9.1177908104812047E+02,   2.6956377485444273E+03,  -1.8216502321887797E-19,   1.9289749089394940E-12,   2.1484374999999989E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,17      ,21      ,                        1,   2.5000000000000000E+00,   6.2500000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   9.1177908104812047E+02,   2.6956377485444273E+03,  -1.8216502321887797E-19,   3.3695471856805801E+02,  -9.2488010131014491E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,18      ,21      ,                        1,   2.5000000000000000E+00,   6.2500000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   9.7427908104812047E+02,   2.6956377485444273E+03,  -1.8317087484374245E-19,   3.3695471856805801E+02,  -9.2488010131014477E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,18      ,22      ,                        1,   2.5000000000000000E+00,   7.5000000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   9.7427908104812047E+02,   2.6956377485444273E+03,  -1.8317087484374245E-19,   6.7390943713610829E+02,  -2.1427289526202969E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,19      ,22      ,                        1,   2.5000000000000000E+00,   7.5000000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   1.0367790810481204E+03,   2.6956377485444273E+03,  -1.8282676770892039E-19,   6.7390943713610829E+02,  -2.1427289526202969E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,19      ,23      ,                        1,   2.5000000000000000E+00,   8.7500000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   1.0367790810481204E+03,   2.6956377485444273E+03,  -1.8282676770892039E-19,   1.0108641557041605E+03,  -3.4387028039304465E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,20      ,23      ,                        1,   2.5000000000000000E+00,   8.7500000000000000E-01,   2.7999999999999998E+00,  -5.3771577061117161E+05,   1.0992790810481206E+03,   2.6956377485444273E+03,  -1.8280029792931869E-19,   1.0108641557041605E+03,  -3.4387028039304465E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,20      ,4       ,                        1,   2.5000000000000000E+00,   1.0000000000000000E+00,   2.7999999999999998E+00,  -5.3771577061117161E+05,   1.0992790810481206E+03,   2.6956377485444273E+03,  -1.8280029792931869E-19,   1.3478188742722141E+03,  -4.8128016552405956E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,21      ,7       ,                        1,   5.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -1.3919384504730247E+03,   8.5498149461840433E+02,  -1.6136540290581327E+03,   1.0258225919897588E+03,   2.0337320204446055E+03,  -1.7471948415477489E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,21      ,24      ,                        1,   5.0294051420999999E+00,   1.4445819983000005E-03,   3.0000000000000000E+00,  -1.3919384504863374E+03,   8.5498149461960531E+02,  -1.6239582406656668E+03,   1.0258225919898068E+03,   1.9860733891080752E+03,  -1.7723660136690717E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,21      ,42      ,                        1,   5.0147025709999999E+00,   7.2229099917000032E-04,   3.0000000000000000E+00,  -1.3919384504796810E+03,   8.5498149461900482E+02,  -1.6188061348618999E+03,   1.0258225919897827E+03,   2.0099027047763402E+03,  -1.7597804276084103E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,22      ,24      ,                        1,   5.0294051420999999E+00,   1.4445819983000005E-03,   3.0000000000000000E+00,  -1.4690387275448397E+03,   7.1443069855561771E+02,  -1.6239582406665218E+03,   8.2621621956060187E+02,   2.0770582216012053E+03,  -1.7723660136691215E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,22      ,25      ,                        1,   5.0585270965999998E+00,   5.7644158790000006E-03,   3.0000000000000000E+00,  -1.4690387275421083E+03,   7.1443069854983582E+02,  -1.6342624522729743E+03,   8.2621621956064473E+02,   2.0290962280565120E+03,  -1.7933992853725356E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,22      ,43      ,                        1,   5.0439661194000003E+00,   3.6044989387000008E-03,   3.0000000000000000E+00,  -1.4690387275434741E+03,   7.1443069855272688E+02,  -1.6291103464697480E+03,   8.2621621956062324E+02,   2.0530772248288586E+03,  -1.7828826495208284E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,23      ,25      ,                        1,   5.0585270965999998E+00,   5.7644158790000006E-03,   3.0000000000000000E+00,  -1.5319913584183359E+03,   5.6699954478117252E+02,  -1.6342624522736166E+03,   6.2335403137780963E+02,   2.1003090478045565E+03,  -1.7933992853724899E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,23      ,26      ,                        1,   5.0870854031999997E+00,   1.2917899280000002E-02,   3.0000000000000000E+00,  -1.5319913584200099E+03,   5.6699954477898507E+02,  -1.6445666638909756E+03,   6.2335403137790286E+02,   2.0520436919852632E+03,  -1.8100920947923851E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,23      ,44      ,                        1,   5.0728062499000002E+00,   9.3411575797000025E-03,   3.0000000000000000E+00,  -1.5319913584191729E+03,   5.6699954478007874E+02,  -1.6394145580822960E+03,   6.2335403137785624E+02,   2.0761763698949098E+03,  -1.8017456900824377E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,24      ,26      ,                        1,   5.0870854031999997E+00,   1.2917899280000002E-02,   3.0000000000000000E+00,  -1.5801900755292420E+03,   4.1410787400697689E+02,  -1.6445666638917576E+03,   4.1921943334515890E+02,   2.1032620422988780E+03,  -1.8100920947923842E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,24      ,27      ,                        1,   5.1148050297000003E+00,   2.2836140247000002E-02,   3.0000000000000000E+00,  -1.5801900754909552E+03,   4.1410787401143256E+02,  -1.6548708754889490E+03,   4.1921943334518846E+02,   2.0546933243563863E+03,  -1.8222836809584448E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,24      ,45      ,                        1,   5.1009452164000004E+00,   1.7877019763000004E-02,   3.0000000000000000E+00,  -1.5801900755100983E+03,   4.1410787400920469E+02,  -1.6497187696903534E+03,   4.1921943334517368E+02,   2.0789776833276319E+03,  -1.8161878878754144E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,25      ,27      ,                        1,   5.1148050297000003E+00,   2.2836140247000002E-02,   3.0000000000000000E+00,  -1.6131706980268209E+03,   2.5722811882394433E+02,  -1.6548708754901568E+03,   2.1580809091044097E+02,   2.0858902261798776E+03,  -1.8222836809585342E+03
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,25      ,28      ,                        1,   5.1414190209999999E+00,   3.5423620695000005E-02,   3.0000000000000000E+00,  -1.6131706980078848E+03,   2.5722811882792911E+02,  -1.6651750870856172E+03,   2.1580809091042025E+02,   2.0370181460249337E+03,  -1.8298566322869765E+03
