#
#--------------------------------------------------------------------------------
##ASTER 17.04.00 CONCEPT 00000019 CALCULE LE 16/09/2026 A 22:59:04 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,1       ,   2.5000000000000000E+00,   0.0000000000000000E+00,   2.0000000000000000E+00,  -1.2610582113315586E+03,   1.0127481529632105E+03,   5.3912754970899741E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,2       ,   2.5000000000000000E+00,  -1.0000000000000000E+00,   2.7999999999999998E+00,  -1.1305290810480869E+03,   5.3872851903682831E+05,   2.6956377485444514E+03,   1.3478188742722214E+03,  -8.2529920551276629E-14,   4.8193120719072607E+02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,3       ,   2.5000000000000000E+00,   0.0000000000000000E+00,   2.7999999999999998E+00,   1.2610581620962405E+03,  -1.0127484256566968E+03,  -5.3912754970888782E+03,   0.0000000000000000E+00,   1.3134343483135145E-22,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,4       ,   2.5000000000000000E+00,   1.0000000000000000E+00,   2.7999999999999998E+00,  -1.1305290810481536E+03,  -5.3771577061117161E+05,   2.6956377485444273E+03,  -1.3478188742722141E+03,   8.2529920710094865E-14,  -4.8193120719072624E+02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,5       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.6093680082195106E+03,  -9.0497611124444546E+01,  -1.7549295261460461E+03,  -1.1243762037540532E+03,   1.1523812105754232E+03,   3.3218816697159923E+02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,6       ,   2.5000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   4.9235296955885133E-05,   2.7269342456293089E-04,  -1.0936673788819462E-09,  -2.0463630789890885E-12,   1.8189894035458565E-12,   2.2737367544323206E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,7       ,   5.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -2.2164385882206261E-09,  -2.9160673875594512E-10,  -7.0167516241781414E-10,   1.3415046851150692E-11,  -2.3419488570652902E-11,   6.8212102632969618E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,8       ,   5.2999999999999998E+00,   3.0000000000000004E-01,   3.0000000000000000E+00,  -1.5256773622240871E-10,  -1.8557102521299385E-09,  -3.0274804885266349E-10,   8.4128259913995862E-12,   8.8675733422860503E-12,  -9.3223206931725144E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,9       ,   5.2999999999999998E+00,   3.2999999999999998E+00,   3.0000000000000000E+00,  -1.3483098461232387E+03,  -9.2225081453211158E+02,   2.8285214147966126E+03,  -6.3017463062231054E+03,  -1.4788279549987233E+03,  -2.4255524062992686E+03
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,10      ,   2.5000000000000000E+00,  -8.7500000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.5881867761018131E-22,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,11      ,   2.5000000000000000E+00,  -7.5000000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.1175823681357508E-22,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,12      ,   2.5000000000000000E+00,  -6.2500000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.1763735522036263E-22,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,13      ,   2.5000000000000000E+00,  -5.0000000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -3.5340968553901329E-26,  -6.3527471044072525E-22,   1.0658141036401503E-14
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,14      ,   2.5000000000000000E+00,  -3.7500000000000000E-01,   2.7999999999999998E+00,   1.1368683772161603E-13,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.2939559203393771E-23,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,15      ,   2.5000000000000000E+00,  -2.5000000000000000E-01,   2.7999999999999998E+00,  -1.1368683772161603E-13,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   7.4115382884751280E-22,   2.8421709430404007E-14
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,16      ,   2.5000000000000000E+00,  -1.2500000000000000E-01,   2.7999999999999998E+00,  -1.1368683772161603E-13,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.4602748407716736E-22,   5.6843418860808015E-14
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,17      ,   2.5000000000000000E+00,   1.2500000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.6469779601696886E-23,   5.6843418860808015E-14
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,18      ,   2.5000000000000000E+00,   2.5000000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.3527471044072525E-22,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,19      ,   2.5000000000000000E+00,   3.7500000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -5.8233515123733148E-22,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,20      ,   2.5000000000000000E+00,   5.0000000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.8579252039765270E-26,  -6.8821426964411903E-22,  -3.5527136788005009E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,21      ,   2.5000000000000000E+00,   6.2500000000000000E-01,   2.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.0058516248644817E-21,  -1.4210854715202004E-14
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,22      ,   2.5000000000000000E+00,   7.5000000000000000E-01,   2.7999999999999998E+00,  -1.1368683772161603E-13,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -3.4410713482205951E-22,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,23      ,   2.5000000000000000E+00,   8.7500000000000000E-01,   2.7999999999999998E+00,   2.2737367544323206E-13,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.6469779601696886E-23,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,24      ,   5.0294051420999999E+00,   1.4445819983000005E-03,   3.0000000000000000E+00,  -6.6240772866876796E-09,   1.3375256457948126E-09,  -5.4617776967802456E-10,   4.8657966544851661E-11,  -6.1163518694229424E-11,  -2.9785951483063400E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,25      ,   5.0585270965999998E+00,   5.7644158790000006E-03,   3.0000000000000000E+00,  -1.7209913494298235E-09,   2.1279902284732088E-09,  -4.2704373370838766E-10,   4.5247361413203180E-11,  -2.6147972675971687E-11,   3.3423930290155113E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,26      ,   5.0870854031999997E+00,   1.2917899280000002E-02,   3.0000000000000000E+00,   1.3279077393235639E-08,   4.1391103877685964E-09,  -4.8918735728875617E-10,   5.5024429457262158E-11,  -3.9335645851679146E-11,  -5.6843418860808015E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,27      ,   5.1148050297000003E+00,   2.2836140247000002E-02,   3.0000000000000000E+00,   1.9193976186215878E-08,   3.5420271160546690E-09,  -9.1397511781110552E-10,   5.6843418860808015E-11,  -9.9817043519578874E-11,  -7.6624928624369204E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,28      ,   5.1414190209999999E+00,   3.5423620695000005E-02,   3.0000000000000000E+00,   4.9490154196973890E-09,   1.1993961379630491E-10,  -2.2951329725628966E-10,  -2.8876456781290472E-11,   3.2287061912938952E-11,   2.2509993868879974E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,29      ,   5.1666710698999996E+00,   5.0559116309000007E-02,   3.0000000000000000E+00,  -5.5274540500249714E-09,  -4.0216718844021671E-09,   1.0766143532237038E-10,  -1.5234036254696548E-11,  -5.9117155615240335E-12,   8.4128259913995862E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,30      ,   5.1903179852000001E+00,   6.8096863991000012E-02,   3.0000000000000000E+00,   2.6820998755283654E-09,  -3.6974370232201181E-09,  -1.2682077610293163E-10,  -1.6711965145077556E-11,   4.0927261579781771E-12,  -1.0686562745831907E-11
