#
#--------------------------------------------------------------------------------
##ASTER 17.04.00 CONCEPT 0000001a CALCULE LE 16/09/2026 A 22:59:05 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,VMIS
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.6199497621649235E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        2,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.5000321995031431E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        3,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.3148419896761648E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        4,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.0799771313902330E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        5,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.8173633037514597E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        6,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.5557283205085859E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        7,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.3298474632733859E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        8,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.1756761433942601E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                        9,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.1185145791783448E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       10,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.1591524702813916E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       11,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.2720595568114821E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       12,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.4186682102299843E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       13,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.5618875247718245E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       14,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.6729300570338383E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       15,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.7324360838537283E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       16,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.7297557874976642E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       17,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.6622671626972470E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       18,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.5353077959822699E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       19,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.3629263197436176E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       20,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.1695362235160131E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       21,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   1.9917875825854886E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       22,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   1.8769815217249397E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       23,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   1.8699610585159134E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       24,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   1.9883683186432634E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       25,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.2112430884053584E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       26,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.4958870840918254E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       27,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   2.7992052274941303E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       28,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.0864705211898942E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       29,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.3318735413184270E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       30,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.5171068754652061E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       31,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.6301862527358741E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       32,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.6647866013575003E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       33,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.6199497621649243E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       34,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.6226871608731955E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       35,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.5026841875666194E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       36,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.3173017821647827E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,2       ,5       ,                       37,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   3.0821530877468780E+07
