#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000039 CALCULE LE 19/09/2026 A 17:22:31 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            , 0.00000E+00,           1,1       ,-9.79685E-18, 0.00000E+00, 4.00000E-02, 3.97810E-06,-5.01237E-06,-2.37234E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,2       , 6.00000E-02, 9.79685E-18, 4.00000E-02, 4.10266E-06,-1.65909E-05,-3.89138E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,3       ,-6.00000E-02, 9.79685E-18, 4.00000E-02, 3.82713E-06, 2.84658E-07,-9.72003E-06,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,4       , 4.00000E-02, 4.00000E-02,-9.79685E-18, 3.39175E-06,-3.58243E-05,-5.67031E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,5       , 4.89843E-18, 0.00000E+00,-4.00000E-02,-6.26522E-06,-4.85353E-05,-3.60161E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,6       ,-9.79685E-18, 6.00000E-02, 4.00000E-02, 1.50916E-05,-4.84982E-06,-4.81854E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,7       ,-1.22461E-17, 0.00000E+00, 5.00000E-02, 7.11821E-06,-4.08080E-06,-2.38998E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,8       , 6.00000E-02, 1.22461E-17, 5.00000E-02, 6.09051E-06,-1.28209E-05,-3.89482E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,9       ,-6.00000E-02, 1.22461E-17, 5.00000E-02, 5.54065E-06,-3.88937E-07,-9.93339E-06,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,10      , 5.00000E-02, 5.00000E-02, 0.00000E+00, 4.91714E-06,-3.77781E-05,-6.34578E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,11      , 6.12303E-18, 0.00000E+00,-5.00000E-02,-9.96458E-06,-5.07675E-05,-3.59925E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,12      ,-1.22461E-17, 6.00000E-02, 5.00000E-02, 2.10325E-05, 1.40442E-06,-4.83869E-05,-           ,-           ,-           
RESU            ,DEPL            , 0.00000E+00,           1,13      ,-6.00000E-02, 0.00000E+00, 0.00000E+00,-7.91832E-07,-1.53936E-05,-1.25447E-05,-2.43406E-04, 1.22782E-04,-1.50107E-04
