#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000003c CALCULE LE 19/09/2026 A 17:22:41 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,1       ,13      ,           1,-6.00000E-02, 0.00000E+00, 0.00000E+00,-5.46827E-07, 5.02655E+03,-4.08760E+03,-8.04019E+02,-2.49217E+02,-3.01593E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,1       ,1142    ,           1,-6.50000E-02, 0.00000E+00, 0.00000E+00,-5.45047E-07, 5.02655E+03,-4.08869E+03,-8.04019E+02,-2.69658E+02,-3.26725E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,1       ,1156    ,           1,-6.25000E-02, 0.00000E+00, 0.00000E+00,-5.45937E-07, 5.02655E+03,-4.08815E+03,-8.04019E+02,-2.59437E+02,-3.14159E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,2       ,1142    ,           1,-6.50000E-02, 0.00000E+00, 0.00000E+00,-5.43263E-07, 5.02655E+03,-4.08869E+03,-8.04019E+02,-2.69658E+02,-3.26725E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,2       ,1129    ,           1,-7.00000E-02, 0.00000E+00, 0.00000E+00,-5.41234E-07, 5.02655E+03,-4.08978E+03,-8.04019E+02,-2.90104E+02,-3.51858E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,2       ,1157    ,           1,-6.75000E-02, 0.00000E+00, 0.00000E+00,-5.42249E-07, 5.02655E+03,-4.08923E+03,-8.04019E+02,-2.79881E+02,-3.39292E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,3       ,1129    ,           1,-7.00000E-02, 0.00000E+00, 0.00000E+00,-5.41143E-07, 5.02655E+03,-4.08978E+03,-8.04019E+02,-2.90104E+02,-3.51858E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,3       ,1143    ,           1,-7.50000E-02, 0.00000E+00, 0.00000E+00,-5.40312E-07, 5.02655E+03,-4.09087E+03,-8.04019E+02,-3.10556E+02,-3.76991E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,3       ,1158    ,           1,-7.25000E-02, 0.00000E+00, 0.00000E+00,-5.40727E-07, 5.02655E+03,-4.09032E+03,-8.04019E+02,-3.00330E+02,-3.64425E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,4       ,1143    ,           1,-7.50000E-02, 0.00000E+00, 0.00000E+00,-5.39101E-07, 5.02655E+03,-4.09087E+03,-8.04019E+02,-3.10556E+02,-3.76991E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,4       ,1130    ,           1,-8.00000E-02, 0.00000E+00, 0.00000E+00,-5.36740E-07, 5.02655E+03,-4.09196E+03,-8.04019E+02,-3.31013E+02,-4.02124E+02
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,4       ,1159    ,           1,-7.75000E-02, 0.00000E+00, 0.00000E+00,-5.37921E-07, 5.02655E+03,-4.09141E+03,-8.04019E+02,-3.20784E+02,-3.89557E+02
