#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000003a CALCULE LE 19/09/2026 A 17:22:33 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       , 0.00000E+00,           1,1       ,-9.79685E-18, 0.00000E+00, 4.00000E-02,-1.41272E-11,-1.41653E-11,-1.27409E-11,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,2       , 6.00000E-02, 9.79685E-18, 4.00000E-02, 7.43808E+00, 2.60934E+00, 7.17732E-01,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,3       ,-6.00000E-02, 9.79685E-18, 4.00000E-02, 2.85977E+01, 1.34357E+01,-1.34077E+00,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,4       , 4.00000E-02, 4.00000E-02,-9.79685E-18,-1.68492E-11,-9.11182E-12, 6.63044E-12,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,5       , 4.89843E-18, 0.00000E+00,-4.00000E-02,-1.30071E-11, 8.57517E-12,-2.09290E-11,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,6       ,-9.79685E-18, 6.00000E-02, 4.00000E-02,-5.26242E+00,-4.24791E+01, 1.76684E+00,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,7       ,-1.22461E-17, 0.00000E+00, 5.00000E-02,-6.38045E-12,-9.13047E-13,-4.92931E-11,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,8       , 6.00000E-02, 1.22461E-17, 5.00000E-02, 4.04964E+00, 1.39500E+00, 4.04476E-01,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,9       ,-6.00000E-02, 1.22461E-17, 5.00000E-02, 1.59677E+01, 7.92735E+00,-7.75029E-01,-           ,-           ,-           
RESU            ,REAC_NODA       , 0.00000E+00,           1,10      , 5.00000E-02, 5.00000E-02, 0.00000E+00,-3.59290E-11,-9.32890E-11, 2.52168E-11,-           ,-           ,-           
