#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000037 CALCULE LE 10/09/2026 A 09:13:07 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,1       ,1       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.2069438426033591E-22,  -4.9999999930226477E+02,  -2.1197887195567595E-14,   1.4999999985192126E+03,  -1.8032869850061079E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,1       ,40      ,                        1,   3.1250000000000007E-02,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.2069438426033591E-22,  -4.9999999930226477E+02,  -2.1197887195567595E-14,   1.4843749985410163E+03,  -1.7745152854979727E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,2       ,40      ,                        1,   3.1250000000000007E-02,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.2098471650182441E-22,  -4.9999999930223566E+02,  -2.1197887195567604E-14,   1.4843749985410163E+03,  -1.7745157814277184E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,2       ,41      ,                        1,   6.2500000000000014E-02,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.2098471650182441E-22,  -4.9999999930223566E+02,  -2.1197887195567604E-14,   1.4687499985628206E+03,  -1.7457220843399661E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,3       ,41      ,                        1,   6.2500000000000014E-02,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.2068315817011150E-22,  -4.9999999930229387E+02,  -2.1199188238174593E-14,   1.4687499985628210E+03,  -1.7457323615423229E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,3       ,42      ,                        1,   9.3750000000000014E-02,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.2068315817011150E-22,  -4.9999999930229387E+02,  -2.1199188238174593E-14,   1.4531249985846252E+03,  -1.7169610128495067E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,4       ,42      ,                        1,   9.3750000000000014E-02,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.2060232897339227E-22,  -4.9999999930216291E+02,  -2.1198754557305605E-14,   1.4531249985846266E+03,  -1.7169728371230511E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,4       ,43      ,                        1,   1.2500000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.2060232897339227E-22,  -4.9999999930216291E+02,  -2.1198754557305605E-14,   1.4374999986064340E+03,  -1.6882040143426319E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,5       ,43      ,                        1,   1.2500000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.1987885530100537E-22,  -4.9999999930214835E+02,  -2.1200055599912594E-14,   1.4374999986064340E+03,  -1.6882239425398336E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,5       ,44      ,                        1,   1.5625000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.1987885530100537E-22,  -4.9999999930214835E+02,  -2.1200055599912594E-14,   1.4218749986282446E+03,  -1.6594777283116773E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,6       ,44      ,                        1,   1.5625000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.1853701870544617E-22,  -4.9999999930211925E+02,  -2.1198320876436627E-14,   1.4218749986282464E+03,  -1.6594427150044873E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,6       ,45      ,                        1,   1.8750000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.1853701870544617E-22,  -4.9999999930211925E+02,  -2.1198320876436627E-14,   1.4062499986500552E+03,  -1.6307384331699420E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,7       ,45      ,                        1,   1.8750000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.1816540196477686E-22,  -4.9999999930226477E+02,  -2.1194851429484680E-14,   1.4062499986500598E+03,  -1.6307401379904598E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,7       ,46      ,                        1,   2.1875000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.1816540196477686E-22,  -4.9999999930226477E+02,  -2.1194851429484680E-14,   1.3906249986718685E+03,  -1.6020345444819898E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,8       ,46      ,                        1,   2.1875000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.1620593735265967E-22,  -4.9999999930238118E+02,  -2.1185310450366813E-14,   1.3906249986718640E+03,  -1.6020408992039358E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,8       ,2       ,                        1,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.1620593735265967E-22,  -4.9999999930238118E+02,  -2.1185310450366813E-14,   1.3749999986936673E+03,  -1.5734094636616662E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,9       ,2       ,                        1,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.1424099638081857E-22,  -4.9999999930220656E+02,  -2.1173167386034982E-14,   1.3749999986936600E+03,  -1.5734215856652135E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,9       ,47      ,                        1,   2.8125000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.1424099638081857E-22,  -4.9999999930220656E+02,  -2.1173167386034982E-14,   1.3593749987154733E+03,  -1.5448515545283121E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,10      ,47      ,                        1,   2.8125000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.1053607888917039E-22,  -4.9999999930348713E+02,  -2.1169697939083035E-14,   1.3593749987154824E+03,  -1.5447965068221097E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,10      ,48      ,                        1,   3.1250000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.1053607888917039E-22,  -4.9999999930348713E+02,  -2.1169697939083035E-14,   1.3437499987372466E+03,  -1.5163681037509646E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,11      ,48      ,                        1,   3.1250000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.0668469767605578E-22,  -4.9999999930238118E+02,  -2.1154085427799250E-14,   1.3437499987372375E+03,  -1.5162602468222882E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,11      ,49      ,                        1,   3.4375000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.0668469767605578E-22,  -4.9999999930238118E+02,  -2.1154085427799250E-14,   1.3281249987590454E+03,  -1.4879263500199084E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,12      ,49      ,                        1,   3.4375000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.0750261548456688E-22,  -4.9999999930511694E+02,  -2.1181841003414885E-14,   1.3281249987590727E+03,  -1.4878907865833648E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,12      ,50      ,                        1,   3.7500000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.0750261548456688E-22,  -4.9999999930511694E+02,  -2.1181841003414885E-14,   1.3124999987807969E+03,  -1.4595313298494700E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,13      ,50      ,                        1,   3.7500000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -9.0790003241412535E-22,  -4.9999999930214835E+02,  -2.1114186787851796E-14,   1.3124999987807860E+03,  -1.4595706392736784E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,13      ,51      ,                        1,   4.0625000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.0790003241412535E-22,  -4.9999999930214835E+02,  -2.1114186787851796E-14,   1.2968749988025920E+03,  -1.4312246126548795E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,14      ,51      ,                        1,   4.0625000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -8.9952868825484048E-22,  -4.9999999930546619E+02,  -2.1132401384349559E-14,   1.2968749988026011E+03,  -1.4311985925983070E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,14      ,52      ,                        1,   4.3750000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.9952868825484048E-22,  -4.9999999930546619E+02,  -2.1132401384349559E-14,   1.2812499988243144E+03,  -1.4031141704844829E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,15      ,52      ,                        1,   4.3750000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -8.9877848015023074E-22,  -4.9999999930494232E+02,  -2.1097706914830026E-14,   1.2812499988243362E+03,  -1.4030639291784889E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,15      ,53      ,                        1,   4.6875000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.9877848015023074E-22,  -4.9999999930494232E+02,  -2.1097706914830026E-14,   1.2656249988460586E+03,  -1.3749771016737927E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,16      ,53      ,                        1,   4.6875000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -8.9217815266596699E-22,  -4.9999999930721242E+02,  -2.1116788873065777E-14,   1.2656249988460386E+03,  -1.3750230444064117E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,16      ,3       ,                        1,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.9217815266596699E-22,  -4.9999999930721242E+02,  -2.1116788873065777E-14,   1.2499999988677046E+03,  -1.3470907783473151E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,17      ,3       ,                        1,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -8.9785215077304597E-22,  -4.9999999930517515E+02,  -2.1042195763598780E-14,   1.2499999988676755E+03,  -1.3471277604332055E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,17      ,54      ,                        1,   5.3125000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.9785215077304597E-22,  -4.9999999930517515E+02,  -2.1042195763598780E-14,   1.2343749988894087E+03,  -1.3191215795098301E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,18      ,54      ,                        1,   5.3125000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -8.8931656351009167E-22,  -4.9999999930948252E+02,  -2.1071686062690393E-14,   1.2343749988893906E+03,  -1.3191295429576762E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,18      ,55      ,                        1,   5.6250000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.8931656351009167E-22,  -4.9999999930948252E+02,  -2.1071686062690393E-14,   1.2187499989109710E+03,  -1.2913384003479824E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,19      ,55      ,                        1,   5.6250000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -8.7948632074125796E-22,  -4.9999999930633930E+02,  -2.0957194313275926E-14,   1.2187499989110001E+03,  -1.2913055953143823E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,19      ,56      ,                        1,   5.9375000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.7948632074125796E-22,  -4.9999999930633930E+02,  -2.0957194313275926E-14,   1.2031249989326607E+03,  -1.2638216477912131E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,20      ,56      ,                        1,   5.9375000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -8.8146471673553065E-22,  -4.9999999931082129E+02,  -2.0998827676699376E-14,   1.2031249989326971E+03,  -1.2637486647110285E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,20      ,57      ,                        1,   6.2500000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.8146471673553065E-22,  -4.9999999931082129E+02,  -2.0998827676699376E-14,   1.1874999989542048E+03,  -1.2362545911013288E-21
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,21      ,57      ,                        1,   6.2500000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -8.7179747298448399E-22,  -4.9999999931140337E+02,  -2.0953724866323985E-14,   1.1874999989542412E+03,  -1.2362518203054716E-21
