#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000002c CALCULE LE 17/09/2026 A 22:40:46 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,1       ,   2.7755575616000048E-16,   1.0000000000000000E+00,   4.5000000000000000E+00,  -9.3150224431472022E-03,   1.5109306830407882E-12,   7.2602985699373387E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,2       ,   3.0000000000000000E+00,   1.0000000000000000E+00,   4.5000000000000000E+00,  -4.6807736063530191E-03,  -9.9416297970672834E-13,   8.2862702459514555E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,3       ,   6.0000000000000000E+00,   1.0000000000000000E+00,   4.5000000000000000E+00,  -1.0153445866834595E-13,  -1.7857699429579357E-12,   7.8023131127636638E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,4       ,   9.0000000000000000E+00,   1.0000000000000000E+00,   4.5000000000000000E+00,   4.6807736057668942E-03,  -9.9426780562261249E-13,   8.2862702459216946E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,5       ,   1.2000000000000000E+01,   1.0000000000000000E+00,   4.5000000000000000E+00,   9.3150224434867535E-03,   1.5107241139374842E-12,   7.2602985700669833E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,6       ,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,7       ,  -1.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   4.5798686329638775E-03,  -1.8950763335051257E-13,  -1.9168972496680342E-03,  -2.7070903151423600E-13,  -3.7807345002486095E-04,  -1.4736714179492043E-13
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,8       ,  -5.0000000000000000E-01,   1.0000000000000000E+00,   1.0000000000000000E+00,   4.7013782253714533E-03,  -1.1734092800069169E-13,  -7.0833667278495183E-04,  -3.3686334053689108E-13,  -1.8160235990378069E-03,  -2.1973703251790633E-13
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,9       ,  -5.0000000000000000E-01,   1.0000000000000000E+00,   5.0000000000000000E+00,  -8.6807255262639649E-03,   1.5821967300954423E-12,   5.3999119170367801E-03,  -4.7566814086482045E-13,  -2.8773645325712305E-03,  -6.1958450139431657E-13
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,10      ,   2.7755575616000048E-16,   1.0000000000000000E+00,   5.5000000000000000E+00,  -9.1615469311970670E-03,   1.4883970067533177E-12,   7.2602225544820126E-03,  -4.8370148443044372E-13,  -1.7798860958006609E-03,  -6.9123551491996376E-13
