#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000002b CALCULE LE 19/09/2026 A 13:14:20 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,1       ,                        1,   2.7755575616000048E-16,   1.0000000000000000E+00,   4.5000000000000000E+00,  -7.6015455326150504E+02,   2.2804636597845152E+02,  -1.9686400582412240E-07, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,10      ,                        1,   2.7755575616000048E-16,   1.0000000000000000E+00,   5.5000000000000000E+00,  -7.6015455326150504E+02,   2.2804636597845152E+02,  -1.9686400582412240E-07, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,2       ,                        1,   3.0000000000000000E+00,   1.0000000000000000E+00,   4.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,11      ,                        1,   3.0000000000000000E+00,   1.0000000000000000E+00,   5.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,3       ,                        1,   6.0000000000000000E+00,   1.0000000000000000E+00,   4.5000000000000000E+00,  -3.5799746743447878E+02,  -2.8273846284110050E-08,   3.2584674775070812E-07, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,12      ,                        1,   6.0000000000000000E+00,   1.0000000000000000E+00,   5.5000000000000000E+00,  -3.5799746743447878E+02,  -2.8273846284110050E-08,   3.2584674775070812E-07, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,4       ,                        1,   9.0000000000000000E+00,   1.0000000000000000E+00,   4.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,13      ,                        1,   9.0000000000000000E+00,   1.0000000000000000E+00,   5.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,5       ,                        1,   1.2000000000000000E+01,   1.0000000000000000E+00,   4.5000000000000000E+00,  -7.6015455327017867E+02,  -2.2804636598105361E+02,  -1.9702125291773139E-07, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,14      ,                        1,   1.2000000000000000E+01,   1.0000000000000000E+00,   5.5000000000000000E+00,  -7.6015455327017867E+02,  -2.2804636598105361E+02,  -1.9702125291773139E-07, -                       , -                       , -                       
