#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000002e CALCULE LE 16/09/2026 A 20:48:55 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,VMIS
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        1,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   1.5794937531478176E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        2,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   1.8850013088642966E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        3,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   2.2445946078330979E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        4,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   2.6100527482097920E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        5,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   2.9474409315895207E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        6,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   3.2325712389432445E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        7,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   3.4480799050402179E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        8,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   3.5820582996895917E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                        9,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   3.6274918420929380E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,6       ,6       ,                       10,  -4.0000000000000000E+00,   1.0000000000000000E+00,   5.0000000000000000E-01,   3.5820582997051947E+07
