#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000001f CALCULE LE 20/09/2026 A 08:43:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,   3.7917262889702219E-03,   7.5651886691536121E-13,   3.0276710522531688E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,2       ,   4.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,   1.1395018532974522E-02,  -5.1443828931386253E-12,   4.4681886351696570E-03, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,3       ,   6.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,4       ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,5       ,   0.0000000000000000E+00,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,6       ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,7       ,   4.0000000000000000E+00,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,8       ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   3.6495814005275450E-03,  -1.9165223711758899E-03,   5.7524105940185595E-03,   6.8175105334108662E-04,   6.1182658449896962E-04,  -1.0461130509873296E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,9       ,   0.0000000000000000E+00,   1.0000000000000000E+00,   3.0000000000000000E+00,   3.6495813993020097E-03,   1.9165223726990770E-03,   5.7524105940146382E-03,  -6.8175105923920531E-04,   6.1182658223369680E-04,   1.0461130476589670E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                       10,10      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   1.1327637710424400E-02,  -1.9176542534698115E-03,   5.7541556652492025E-03,   7.9675030178699680E-04,   3.6889121247529375E-03,  -2.8985430864452882E-05
