#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000001e CALCULE LE 20/09/2026 A 08:43:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,1       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,  -2.4391550279816847E+03,   6.8293817625345594E+02,  -2.2008365249303887E-06, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,1       ,16      ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,  -2.4391550279816847E+03,   6.8293817625345594E+02,  -2.2008365249303887E-06, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,2       ,                        1,   4.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,  -1.3401459738899418E+03,   4.0204379216698248E+02,   2.3183956761855969E-07, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,2       ,17      ,                        1,   4.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,  -1.3401459738899418E+03,   4.0204379216698248E+02,   2.3183956761855969E-07, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,3       ,                        1,   6.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,3       ,18      ,                        1,   6.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        1,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,  -1.0849819684207550E+03,   1.5375785348058394E-06,  -9.7930100187510732E+02,  -1.6706128850928433E-14,   1.7483525659813488E+03,   5.0217486931994958E-07
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,15      ,                        1,  -1.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,  -1.0849819684207594E+03,   1.5375777476761974E-06,  -1.3293010018751020E+03,  -2.9383698335461541E-14,   5.9405156410624159E+02,  -1.0354023137583038E-06
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,4       ,89      ,                        1,  -1.5000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,  -1.0849819684207573E+03,   1.5375781412410185E-06,  -1.1543010018751047E+03,  -2.3044913593194990E-14,   1.1712020650437953E+03,  -2.6661372221917711E-07
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                       10,5       ,15      ,                        1,  -1.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,  -1.0849819684207509E+03,  -1.9677564598764929E-06,  -1.3293010018751077E+03,   9.6376935191999320E-14,   5.9405156410624272E+02,  -1.0354028936234712E-06
