#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000020 CALCULE LE 20/09/2026 A 08:43:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,  -6.8293817625345582E+02,   2.2008364831124860E-06,   2.4391550279816847E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,2       ,   4.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,  -4.0204379216698243E+02,  -2.3183959223664186E-07,   1.3401459738899418E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,3       ,   6.0000000000000000E+00,   0.0000000000000000E+00,   2.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,4       ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,  -1.7381891805331867E+02,   6.9830472721224419E+02,   1.0675600416949601E+03,  -1.4623892002045554E+03,  -2.8998667310409081E+02,   9.8313778080690528E-02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,5       ,   0.0000000000000000E+00,   1.0000000000000000E+00,   0.0000000000000000E+00,  -1.7381891801848252E+02,  -6.9830472149079503E+02,   1.0675600422466232E+03,   1.4623891952121364E+03,  -2.8998667294350724E+02,  -9.8309258476099060E-02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,6       ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,  -3.6867206616705170E+02,   5.6443411290385438E+02,   8.2209045945087553E+02,  -1.3315749281888441E+03,  -7.2941639154691279E+02,   2.7237275952428350E-02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,7       ,   4.0000000000000000E+00,   1.0000000000000000E+00,   0.0000000000000000E+00,  -3.6867206618191034E+02,  -5.6443411665755366E+02,   8.2209045848264952E+02,   1.3315749276946069E+03,  -7.2941639149804610E+02,  -2.7227693131374180E-02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,8       ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -4.0301983972312883E-11,  -5.4342308430932462E-11,  -7.5488060247153044E-11,   1.0231815394945443E-12,   3.4729172458744086E-13,   1.7053025658242404E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,9       ,   0.0000000000000000E+00,   1.0000000000000000E+00,   3.0000000000000000E+00,   1.1084466677857563E-11,   4.7180037654470652E-11,   1.1823431123048067E-11,   2.2737367544323206E-13,  -8.5894149956654164E-13,   5.4001247917767614E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,10      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   1.0501821634534281E-10,  -3.7459813029272482E-11,   1.6291323845507577E-10,   3.4106051316484809E-13,  -3.2824937215791928E-13,  -5.9969806898152456E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,11      ,   4.0000000000000000E+00,   1.0000000000000000E+00,   3.0000000000000000E+00,   6.6705752033158205E-11,  -2.2737367544323206E-12,  -5.6843418860808015E-12,   1.7053025658242404E-13,  -9.7983672475958904E-13,   3.5811353882309049E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,12      ,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   6.8293817625342626E+02,  -2.2008316591382027E-06,  -2.4391550279839958E+03,   5.6843418860808015E-13,  -3.9265776882101736E-17,  -8.5265128291212022E-14
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,13      ,   4.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   4.0204379216742552E+02,   2.3309257812798023E-07,  -1.3401459738911158E+03,  -1.7053025658242404E-13,   2.6388080523558672E-17,   2.9132252166164108E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,14      ,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.0849819684207589E+03,   1.5375782746445375E-06,  -9.7930100187510607E+02,   2.0027727725003716E-14,   1.7191858993146820E+03,   5.0217486738795711E-07
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,15      ,  -1.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,  -6.5938365878537297E-12,  -3.5053327285357520E-06,  -6.1106675275368616E-12,  -2.1911553564002363E-13,  -4.5474735088646412E-13,  -1.6202600240272815E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,16      ,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.8482994568767026E-11,  -4.3491917392218917E-12,   2.3077859623299446E-09,   6.3804743251126467E-13,   2.8421709430404007E-12,  -2.4531786511114334E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                       10,17      ,   4.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,  -3.4600766696257779E-10,  -1.2510730815414297E-09,   1.1917222764168400E-09,   3.7044283717501436E-13,  -1.3983481039758772E-11,   4.2618569924776131E-12
