#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000021 CALCULE LE 20/09/2026 A 08:43:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,VMIS
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        1,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   4.0327653852615453E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        2,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.9748612272822782E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        3,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.8037963459458210E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        4,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.5275404739758834E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        5,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.1595457532969061E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        6,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.7193591054747287E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        7,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.2346052827229805E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        8,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.7469992477465481E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                        9,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.3290349772544414E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       10,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.1083329655321393E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       11,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.1900974942416361E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       12,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.4838220770869888E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       13,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.8365885057233918E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       14,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.1613397966581047E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       15,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.4151426368939787E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       16,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.5751977212299831E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       17,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.6297735301848553E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       18,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.5751977209137570E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       19,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.4151426362830605E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       20,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.1613397958000962E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       21,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.8365885047064073E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       22,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.4838220760824159E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       23,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.1900974936015472E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       24,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.1083329657321161E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       25,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.3290349782465236E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       26,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.7469992491001297E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       27,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.2346052841541346E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       28,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.7193591068291858E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       29,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.1595457544782341E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       30,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.5275404749169275E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       31,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.8037963465990104E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       32,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.9748612276165783E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       33,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   4.0327653852615453E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       34,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   4.0183735226917543E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       35,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.9604378616375521E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       36,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.7892884617058590E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       37,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.5129282315898031E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       38,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   3.1448779416444197E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       39,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.7048211433227643E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       40,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.2206745210512098E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       41,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.7348417978238039E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       42,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.3214389611966861E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       43,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.1100326039980100E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       44,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.2019552548958445E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       45,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.5013844258631214E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       46,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   1.8567923358121548E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       47,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.1828863278978914E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       48,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.4374312879312918E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       49,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.5978748221671022E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       50,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.6525728018664449E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       51,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.5978748218502387E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       52,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.4374312873189896E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                       10,4       ,14      ,                       53,  -2.0000000000000000E+00,   0.0000000000000000E+00,   3.2500000000000000E+00,   2.1828863270372834E+07
