#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000016 CALCULE LE 08/09/2026 A 14:30:18 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,5       ,           1, 0.00000E+00, 3.11430E+00, 0.00000E+00, 1.30447E+04,-8.12353E-12, 7.88503E+02, 2.56480E-12,-9.85629E+02,-7.45221E-12
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,6       ,           1, 5.00000E+00, 3.11430E+00, 0.00000E+00, 1.30447E+04, 1.23423E-11, 2.77029E-09, 5.32126E-13, 9.85628E+02, 7.48395E-12
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,8       ,           1, 2.50000E+00, 3.11430E+00, 0.00000E+00, 1.30447E+04, 2.10939E-12, 3.94251E+02, 1.54847E-12,-1.20113E-04, 1.58732E-14
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,6       ,           1, 5.00000E+00, 3.11430E+00, 0.00000E+00, 1.30447E+04,-7.23325E-12,-1.30200E-10, 9.78215E-13, 9.85628E+02, 7.53019E-12
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,7       ,           1, 1.00000E+01, 3.11430E+00, 0.00000E+00, 1.30447E+04, 5.49538E-12,-7.88503E+02,-4.28714E-12,-9.85629E+02,-7.43813E-12
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,9       ,           1, 7.50000E+00, 3.11430E+00, 0.00000E+00, 1.30447E+04,-8.68939E-13,-3.94251E+02,-1.65446E-12,-1.20112E-04, 4.60297E-14
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,1       ,           1, 5.00000E+00, 0.00000E+00,-1.00000E+00,-1.46693E+03, 1.04757E-05,-1.31109E+03,-1.04757E-05, 2.11149E+03,-3.43388E-06
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,3       ,           1, 5.00000E+00, 3.00000E+00,-1.00000E+00,-1.46693E+03, 1.04757E-05,-1.31109E+03,-1.04757E-05,-1.82178E+03,-3.48610E-05
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,4       ,2       ,           1, 5.00000E+00, 0.00000E+00, 1.00000E+00, 1.46693E+03,-1.04757E-05,-1.31109E+03,-1.04757E-05, 2.11149E+03, 3.43388E-06
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,4       ,4       ,           1, 5.00000E+00, 3.00000E+00, 1.00000E+00, 1.46693E+03,-1.04757E-05,-1.31109E+03,-1.04757E-05,-1.82178E+03, 3.48610E-05
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,5       ,3       ,           1, 5.00000E+00, 3.00000E+00,-1.00000E+00, 0.00000E+00,-1.46693E+03, 1.04757E-05,-3.48610E-05,-1.04757E-05,-1.46693E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,5       ,4       ,           1, 5.00000E+00, 3.00000E+00, 1.00000E+00, 0.00000E+00,-1.46693E+03, 1.04757E-05,-3.48610E-05, 1.04757E-05, 1.46693E+03

