#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000018 CALCULE LE 08/09/2026 A 23:08:20 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       , 1.00000E+00,           1,1       , 5.00000E+00, 0.00000E+00,-1.00000E+00, 1.04757E-05, 1.46693E+03, 2.02080E+03, 2.46634E+03, 1.04757E-05, 3.43388E-06
RESU            ,REAC_NODA       , 1.00000E+00,           1,2       , 5.00000E+00, 0.00000E+00, 1.00000E+00,-1.04757E-05,-1.46693E+03, 2.02080E+03, 2.46634E+03, 1.04757E-05,-3.43388E-06
RESU            ,REAC_NODA       , 1.00000E+00,           1,3       , 5.00000E+00, 3.00000E+00,-1.00000E+00, 2.20229E-20,-2.27374E-13, 3.36513E-11,-1.13687E-13, 2.21429E-20, 1.35525E-20
RESU            ,REAC_NODA       , 1.00000E+00,           1,4       , 5.00000E+00, 3.00000E+00, 1.00000E+00,-1.52466E-20, 0.00000E+00, 3.38787E-11,-1.02318E-12, 2.96797E-20,-1.35525E-20
RESU            ,REAC_NODA       , 1.00000E+00,           1,5       , 0.00000E+00, 3.11430E+00, 0.00000E+00,-1.30447E+04,-4.62552E-12, 7.88503E+02,-2.22584E-12,-1.31417E+03,-1.15971E-11
RESU            ,REAC_NODA       , 1.00000E+00,           1,6       , 5.00000E+00, 3.11430E+00, 0.00000E+00, 4.72937E-11,-1.40733E-11,-1.91540E-09, 7.70873E-13,-1.51454E-09, 4.27893E-12
RESU            ,REAC_NODA       , 1.00000E+00,           1,7       , 1.00000E+01, 3.11430E+00, 0.00000E+00, 1.30447E+04,-3.28912E-12, 7.88503E+02,-3.40995E-12, 1.31417E+03, 9.36017E-12
RESU            ,REAC_NODA       , 1.00000E+00,           1,8       , 2.50000E+00, 3.11430E+00, 0.00000E+00,-2.08189E-11, 1.35915E-11, 4.60091E-09, 1.35606E-12, 4.76055E-09, 1.70091E-11
RESU            ,REAC_NODA       , 1.00000E+00,           1,9       , 7.50000E+00, 3.11430E+00, 0.00000E+00,-2.61275E-11, 8.43113E-12,-6.67114E-10, 3.50992E-12,-1.29792E-09,-1.29080E-11

