#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000001a CALCULE LE 10/09/2026 A 09:10:12 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,VMIS
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        1,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   2.3046654297672942E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        2,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   2.2844346301848326E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        3,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   2.2265011210319269E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        4,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   2.1392318475745384E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        5,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   2.0367507543942772E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        6,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   1.9386476436270155E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        7,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   1.8680959522009294E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        8,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   1.8468924727205813E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        9,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   1.8878188451456297E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       10,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   1.9889883093378574E+07
