#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000017 CALCULE LE 10/09/2026 A 00:54:36 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,2       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.7894769254813725E-03,   6.7912570214402682E-03,  -3.5309687497775879E-03,  -1.1336549967251974E-03,   2.5173719725804415E-03,   6.7912517340498251E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,3       ,   2.7500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.2105316785458974E-03,   1.2839719947350420E-02,  -5.3176495792812400E-03,  -1.5587756204969749E-03,   2.1562429254766364E-03,   9.3379588157276178E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,4       ,   3.0000000000000000E+00,   2.5000000000000000E-01,   0.0000000000000000E+00,   3.1862249911718899E-03,   1.5757825080239537E-02,  -6.2480754885487636E-03,  -1.7641960911208962E-03,   1.7212011443485632E-03,   1.0131128545175744E-02
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,5       ,   3.0000000000000000E+00,   5.5000000000000004E-01,   0.0000000000000000E+00,   2.2160030907312977E-04,   1.6330175430499458E-02,  -6.7871870986022974E-03,  -1.8193841318679728E-03,   1.3352223657381221E-03,   9.3430016523052689E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,6       ,   3.2500000000000000E+00,   8.0000000000000004E-01,   0.0000000000000000E+00,  -1.4211405865926367E-03,   1.8723150810213141E-02,  -7.5055995315969088E-03,  -1.8727987309349065E-03,   8.7198706602957434E-04,   6.4873560574453164E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,7       ,   4.7500000000000000E+00,   8.0000000000000004E-01,   0.0000000000000000E+00,   1.4209670693260605E-03,   1.8723152550792439E-02,  -7.5055993975688051E-03,  -1.8727987538796796E-03,  -8.7198724057137029E-04,  -6.4873537880802889E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,8       ,   5.0000000000000000E+00,   5.5000000000000004E-01,   0.0000000000000000E+00,  -2.2177327372390089E-04,   1.6330177730404780E-02,  -6.7871869141622135E-03,  -1.8193841653316265E-03,  -1.3352225302577640E-03,  -9.3429994798576582E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,9       ,   5.0000000000000000E+00,   2.5000000000000000E-01,   0.0000000000000000E+00,  -3.1863973168762532E-03,   1.5757827380200779E-02,  -6.2480752933440154E-03,  -1.7641961289745190E-03,  -1.7212013001841643E-03,  -1.0131126459409742E-02
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,10      ,   5.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -5.2105317184353199E-03,   1.2839716734020118E-02,  -5.3176495192056869E-03,  -1.5587755981382523E-03,  -2.1562419258653316E-03,  -9.3379568602628693E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,11      ,   7.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.4210547937017815E-03,   9.5502006015963823E-04,  -6.9092400661622654E-04,  -4.2512061767408058E-04,  -1.6689733462524547E-03,  -2.5467065380367897E-03
