#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000014 CALCULE LE 08/09/2026 A 22:54:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,1       ,           1, 0.00000E+00, 0.00000E+00, 0.00000E+00,-3.95631E+03, 2.00518E-05, 5.07956E+02,-1.14555E+02,-7.27897E+02,-8.92232E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,2       ,           1, 2.00000E+00, 0.00000E+00, 0.00000E+00,-3.95631E+03, 2.00453E-05, 2.86387E+02,-1.14555E+02, 6.64463E+01,-8.92232E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,73      ,           1, 1.00000E+00, 0.00000E+00, 0.00000E+00,-3.95631E+03, 2.00485E-05, 3.97172E+02,-1.14555E+02,-3.30725E+02,-8.92232E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,2       ,           1, 2.00000E+00, 0.00000E+00, 0.00000E+00,-3.95631E+03, 2.00541E-05, 2.86387E+02,-1.14555E+02, 3.47111E+01,-8.92232E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,3       ,           1, 2.75000E+00, 0.00000E+00, 0.00000E+00,-3.95631E+03, 2.00815E-05, 2.03299E+02,-1.14555E+02, 2.18343E+02,-8.92232E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,74      ,           1, 2.37500E+00, 0.00000E+00, 0.00000E+00,-3.95631E+03, 2.00678E-05, 2.44843E+02,-1.14555E+02, 1.26527E+02,-8.92232E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,4       ,           1, 3.00000E+00, 2.50000E-01, 0.00000E+00,-9.76586E-06,-3.95631E+03, 1.59811E+02,-2.60019E+02,-6.98150E+01, 9.68456E+01
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,5       ,           1, 3.00000E+00, 5.50000E-01, 0.00000E+00,-9.63853E-06,-3.95631E+03, 1.26576E+02,-2.60019E+02,-2.68569E+01, 1.28374E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,75      ,           1, 3.00000E+00, 4.00000E-01, 0.00000E+00,-9.70220E-06,-3.95631E+03, 1.43194E+02,-2.60019E+02,-4.83359E+01, 6.90292E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,4       ,6       ,           1, 3.25000E+00, 8.00000E-01, 0.00000E+00,-3.95631E+03, 3.51916E-07, 8.30884E+01,-3.09202E-06, 3.05519E+02, 2.27282E+03
