#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000016 CALCULE LE 08/09/2026 A 22:54:52 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       , 1.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.95631E+03, 2.00507E-05, 5.07956E+02, 1.14555E+02,-7.64825E+02,-8.92232E+02
RESU            ,REAC_NODA       , 1.00000E+00,           1,2       , 2.00000E+00, 0.00000E+00, 0.00000E+00,-4.30282E-09, 1.23068E-08,-4.88126E-09,-2.08757E-11, 1.08894E-09, 2.28101E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,3       , 2.75000E+00, 0.00000E+00, 0.00000E+00, 2.49222E-07,-1.88573E-07, 7.10519E-08, 3.86180E-10, 2.38447E-09, 5.33487E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,4       , 3.00000E+00, 2.50000E-01, 0.00000E+00,-1.14963E-07,-2.85372E-06,-7.03740E-08,-2.71055E-09, 9.89075E-12, 1.13715E-10
RESU            ,REAC_NODA       , 1.00000E+00,           1,5       , 3.00000E+00, 5.50000E-01, 0.00000E+00, 1.13230E-07, 3.25654E-06,-2.10472E-07,-3.46948E-09, 4.64411E-10,-5.70253E-10
RESU            ,REAC_NODA       , 1.00000E+00,           1,6       , 3.25000E+00, 8.00000E-01, 0.00000E+00, 2.26599E-07,-1.25277E-06, 5.56669E-07,-5.95702E-10, 2.88139E-09, 7.53744E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,7       , 4.75000E+00, 8.00000E-01, 0.00000E+00, 1.21045E-08, 2.33955E-07,-7.56178E-08,-4.72742E-10, 3.06267E-09, 8.07267E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,8       , 5.00000E+00, 5.50000E-01, 0.00000E+00, 4.72173E-08,-1.10787E-06, 1.08571E-07, 2.61817E-09, 6.87805E-12, 2.31694E-10
RESU            ,REAC_NODA       , 1.00000E+00,           1,9       , 5.00000E+00, 2.50000E-01, 0.00000E+00,-1.36085E-07, 1.76318E-06,-1.36299E-07, 2.13777E-09,-1.42336E-10, 4.50910E-11
RESU            ,REAC_NODA       , 1.00000E+00,           1,10      , 5.25000E+00, 0.00000E+00, 0.00000E+00,-1.77233E-07,-1.72723E-06, 7.40929E-07, 6.41919E-10, 2.17273E-09, 3.20892E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,11      , 7.25000E+00, 0.00000E+00, 0.00000E+00,-6.65295E-09,-6.38865E-09, 2.71712E-09,-1.70530E-12, 5.73266E-10, 1.28227E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,12      , 8.00000E+00, 0.00000E+00, 0.00000E+00,-3.95631E+03, 1.19637E-05, 5.07956E+02, 1.14555E+02, 7.64825E+02, 8.92232E+02
RESU            ,REAC_NODA       , 1.00000E+00,           1,13      , 2.77450E+00, 1.20382E-03, 0.00000E+00, 4.45757E-07,-1.88470E-06, 7.41009E-07, 4.10196E-10, 2.01939E-09, 4.34250E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,14      , 2.79877E+00, 4.80368E-03, 0.00000E+00, 1.01356E-06,-2.15441E-07, 9.11114E-08, 4.28258E-10, 2.33098E-09, 1.32809E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,15      , 2.82257E+00, 1.07649E-02, 0.00000E+00,-1.39296E-06,-2.65777E-08,-1.73630E-07,-4.13223E-10, 3.23689E-09, 5.06952E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,16      , 2.84567E+00, 1.90301E-02, 0.00000E+00,-2.00065E-06,-5.55032E-07,-1.09170E-07,-4.28813E-10, 1.63394E-09, 4.30020E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,17      , 2.86785E+00, 2.95197E-02, 0.00000E+00,-1.09658E-06, 4.86143E-07,-4.88214E-07,-1.63739E-09, 3.10894E-09, 4.18845E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,18      , 2.88889E+00, 4.21326E-02, 0.00000E+00, 1.08644E-06, 1.65460E-06,-5.01908E-07,-2.09482E-09, 2.61173E-09, 3.76224E-09
RESU            ,REAC_NODA       , 1.00000E+00,           1,19      , 2.90860E+00, 5.67474E-02, 0.00000E+00,-5.61084E-07, 1.02180E-07,-1.73235E-07,-1.74050E-09, 1.38451E-09, 5.15388E-09
