#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000044 CALCULE LE 08/09/2026 A 14:30:07 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            , 0.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,2       , 3.00000E+00, 0.00000E+00, 0.00000E+00, 4.60468E-03,-3.62701E-03,-9.63289E-04, 5.34202E-04, 2.46375E-04, 8.04909E-04
RESU            ,DEPL            , 0.00000E+00,           1,3       , 3.20000E+00, 2.00000E-01, 0.00000E+00, 4.61118E-03,-3.07536E-03,-8.97371E-04, 5.76843E-04, 2.15794E-04, 1.88976E-03
RESU            ,DEPL            , 0.00000E+00,           1,4       , 3.20000E+00, 2.20000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,5       , 3.01960E+00, 9.63055E-04, 0.00000E+00, 4.63716E-03,-3.60914E-03,-9.67593E-04, 5.37666E-04, 2.44052E-04, 8.73818E-04
RESU            ,DEPL            , 0.00000E+00,           1,6       , 3.03902E+00, 3.84294E-03, 0.00000E+00, 4.66358E-03,-3.58732E-03,-9.70750E-04, 5.41044E-04, 2.41950E-04, 9.43071E-04
RESU            ,DEPL            , 0.00000E+00,           1,7       , 3.05806E+00, 8.61193E-03, 0.00000E+00, 4.68834E-03,-3.56142E-03,-9.72737E-04, 5.44319E-04, 2.39969E-04, 1.01277E-03
RESU            ,DEPL            , 0.00000E+00,           1,8       , 3.07654E+00, 1.52241E-02, 0.00000E+00, 4.70973E-03,-3.53197E-03,-9.73533E-04, 5.47482E-04, 2.38077E-04, 1.08279E-03
RESU            ,DEPL            , 0.00000E+00,           1,9       , 3.09428E+00, 2.36157E-02, 0.00000E+00, 4.72759E-03,-3.49927E-03,-9.73121E-04, 5.50524E-04, 2.36251E-04, 1.15297E-03
RESU            ,DEPL            , 0.00000E+00,           1,10      , 3.11111E+00, 3.37061E-02, 0.00000E+00, 4.74141E-03,-3.46378E-03,-9.71501E-04, 5.53441E-04, 2.34472E-04, 1.22314E-03
RESU            ,DEPL            , 0.00000E+00,           1,11      , 3.12688E+00, 4.53979E-02, 0.00000E+00, 4.75086E-03,-3.42596E-03,-9.68684E-04, 5.56231E-04, 2.32722E-04, 1.29314E-03
RESU            ,DEPL            , 0.00000E+00,           1,12      , 3.14142E+00, 5.85786E-02, 0.00000E+00, 4.75562E-03,-3.38637E-03,-9.64693E-04, 5.58895E-04, 2.30981E-04, 1.36278E-03
RESU            ,DEPL            , 0.00000E+00,           1,13      , 3.15460E+00, 7.31213E-02, 0.00000E+00, 4.75544E-03,-3.34556E-03,-9.59567E-04, 5.61439E-04, 2.29232E-04, 1.43192E-03
RESU            ,DEPL            , 0.00000E+00,           1,14      , 3.16629E+00, 8.88860E-02, 0.00000E+00, 4.75016E-03,-3.30414E-03,-9.53354E-04, 5.63869E-04, 2.27461E-04, 1.50037E-03
