#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000043 CALCULE LE 10/09/2026 A 09:10:01 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,1       ,1       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.4192962875444737E+03,   1.2805133507412286E+03,   3.9314324874230931E+02,   8.1991190981703340E+01,  -2.8513092458231205E+02,   1.7601553031160522E+03
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,1       ,2       ,                        1,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.4192962875404714E+03,   1.2805133507398634E+03,  -7.8473802490293735E+01,   8.1991190981705600E+01,   1.8687324479661828E+02,  -2.0813847491085876E+03
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,1       ,20      ,                        1,   1.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.4192962875424728E+03,   1.2805133507405460E+03,   1.5733472312600779E+02,   8.1991190981704477E+01,  -4.9128839892846884E+01,  -1.6061472299626774E+02
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,2       ,3       ,                        1,   3.2000000000000002E+00,   2.0000000000000001E-01,   0.0000000000000000E+00,  -1.2805133457976274E+03,  -2.4192963018524933E+03,  -1.2784159537313093E+02,  -4.9681316104837101E+01,   1.1241767192160808E+02,  -1.8536281595812011E+03
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,2       ,4       ,                        1,   3.2000000000000002E+00,   2.2000000000000002E+00,   0.0000000000000000E+00,  -1.2805133458153116E+03,  -2.4192963018561773E+03,  -4.4225296286187211E+02,  -4.9681316104833023E+01,  -4.5767688631328349E+02,   2.9849644441276746E+03
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,2       ,21      ,                        1,   3.2000000000000002E+00,   1.2000000000000000E+00,   0.0000000000000000E+00,  -1.2805133458064695E+03,  -2.4192963018543351E+03,  -2.8504727911750149E+02,  -4.9681316104835062E+01,  -1.7262960719583771E+02,   5.6566814227323653E+02
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,3       ,2       ,                        1,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.4792139506562244E+03,   1.1602616739351161E+03,  -7.8473802553663234E+01,   7.8508281461081779E+01,   7.2914069468749602E+01,  -2.0813847491097281E+03
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,3       ,5       ,                        1,   3.0196034280999999E+00,   9.6305466556000042E-04,   0.0000000000000000E+00,  -2.4792139535062506E+03,   1.1602616734286330E+03,  -8.1559289590861027E+01,   7.8508281460930633E+01,   7.1343579136981319E+01,  -2.1041572859263119E+03
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,3       ,22      ,                        1,   3.0098017140000000E+00,   4.8152733278000021E-04,   0.0000000000000000E+00,  -2.4792139520812379E+03,   1.1602616736818745E+03,  -8.0016546072262130E+01,   7.8508281461006206E+01,   7.2128824302865468E+01,  -2.0927710175180200E+03
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,4       ,5       ,                        1,   3.0196034280999999E+00,   9.6305466556000042E-04,   0.0000000000000000E+00,  -2.5810013918768818E+03,   9.1166923259421776E+02,  -8.1559289803352726E+01,   7.1137843642903221E+01,   7.8695221872117358E+01,  -2.1041572859281073E+03
