#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000045 CALCULE LE 01/07/2026 A 11:22:48 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,FORC_NODA       , 0.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.36133E+03, 1.47664E+03,-1.89110E-09, 5.57874E-10, 2.85583E-09, 1.91920E+03
RESU            ,FORC_NODA       , 0.00000E+00,           1,2       , 3.00000E+00, 0.00000E+00, 0.00000E+00, 2.33513E-08,-7.91171E+01,-1.93613E-09,-1.19530E-10, 4.60658E-10,-1.97178E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,3       , 3.20000E+00, 2.00000E-01, 0.00000E+00, 5.41107E-07,-5.29161E+01,-4.14218E-09, 7.39072E-10,-2.59393E-10,-3.18983E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,4       , 3.20000E+00, 2.20000E+00, 0.00000E+00,-2.36133E+03,-7.72251E+02,-2.18938E-09, 3.39293E-09, 3.78601E-11,-2.94268E+03
RESU            ,FORC_NODA       , 0.00000E+00,           1,5       , 3.01960E+00, 9.63055E-04, 0.00000E+00,-1.09919E-07,-1.02850E+00,-2.37046E-09,-5.28929E-10, 1.97827E-10,-4.09818E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,6       , 3.03902E+00, 3.84294E-03, 0.00000E+00, 4.72857E-07,-1.02850E+00,-5.36617E-10,-4.80771E-10, 7.29918E-10, 5.59794E-10
RESU            ,FORC_NODA       , 0.00000E+00,           1,7       , 3.05806E+00, 8.61193E-03, 0.00000E+00,-2.43873E-07,-1.02850E+00,-2.71750E-09,-5.45356E-10, 1.35648E-09,-2.72257E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,8       , 3.07654E+00, 1.52241E-02, 0.00000E+00, 7.59489E-07,-1.02850E+00, 5.88642E-09, 4.83769E-10, 1.70331E-10,-3.66026E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,9       , 3.09428E+00, 2.36157E-02, 0.00000E+00,-1.13753E-07,-1.02850E+00, 1.18466E-10, 1.94140E-10,-3.94948E-10,-5.13728E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,10      , 3.11111E+00, 3.37061E-02, 0.00000E+00,-6.95906E-07,-1.02850E+00,-1.29079E-09,-2.32727E-10,-8.36996E-11,-4.58067E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,11      , 3.12688E+00, 4.53979E-02, 0.00000E+00, 2.96178E-07,-1.02850E+00, 4.19479E-09,-6.67257E-10, 6.08265E-12,-2.51885E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,12      , 3.14142E+00, 5.85786E-02, 0.00000E+00,-7.32389E-07,-1.02849E+00, 2.05331E-10,-4.41134E-10, 5.38430E-11,-3.79532E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,13      , 3.15460E+00, 7.31213E-02, 0.00000E+00,-1.23035E-07,-1.02850E+00,-7.75453E-09,-5.37511E-11,-2.15310E-11,-2.88446E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,14      , 3.16629E+00, 8.88860E-02, 0.00000E+00, 1.40789E-07,-1.02850E+00, 6.74428E-09,-3.16337E-10,-3.31225E-10,-6.02313E-10
RESU            ,FORC_NODA       , 0.00000E+00,           1,15      , 3.17638E+00, 1.05721E-01, 0.00000E+00, 2.47659E-07,-1.02850E+00, 3.81223E-09,-1.37849E-10,-1.68751E-10,-4.91082E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,16      , 3.18478E+00, 1.23463E-01, 0.00000E+00, 2.74342E-07,-1.02850E+00, 7.88901E-10, 2.50197E-10, 2.04497E-10,-5.23801E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,17      , 3.19139E+00, 1.41943E-01, 0.00000E+00, 1.27882E-06,-1.02850E+00, 4.03034E-09, 5.47749E-10,-2.40890E-10, 7.54198E-10
RESU            ,FORC_NODA       , 0.00000E+00,           1,18      , 3.19616E+00, 1.60982E-01, 0.00000E+00, 1.69875E-06,-1.02850E+00, 2.05414E-09,-2.02225E-10,-2.65293E-10,-3.76303E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,19      , 3.19904E+00, 1.80397E-01, 0.00000E+00,-1.43359E-07,-1.02850E+00,-4.39913E-10, 2.21161E-10,-2.52290E-11,-2.36287E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,20      , 1.50000E+00, 0.00000E+00, 0.00000E+00,-3.76362E-09,-3.14411E+02, 5.96565E-12, 4.37012E-14,-1.72288E-11,-2.05586E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,21      , 3.20000E+00, 1.20000E+00, 0.00000E+00, 2.68586E-09,-2.09608E+02,-2.11175E-11,-9.94670E-13,-1.93662E-12, 2.62806E-10
RESU            ,FORC_NODA       , 0.00000E+00,           1,22      , 3.00980E+00, 4.81527E-04, 0.00000E+00, 1.93618E-06,-2.05699E+00,-5.28214E-10,-2.66767E-10, 1.95365E-10, 2.32350E-10
RESU            ,FORC_NODA       , 0.00000E+00,           1,23      , 3.02931E+00, 2.40300E-03, 0.00000E+00,-9.06717E-07,-2.05699E+00, 3.27749E-09,-3.28193E-10, 9.88327E-10,-1.03184E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,24      , 3.04854E+00, 6.22744E-03, 0.00000E+00, 2.92182E-06,-2.05699E+00, 6.30348E-09, 1.11963E-09,-6.94277E-10,-3.80809E-10
RESU            ,FORC_NODA       , 0.00000E+00,           1,25      , 3.06730E+00, 1.19180E-02, 0.00000E+00, 2.66201E-06,-2.05699E+00,-4.24997E-10, 8.77303E-10,-5.20079E-10,-3.47501E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,26      , 3.08541E+00, 1.94199E-02, 0.00000E+00, 1.36087E-06,-2.05699E+00,-7.58959E-09, 8.02497E-10, 3.51247E-10,-3.64489E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,27      , 3.10270E+00, 2.86609E-02, 0.00000E+00,-6.19327E-07,-2.05699E+00, 3.91813E-09, 6.06503E-10, 4.25613E-10,-3.71355E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,28      , 3.11900E+00, 3.95520E-02, 0.00000E+00, 4.05579E-07,-2.05699E+00,-4.38900E-09, 1.56238E-10, 4.58920E-10,-1.79011E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,29      , 3.13415E+00, 5.19883E-02, 0.00000E+00,-2.65718E-07,-2.05699E+00, 4.92994E-10,-3.06499E-10, 6.27264E-10,-2.80962E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,30      , 3.14801E+00, 6.58500E-02, 0.00000E+00,-2.66694E-07,-2.05699E+00, 6.25537E-09,-1.88527E-10,-2.71749E-10,-3.01431E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,31      , 3.16045E+00, 8.10036E-02, 0.00000E+00, 1.12493E-06,-2.05699E+00, 3.80862E-09, 1.94472E-10, 3.46088E-10,-3.78099E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,32      , 3.17134E+00, 9.73033E-02, 0.00000E+00,-3.37383E-07,-2.05699E+00,-5.56193E-09,-1.51895E-10,-4.82947E-10,-2.33263E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,33      , 3.18058E+00, 1.14592E-01, 0.00000E+00,-3.43031E-08,-2.05699E+00,-4.18819E-10,-7.32353E-11,-1.12848E-10,-3.16331E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,34      , 3.18808E+00, 1.32703E-01, 0.00000E+00, 7.09896E-08,-2.05699E+00, 6.68129E-10, 4.21869E-10,-4.84864E-10,-2.77157E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,35      , 3.19377E+00, 1.51463E-01, 0.00000E+00, 9.06410E-07,-2.05699E+00,-1.07764E-08,-5.62732E-10, 3.82840E-10,-8.27176E-10
RESU            ,FORC_NODA       , 0.00000E+00,           1,36      , 3.19760E+00, 1.70689E-01, 0.00000E+00, 1.34810E-06,-2.05699E+00, 1.50528E-09,-6.12310E-10,-6.18345E-10,-3.78193E-09
RESU            ,FORC_NODA       , 0.00000E+00,           1,37      , 3.19952E+00, 1.90198E-01, 0.00000E+00, 4.29303E-07,-2.05699E+00, 9.08304E-10, 8.66297E-10, 7.12554E-10,-2.52303E-09

