#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000003a CALCULE LE 27/08/2026 A 14:22:40 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,1       ,1       ,           1, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.00000E+00,-0.00000E+00,-5.00000E+02,-0.00000E+00, 1.50000E+03,-0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,1       ,2       ,           1, 2.50000E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,-5.00000E+02, 0.00000E+00, 1.37500E+03, 0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,2       ,2       ,           1, 2.50000E-01, 0.00000E+00, 0.00000E+00,-0.00000E+00,-0.00000E+00,-5.00000E+02,-0.00000E+00, 1.37500E+03,-0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,2       ,3       ,           1, 5.00000E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,-5.00000E+02, 0.00000E+00, 1.25000E+03, 0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,3       ,3       ,           1, 5.00000E-01, 0.00000E+00, 0.00000E+00,-0.00000E+00,-0.00000E+00,-5.00000E+02,-0.00000E+00, 1.25000E+03,-0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,3       ,4       ,           1, 7.50000E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,-5.00000E+02, 0.00000E+00, 1.12500E+03, 0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,4       ,4       ,           1, 7.50000E-01, 0.00000E+00, 0.00000E+00,-0.00000E+00,-0.00000E+00,-5.00000E+02,-0.00000E+00, 1.12500E+03,-0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,4       ,5       ,           1, 1.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,-5.00000E+02, 0.00000E+00, 1.00000E+03, 0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,5       ,5       ,           1, 1.00000E+00, 0.00000E+00, 0.00000E+00,-0.00000E+00,-0.00000E+00,-5.00000E+02,-0.00000E+00, 1.00000E+03,-0.00000E+00
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,5       ,6       ,           1, 1.25000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,-5.00000E+02, 0.00000E+00, 8.75000E+02, 0.00000E+00
