#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000017 CALCULE LE 08/09/2026 A 13:53:21 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            , 1.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,2       , 2.00000E+00, 0.00000E+00, 0.00000E+00, 1.05509E-03,-1.51396E-03,-1.57194E-03,-5.27056E-03, 1.31214E-03, 5.63802E-03
RESU            ,DEPL            , 1.00000E+00,           1,3       , 2.20000E+00, 2.00000E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00,-2.98894E-03,-5.99004E-03, 1.37564E-03, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,4       , 2.20000E+00, 1.70000E+00, 0.00000E+00,-5.83719E-03, 1.78082E-03,-1.34351E-02,-7.42583E-03, 2.03650E-03, 5.81061E-03
RESU            ,DEPL            , 1.00000E+00,           1,5       , 3.70000E+00, 1.70000E+00, 0.00000E+00,-4.05964E-03, 1.04967E-02,-2.07461E-02,-7.42582E-03, 6.11272E-03, 5.81061E-03
RESU            ,DEPL            , 1.00000E+00,           1,6       , 4.70000E+00, 1.70000E+00, 0.00000E+00,-2.86751E-03, 0.00000E+00, 5.68170E-02,-           ,-           ,-           
RESU            ,DEPL            , 1.00000E+00,           1,7       , 6.70000E+00, 1.70000E+00, 0.00000E+00,-1.42314E-03, 0.00000E+00,-1.74314E-03, 0.00000E+00,-2.11148E-03, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,8       , 7.90000E+00, 1.70000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,9       , 2.01960E+00, 9.63055E-04, 0.00000E+00, 1.06267E-03,-1.39993E-03,-1.60288E-03,-5.32215E-03, 1.31856E-03, 5.89163E-03
RESU            ,DEPL            , 1.00000E+00,           1,10      , 2.03902E+00, 3.84294E-03, 0.00000E+00, 1.05444E-03,-1.27795E-03,-1.64398E-03,-5.37331E-03, 1.32381E-03, 6.13055E-03
RESU            ,DEPL            , 1.00000E+00,           1,11      , 2.05806E+00, 8.61193E-03, 0.00000E+00, 1.03351E-03,-1.14976E-03,-1.69502E-03,-5.42382E-03, 1.32803E-03, 6.33955E-03
RESU            ,DEPL            , 1.00000E+00,           1,12      , 2.07654E+00, 1.52241E-02, 0.00000E+00, 9.97969E-04,-1.01788E-03,-1.75566E-03,-5.47349E-03, 1.33133E-03, 6.50242E-03
RESU            ,DEPL            , 1.00000E+00,           1,13      , 2.09428E+00, 2.36157E-02, 0.00000E+00, 9.47773E-04,-8.84909E-04,-1.82549E-03,-5.52219E-03, 1.33392E-03, 6.60317E-03
RESU            ,DEPL            , 1.00000E+00,           1,14      , 2.11111E+00, 3.37061E-02, 0.00000E+00, 8.83192E-04,-7.53746E-04,-1.90396E-03,-5.56978E-03, 1.33599E-03, 6.62637E-03
