#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000016 CALCULE LE 27/08/2026 A 14:06:03 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,1       ,           1, 0.00000E+00, 0.00000E+00, 0.00000E+00,-2.69129E+05, 6.53333E+03,-3.22031E-12,-3.10516E-12,-3.42823E-12, 4.68316E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,2       ,           1, 2.00000E+00, 0.00000E+00, 0.00000E+00,-2.69129E+05, 6.21892E+03,-3.51956E-12,-3.97265E-12, 2.21143E-12,-8.06908E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,24      ,           1, 1.00000E+00, 0.00000E+00, 0.00000E+00,-2.69129E+05, 6.37612E+03,-3.36994E-12,-3.53891E-12,-6.08402E-13,-1.69296E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,3       ,           1, 2.20000E+00, 2.00000E-01, 0.00000E+00,-3.14083E+03,-6.85226E+03, 4.02799E-12,-1.69412E-12,-4.37592E-13,-6.74605E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,4       ,           1, 2.20000E+00, 1.70000E+00, 0.00000E+00,-2.90502E+03,-6.85226E+03, 1.86816E-11,-9.14354E-13,-5.71096E-14, 3.53233E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,25      ,           1, 2.20000E+00, 9.50000E-01, 0.00000E+00,-3.02293E+03,-6.85226E+03, 1.13548E-11,-1.30423E-12,-2.47351E-13,-1.60686E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,4       ,           1, 2.20000E+00, 1.70000E+00, 0.00000E+00,-6.85226E+03,-2.35489E+03,-8.50792E-22, 3.38813E-21, 1.12130E-21,-3.51742E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,5       ,           1, 3.70000E+00, 1.70000E+00, 0.00000E+00,-6.85226E+03,-2.35489E+03,-8.50792E-22, 3.38813E-21,-1.54877E-22, 1.49094E+01
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,4       ,7       ,           1, 6.70000E+00, 1.70000E+00, 0.00000E+00,-6.85226E+03, 1.74814E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 1.01651E+01
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,4       ,8       ,           1, 7.90000E+00, 1.70000E+00, 0.00000E+00,-6.85226E+03, 1.74814E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-1.99612E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,5       ,5       ,           1, 3.70000E+00, 1.70000E+00, 0.00000E+00,-6.85226E+03,-           ,-           ,-           ,-           ,-           
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,5       ,6       ,           1, 4.70000E+00, 1.70000E+00, 0.00000E+00,-6.85226E+03,-           ,-           ,-           ,-           ,-           
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,6       ,6       ,           1, 4.70000E+00, 1.70000E+00, 0.00000E+00,-6.84147E+03,-           ,-           ,-           ,-           ,-           
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,6       ,7       ,           1, 6.70000E+00, 1.70000E+00, 0.00000E+00,-6.84147E+03,-           ,-           ,-           ,-           ,-           
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,7       ,2       ,           1, 2.00000E+00, 0.00000E+00, 0.00000E+00,-2.69110E+05,-6.99409E+03,-9.16623E-10, 6.10620E-11,-3.09133E-10,-8.01669E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,7       ,9       ,           1, 2.01960E+00, 9.63055E-04, 0.00000E+00,-2.69110E+05,-6.99718E+03, 5.92810E-10,-9.19541E-11, 2.69549E-10,-7.87938E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,7       ,26      ,           1, 2.00980E+00, 4.81527E-04, 0.00000E+00,-2.69110E+05,-6.99564E+03,-1.61906E-10,-1.54460E-11,-1.97922E-11,-7.94803E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,8       ,9       ,           1, 2.01960E+00, 9.63055E-04, 0.00000E+00,-2.67128E+05,-3.33408E+04,-5.79978E-10, 9.27073E-12, 4.20458E-11,-7.87938E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,8       ,10      ,           1, 2.03902E+00, 3.84294E-03, 0.00000E+00,-2.67127E+05,-3.33439E+04, 2.36957E-10, 8.28514E-11,-8.37529E-11,-7.22497E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,8       ,27      ,           1, 2.02931E+00, 2.40300E-03, 0.00000E+00,-2.67128E+05,-3.33424E+04,-1.71511E-10, 4.60610E-11,-2.08535E-11,-7.55218E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,9       ,10      ,           1, 2.03902E+00, 3.84294E-03, 0.00000E+00,-2.62573E+05,-5.93664E+04, 3.80046E-10,-1.45721E-10,-1.08374E-10,-7.22497E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,9       ,11      ,           1, 2.05806E+00, 8.61193E-03, 0.00000E+00,-2.62572E+05,-5.93694E+04,-2.27405E-10,-5.54096E-11,-1.66746E-11,-6.05975E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,9       ,28      ,           1, 2.04854E+00, 6.22744E-03, 0.00000E+00,-2.62572E+05,-5.93679E+04, 7.63207E-11,-1.00565E-10,-6.25242E-11,-6.64236E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,10      ,11      ,           1, 2.05806E+00, 8.61193E-03, 0.00000E+00,-2.55489E+05,-8.48201E+04,-1.23544E-09,-1.02596E-10,-1.27769E-10,-6.05975E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,10      ,12      ,           1, 2.07654E+00, 1.52241E-02, 0.00000E+00,-2.55487E+05,-8.48230E+04, 1.28670E-09, 9.62023E-11, 1.37056E-11,-4.39495E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,10      ,29      ,           1, 2.06730E+00, 1.19180E-02, 0.00000E+00,-2.55488E+05,-8.48215E+04, 2.56307E-11,-3.19678E-12,-5.70317E-11,-5.22735E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,11      ,12      ,           1, 2.07654E+00, 1.52241E-02, 0.00000E+00,-2.45943E+05,-1.09457E+05,-1.47503E-09,-7.53911E-11, 1.90863E-11,-4.39495E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,11      ,13      ,           1, 2.09428E+00, 2.36157E-02, 0.00000E+00,-2.45942E+05,-1.09459E+05, 9.35175E-11, 7.60368E-11,-3.65781E-11,-2.24661E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,11      ,30      ,           1, 2.08541E+00, 1.94199E-02, 0.00000E+00,-2.45942E+05,-1.09458E+05,-6.90754E-10, 3.22853E-13,-8.74589E-12,-3.32078E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,12      ,13      ,           1, 2.09428E+00, 2.36157E-02, 0.00000E+00,-2.34029E+05,-1.33039E+05, 1.09492E-09,-6.89125E-11, 2.86776E-11,-2.24661E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,12      ,14      ,           1, 2.11111E+00, 3.37061E-02, 0.00000E+00,-2.34027E+05,-1.33042E+05,-6.08837E-10, 4.16179E-11, 1.13740E-11, 3.64578E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,12      ,31      ,           1, 2.10270E+00, 2.86609E-02, 0.00000E+00,-2.34028E+05,-1.33040E+05, 2.43039E-10,-1.36473E-11, 2.00258E-11,-9.41017E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,13      ,14      ,           1, 2.11111E+00, 3.37061E-02, 0.00000E+00,-2.19860E+05,-1.55340E+05,-3.89132E-10,-2.78179E-11, 1.11369E-11, 3.64578E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,13      ,15      ,           1, 2.12688E+00, 4.53979E-02, 0.00000E+00,-2.19858E+05,-1.55342E+05,-1.58890E-10, 1.92639E-11, 3.18049E-12, 3.41346E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,13      ,32      ,           1, 2.11900E+00, 3.95520E-02, 0.00000E+00,-2.19859E+05,-1.55341E+05,-2.74011E-10,-4.27702E-12, 7.15872E-12, 1.88902E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,14      ,15      ,           1, 2.12688E+00, 4.53979E-02, 0.00000E+00,-2.03573E+05,-1.76144E+05,-1.44175E-10, 3.87147E-11,-9.23129E-12, 3.41346E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,14      ,16      ,           1, 2.14142E+00, 5.85786E-02, 0.00000E+00,-2.03571E+05,-1.76146E+05, 8.86996E-10,-5.00416E-11, 2.48144E-11, 6.87067E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,14      ,33      ,           1, 2.13415E+00, 5.19883E-02, 0.00000E+00,-2.03572E+05,-1.76145E+05, 3.71411E-10,-5.66347E-12, 7.79155E-12, 5.14207E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,15      ,16      ,           1, 2.14142E+00, 5.85786E-02, 0.00000E+00,-1.85325E+05,-1.95251E+05, 2.92439E-10, 1.26474E-10,-8.88081E-11, 6.87067E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,15      ,17      ,           1, 2.15460E+00, 7.31213E-02, 0.00000E+00,-1.85323E+05,-1.95254E+05, 1.06992E-10,-4.24271E-11, 5.20482E-11, 1.07029E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,15      ,34      ,           1, 2.14801E+00, 6.58500E-02, 0.00000E+00,-1.85324E+05,-1.95252E+05, 1.99716E-10, 4.20233E-11,-1.83800E-11, 8.78679E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,16      ,17      ,           1, 2.15460E+00, 7.31213E-02, 0.00000E+00,-1.65293E+05,-2.12478E+05, 1.83286E-11, 8.52670E-11, 4.00962E-12, 1.07029E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,16      ,18      ,           1, 2.16629E+00, 8.88860E-02, 0.00000E+00,-1.65290E+05,-2.12480E+05, 8.43916E-11,-4.19177E-11,-5.10830E-12, 1.48733E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,16      ,35      ,           1, 2.16045E+00, 8.10036E-02, 0.00000E+00,-1.65291E+05,-2.12479E+05, 5.13601E-11, 2.16747E-11,-5.49338E-13, 1.27881E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,17      ,18      ,           1, 2.16629E+00, 8.88860E-02, 0.00000E+00,-1.43667E+05,-2.27658E+05, 7.24592E-10,-2.73486E-11,-8.12917E-14, 1.48733E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,17      ,19      ,           1, 2.17638E+00, 1.05721E-01, 0.00000E+00,-1.43665E+05,-2.27660E+05,-2.03119E-10,-1.08404E-11, 7.69209E-12, 1.93415E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,17      ,36      ,           1, 2.17134E+00, 9.73033E-02, 0.00000E+00,-1.43666E+05,-2.27659E+05, 2.60737E-10,-1.90945E-11, 3.80540E-12, 1.71074E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,18      ,19      ,           1, 2.17638E+00, 1.05721E-01, 0.00000E+00,-1.20659E+05,-2.40645E+05, 2.45841E-10, 4.67894E-11,-3.27937E-12, 1.93415E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,18      ,20      ,           1, 2.18478E+00, 1.23463E-01, 0.00000E+00,-1.20656E+05,-2.40646E+05, 2.79154E-11,-2.46187E-11,-7.16606E-12, 2.40647E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,18      ,37      ,           1, 2.18058E+00, 1.14592E-01, 0.00000E+00,-1.20657E+05,-2.40646E+05, 1.36878E-10, 1.10854E-11,-5.22271E-12, 2.17031E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,19      ,20      ,           1, 2.18478E+00, 1.23463E-01, 0.00000E+00,-9.64873E+04,-2.51314E+05, 4.24646E-11,-2.61577E-13, 5.86485E-12, 2.40647E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,19      ,21      ,           1, 2.19139E+00, 1.41943E-01, 0.00000E+00,-9.64843E+04,-2.51315E+05, 1.77232E-11, 7.79333E-12,-1.51570E-11, 2.89973E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,19      ,38      ,           1, 2.18808E+00, 1.32703E-01, 0.00000E+00,-9.64858E+04,-2.51314E+05, 3.00939E-11, 3.76588E-12,-4.64606E-12, 2.65310E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,20      ,21      ,           1, 2.19139E+00, 1.41943E-01, 0.00000E+00,-7.13866E+04,-2.59562E+05,-1.30770E-10, 5.61153E-12, 7.22242E-12, 2.89973E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,20      ,22      ,           1, 2.19616E+00, 1.60982E-01, 0.00000E+00,-7.13836E+04,-2.59563E+05, 3.04034E-11,-3.29871E-12,-1.23477E-12, 3.40917E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,20      ,39      ,           1, 2.19377E+00, 1.51463E-01, 0.00000E+00,-7.13851E+04,-2.59562E+05,-5.01834E-11, 1.15641E-12, 2.99383E-12, 3.15445E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,21      ,22      ,           1, 2.19616E+00, 1.60982E-01, 0.00000E+00,-4.55983E+04,-2.65310E+05,-1.48337E-10,-1.00254E-12, 6.48938E-12, 3.40917E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,21      ,23      ,           1, 2.19904E+00, 1.80397E-01, 0.00000E+00,-4.55952E+04,-2.65310E+05,-4.91160E-11, 5.38909E-13,-7.04982E-12, 3.92990E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,21      ,40      ,           1, 2.19760E+00, 1.70689E-01, 0.00000E+00,-4.55967E+04,-2.65310E+05,-9.87265E-11,-2.31815E-13,-2.80220E-13, 3.66953E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,22      ,23      ,           1, 2.19904E+00, 1.80397E-01, 0.00000E+00,-1.93707E+04,-2.68502E+05,-1.95725E-11,-1.85601E-12,-1.09365E-11, 3.92990E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,22      ,3       ,           1, 2.20000E+00, 2.00000E-01, 0.00000E+00,-1.93676E+04,-2.68502E+05,-2.33324E-11,-4.83011E-13,-9.31747E-13, 4.45689E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,22      ,41      ,           1, 2.19952E+00, 1.90198E-01, 0.00000E+00,-1.93692E+04,-2.68502E+05,-2.14525E-11,-1.16951E-12,-5.93414E-12, 4.19339E+04
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,23      ,1       ,           1, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,24      ,3       ,           1, 2.20000E+00, 2.00000E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00,-1.61434E-12, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,25      ,4       ,           1, 2.20000E+00, 1.70000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00

