#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000018 CALCULE LE 09/09/2026 A 10:12:06 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.6932983900817746E+05,   6.3584107829118730E+03,   3.8828229411196656E+02,   1.2134166516802145E+03,  -6.7619505191683163E+02,   4.6707262512369798E+03
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,2       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.4133124649524689E-09,  -1.9008439267054200E-10,  -5.0806008289328020E-09,   4.2064129956997931E-11,  -2.0577317627612501E-11,   9.9134922493249178E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,3       ,   2.2000000000000002E+00,   2.0000000000000001E-01,   0.0000000000000000E+00,  -2.6623841619235458E+05,  -6.3584107829126260E+03,  -1.7865602330857655E-09,   4.5247361413203180E-11,   1.7726620171742979E-10,  -4.9185324554201528E+04
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,4       ,   2.2000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   8.9266904979012907E-10,  -1.6611043845027218E-11,   2.4328983272425830E-11,  -1.4448060095322632E-11,   4.2739145555970026E-12,   1.2594168763424559E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,5       ,   3.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -4.2973624658770859E-10,   0.0000000000000000E+00,  -1.7053025658242404E-13,  -2.2174644932759779E-16,  -6.3593574850528967E-13,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,6       ,   4.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -1.7369606631099032E+01,   0.0000000000000000E+00,   9.8522553887938358E+00, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,7       ,   6.7000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,   1.7369606631354145E+01,   0.0000000000000000E+00,  -9.8522553887937931E+00,   0.0000000000000000E+00,  -3.5527136788005009E-15,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,8       ,   7.9000000000000004E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -3.0914228158247715E+03,   0.0000000000000000E+00,   2.2564000559999545E+02,   0.0000000000000000E+00,   2.0977727471999469E+02,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,9       ,   2.0196034280999999E+00,   9.6305466556000042E-04,   0.0000000000000000E+00,   1.1757947504520416E-08,  -2.6057023205794394E-09,   7.9328676960699340E-10,   1.7735146684572101E-11,  -2.8714453037537169E-10,   5.6388671509921551E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,10      ,   2.0390180644000000E+00,   3.8429439194000012E-03,   0.0000000000000000E+00,   1.5250407159328461E-08,  -9.3859853222966194E-10,  -1.1299179369927970E-09,   1.7053025658242404E-11,  -2.6508928385737818E-10,   3.2741809263825417E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,11      ,   2.0580569354999998E+00,   8.6119328536000024E-03,   0.0000000000000000E+00,   1.8277205526828766E-08,   1.4479155652225018E-08,  -3.0875215717429683E-09,  -1.0413714335300028E-10,  -1.4324541552923620E-10,   1.9099388737231493E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,12      ,   2.0765366864999999E+00,   1.5224093498000000E-02,   0.0000000000000000E+00,   2.0954757928848267E-08,   3.5361154004931450E-09,  -3.2915750125539489E-09,  -1.5415935195051134E-10,  -3.4987124308827333E-11,  -5.4569682106375694E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,13      ,   2.0942793474000001E+00,   2.3615747130000003E-02,   0.0000000000000000E+00,   4.7730281949043274E-09,  -4.0599843487143517E-09,  -5.0876467483362831E-09,   1.7234924598596990E-10,   1.8567902770882938E-10,   1.1004885891452432E-10
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,14      ,   2.1111140466000000E+00,   3.3706077539000005E-02,   0.0000000000000000E+00,   2.1536834537982941E-09,   2.1391315385699272E-09,  -9.7912700169899836E-10,   3.0786395655013621E-10,   1.7109869077103212E-11,  -6.0424554249038920E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,15      ,   2.1268786567999998E+00,   4.5397909327000011E-02,   0.0000000000000000E+00,  -1.2340024113655090E-08,  -1.0157236829400063E-08,   9.6243488734160110E-09,   1.9076651369687170E-10,   6.5000449467333965E-11,   3.8653524825349450E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,16      ,   2.1414213562000000E+00,   5.8578643763000017E-02,   0.0000000000000000E+00,  -8.1490725278854370E-09,  -9.0221874415874481E-09,   6.4618288497797494E-09,  -1.8417267710901797E-11,  -4.7862158680800349E-11,   2.7284841053187847E-11
