#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000019 CALCULE LE 09/09/2026 A 10:12:07 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,VMIS
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.2359204561867657E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        2,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.0756525075497526E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        3,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   9.2673811988042518E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        4,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   7.9521830762883469E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        5,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.8643866038359553E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        6,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.0465706414012454E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        7,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.5262754974964038E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        8,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.3142472714643665E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        9,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.4081272853133708E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       10,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.7993086040878557E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       11,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.4758359527817331E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       12,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   7.4192529554422453E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       13,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   8.6003914264873847E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       14,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   9.9781787311334804E+07
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       15,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.1501325159761414E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       16,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.3111248415905342E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       17,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.4745181861848149E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       18,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.6339122053714824E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       19,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.7830565482910872E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       20,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.9161033690479749E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       21,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.0278364609599587E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       22,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.1138724985969540E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       23,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.1708288694340590E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       24,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.1964527305730531E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       25,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.1897068595253035E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       26,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.1508092845926368E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       27,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.0812253802237993E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       28,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.9836129591154829E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       29,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.8617227827065235E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                       30,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.7202587537811875E+08
