#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000010 CALCULE LE 10/09/2026 A 09:10:38 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,2       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   8.0000000000000000E+00,   1.2584370207086637E-02,   1.4510185311458660E-20,  -1.2877149010280249E-04,  -2.7169602331073314E-21,   6.4274032454934753E-03,   1.6636538547751314E-37
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,3       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.2000000000000000E+01,   4.9164782501942221E-02,   2.5378026243910327E-20,  -1.3185183010280474E-04,  -2.7169602331144574E-21,   1.0481960183135712E-02,   1.6636538547595892E-37
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,4       ,   6.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,5       ,  -3.0000000000000000E+00,   5.1961524227000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,6       ,  -3.0000000000000000E+00,  -5.1961524227000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,7       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.0000000000000000E+00,  -1.6807121377498282E-04,   3.2792893713320518E-22,  -1.7444085012850205E-05,  -6.3679415395308926E-22,  -2.6744602455589281E-04,   3.8992340221856859E-38
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,8       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.0000000000000000E+00,  -4.5060681921406241E-04,   1.2501985818173889E-21,  -3.4503127525700406E-05,  -1.1886814151019570E-21,  -2.2892878332819350E-04,   7.2785632718804981E-38
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,9       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -5.4164355053364663E-04,   2.6819020412483838E-21,  -5.1177127538550618E-05,  -1.6556617834466816E-21,   1.1555172368309788E-04,   1.0137987749084838E-37
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,10      ,   0.0000000000000000E+00,   0.0000000000000000E+00,   4.0000000000000000E+00,  -1.3521814195014325E-04,   4.5381324226220949E-21,  -6.7466085051400866E-05,  -2.0377352589871727E-21,   7.6599549647798188E-04,   1.2477507453797234E-37
