#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000000f CALCULE LE 10/09/2026 A 00:59:35 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,1       ,1       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.8509994221600522E+04,   5.0258646225471513E-16,   1.8110778789746373E+03,  -2.5450959028752468E-37,  -2.4886230317962190E+03,   4.0206470544733495E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,1       ,7       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.0000000000000000E+00,  -1.8509994221600522E+04,   5.0258646225471513E-16,   1.8110778789746373E+03,  -2.5450959028752468E-37,  -6.7754515282158263E+02,   3.5180605922186359E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,2       ,7       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.0000000000000000E+00,  -1.8101423955815852E+04,   5.0258646225471198E-16,   1.8110778789746382E+03,  -2.5450957607352056E-37,  -6.7754515282158218E+02,   3.5180605922182336E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,2       ,8       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.0000000000000000E+00,  -1.8101423955815852E+04,   5.0258646225471198E-16,   1.8110778789746382E+03,  -2.5450957607352056E-37,   1.1335327261530538E+03,   3.0154741299635279E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,3       ,8       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.0000000000000000E+00,  -1.7692853690031181E+04,   5.0258646225551346E-16,   1.8110778789746391E+03,  -2.5450956542490210E-37,   1.1335327261530542E+03,   3.0154741299639791E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,3       ,9       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -1.7692853690031181E+04,   5.0258646225551346E-16,   1.8110778789746391E+03,  -2.5450956542490210E-37,   2.9446106051276902E+03,   2.5128876677084909E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,4       ,9       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,  -1.7284283424246525E+04,   5.0258646226118695E-16,   1.8110778789746437E+03,  -2.5450959646752645E-37,   2.9446106051276884E+03,   2.5128876677116369E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,4       ,10      ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   4.0000000000000000E+00,  -1.7284283424246525E+04,   5.0258646226118695E-16,   1.8110778789746437E+03,  -2.5450959646752645E-37,   4.7556884841023348E+03,   2.0103012054504594E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,5       ,10      ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   4.0000000000000000E+00,  -1.6875713158461833E+04,   5.0258646225046475E-16,   1.8110778789746546E+03,  -2.5450954845366648E-37,   4.7556884841023293E+03,   2.0103012054510684E-15
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,5       ,11      ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.0000000000000000E+00,  -1.6875713158461833E+04,   5.0258646225046475E-16,   1.8110778789746546E+03,  -2.5450954845366648E-37,   6.5667663630769894E+03,   1.5077147432006384E-15
