#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000011 CALCULE LE 10/09/2026 A 09:10:38 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.8110778789746385E+03,  -5.0258646225471513E-16,   1.8714279354492857E+04,   4.0206470544733495E-15,   2.4886230317962190E+03,  -2.4619337277851080E-31
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,2       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   8.0000000000000000E+00,  -5.2969139915148844E-04,   1.8189894035458565E-12,   8.1055902217030962E-04,   4.4643596659687629E-20,   1.0186497020565615E-10,  -2.9881381462816907E-36
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,3       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.2000000000000000E+01,   8.1490725278854370E-10,  -3.3700137871041624E-26,   1.1013412404281553E-11,  -1.1927576886941698E-26,  -4.0745310519190911E-10,   2.2834714354790038E-43
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,4       ,   6.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.2637974972476920E+02,  -4.7348520254175191E-19,  -2.6023726722261881E+02, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,5       ,  -3.0000000000000000E+00,   5.1961524227000000E+00,   0.0000000000000000E+00,  -2.5187288092025115E+03,   4.3443426625632628E+03,  -6.6449576120012216E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,6       ,  -3.0000000000000000E+00,  -5.1961524227000000E+00,   0.0000000000000000E+00,  -2.5187288092025142E+03,  -4.3443426625632674E+03,  -6.6449576120012289E+03, -                       , -                       , -                       
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,7       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.0000000000000000E+00,   9.0949470177292824E-13,   3.1554436208840472E-30,   1.1368683772161603E-12,  -4.0231906166271602E-28,  -4.5474735088646412E-13,   1.0422157328415827E-44
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,8       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.0000000000000000E+00,   9.0949470177292824E-13,  -8.0148267970454799E-28,   1.1368683772161603E-12,   4.5122843778641875E-28,  -4.5474735088646412E-13,  -3.8272964306871566E-44
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,9       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0000000000000000E+00,   4.5474735088646412E-12,  -5.6734876303495169E-27,   1.5688783605583012E-11,   3.1459772900213951E-27,   1.8189894035458565E-12,  -1.6158722916745547E-43
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,10      ,   0.0000000000000000E+00,   0.0000000000000000E+00,   4.0000000000000000E+00,   1.0913936421275139E-11,   1.0722197423763992E-26,  -2.0691004465334117E-11,   6.0900061883062111E-28,   5.4569682106375694E-12,  -8.5304044015773239E-44
