#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000025 CALCULE LE 10/09/2026 A 00:59:47 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,1       ,1       ,                        1,   2.0000000000000000E+00,   0.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,1       ,6       ,                        1,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,2       ,2       ,                        1,   4.2999999999999998E+00,   1.8000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,2       ,9       ,                        1,   4.2999999999999998E+00,   1.8000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,3       ,3       ,                        1,   2.0000000000000000E+00,   5.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,3       ,12      ,                        1,   2.0000000000000000E+00,   5.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,4       ,4       ,                        1,   4.2999999999999998E+00,   6.7999999999999998E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,4       ,15      ,                        1,   4.2999999999999998E+00,   6.7999999999999998E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00, -                       , -                       , -                       
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,5       ,5       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        0,5       ,17      ,                        1,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
