#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000039 CALCULE LE 09/09/2026 A 00:39:49 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.9698669372611238E-24,   5.0000000000023647E+02,  -1.7238814542519468E-17,  -1.5000000000006430E+03,   2.5629394662559225E-24
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,2       ,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.7406857006718520E-25,  -1.0913936421275139E-11,  -3.2526065174560819E-19,  -2.2737367544323206E-12,   3.7261861472218835E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,3       ,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -3.9804483439343784E-25,   5.0931703299283981E-11,   1.5178830414797401E-18,  -9.0949470177292824E-13,  -8.0434930259466866E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,4       ,   7.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   4.2188675670387298E-25,  -1.4551915228366852E-10,  -4.3368086899419962E-18,  -1.8189894035458565E-12,   3.2666740961943328E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,5       ,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.7942592551454141E-25,   1.1641532182693481E-10,   5.6378512969246354E-18,  -1.8189894035458565E-12,   1.3901499912986085E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,6       ,   1.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -9.0321788176522762E-25,  -1.6007106751203537E-10,  -2.1684043449710089E-18,  -1.2732925824820995E-11,  -7.7264691596340653E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,7       ,   1.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -6.5605860355235216E-25,   2.9103830456733704E-11,  -3.9031278209478190E-18,  -1.8189894035458565E-12,  -2.6541729276466847E-25
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,8       ,   1.7500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.8885940067353617E-25,  -1.1641532182693481E-10,   1.3010426069825930E-18,   4.9112713895738125E-11,  -1.2739949474242187E-25
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,9       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -2.3155564047989870E-24,  -2.3283064365386963E-10,   3.9031278209478067E-18,  -5.4569682106375694E-12,  -1.6382617619907274E-25
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,10      ,   2.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.5347354174624088E-25,   4.0745362639427185E-10,  -1.3444106938820264E-17,   7.8216544352471828E-11,  -3.2524364122911703E-25
