#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000038 CALCULE LE 09/09/2026 A 00:40:02 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,2       ,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   7.7003026416563029E-18,  -1.4341199997425758E-03,   2.5667675472188458E-09,   1.1287386454393554E-02,  -1.6929507676234387E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,3       ,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.5400605283312196E-17,  -5.5673976298836097E-03,   5.1335350944376824E-09,   2.1593261043187668E-02,  -3.0762744448374061E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,4       ,   7.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.3100907924967220E-17,  -1.2154454924023242E-02,   7.7003026416563292E-09,   3.0917623766382324E-02,  -4.1047258860042446E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,5       ,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0801210566623511E-17,  -2.0949913915761609E-02,   1.0267070188875472E-08,   3.9260474623977602E-02,  -4.8169669006403680E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,6       ,   1.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.8501513208277786E-17,  -3.1708396638698892E-02,   1.2833837736093987E-08,   4.6621813615973590E-02,  -5.2002477365480299E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,7       ,   1.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   4.6201815849931913E-17,  -4.4184525126435260E-02,   1.5400605283312470E-08,   5.3001640742370362E-02,  -5.2471435689172774E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,8       ,   1.7500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.3902118491585498E-17,  -5.8132921412570933E-02,   1.7967372830530761E-08,   5.8399956003168003E-02,  -5.0723013826819660E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,9       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.1602421133239083E-17,  -7.3308207530706090E-02,   2.0534140377749032E-08,   6.2816759398366312E-02,  -4.7686448640153002E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,10      ,   2.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.9302723774895035E-17,  -8.9465005514440962E-02,   2.3100907924968061E-08,   6.6252050927965697E-02,  -4.4358422879879727E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,11      ,   2.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   7.7003026416551073E-17,  -1.0635793739737576E-01,   2.5667675472187094E-08,   6.8705830591965708E-02,  -4.1643085495866384E-30
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,12      ,   2.7500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   8.4703329058210981E-17,  -1.2374162521311065E-01,   2.8234443019407410E-08,   7.0178098390366025E-02,  -4.1088469768284172E-30
