#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000039 CALCULE LE 10/09/2026 A 01:02:35 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   9.2069438426033591E-22,   4.9999999930226477E+02,   2.1197887195567595E-14,  -1.4999999985192126E+03,   1.8032869850061079E-21
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,2       ,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.9649409718410923E-24,  -1.7462298274040222E-10,  -1.2143064331831339E-17,   7.2759576141834259E-12,   1.2122003547243411E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,3       ,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.6739981070789807E-24,  -2.0372681319713593E-09,  -7.4593109466996394E-17,   2.9103830456733704E-11,   3.6982085890368397E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,4       ,   7.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.4200342612054244E-24,   6.0535967350006104E-09,   1.0408340855867153E-17,  -6.9121597334742546E-11,  -1.1975088193805731E-25
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,5       ,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -4.8912081751098035E-24,   1.3969838619232178E-09,  -2.3939183968479622E-16,   5.8207660913467407E-11,  -8.7847408440300849E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,6       ,   1.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -8.9006076604441150E-24,  -2.0838342607021332E-08,  -4.9960036108131729E-16,   1.9645085558295250E-10,   9.1359838499557190E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,7       ,   1.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.2771588066243476E-24,  -1.0477378964424133E-08,  -5.2041704279303897E-16,  -1.8189894035458565E-10,   8.8127230190353866E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,8       ,   1.7500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.0358512438207743E-23,  -1.5133991837501526E-08,  -4.4061976289810585E-16,   1.3096723705530167E-10,   7.0819744485153172E-26
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,9       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.6236767026717900E-23,  -4.4470652937889099E-08,  -7.2511441295830379E-16,  -6.2573235481977463E-10,  -4.4443419583798079E-25
RESU            ,REAC_NODA       ,   0.0000000000000000E+00,                        1,10      ,   2.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.2283896595316485E-24,  -4.3073669075965881E-08,  -6.4184768611141705E-16,  -1.6734702512621880E-10,  -7.1337698980682323E-25
