#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000047 CALCULE LE 10/09/2026 A 09:09:32 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,2       ,   5.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   7.7046944782394374E-03,  -8.2322539552933897E-03,  -1.0912734892460676E-04,  -4.7070206344285505E-05,  -6.0344031981512990E-04,   3.6201573930966076E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,3       ,   5.2000000000000002E+00,   2.0000000000000001E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -5.9252186972513997E-05,  -5.6579172688084529E-04,   3.6923899798500200E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,4       ,   5.2000000000000002E+00,   3.2000000000000002E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,5       ,   5.0196034280999999E+00,   9.6305466556000042E-04,   0.0000000000000000E+00,   7.7045004580962159E-03,  -7.5146193375975412E-03,  -9.7343631744687128E-05,  -4.7241138109196941E-05,  -6.0273366230086339E-04,   3.6798552240616580E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,6       ,   5.0390180644000004E+00,   3.8429439194000012E-03,   0.0000000000000000E+00,   7.6260129313260230E-03,  -6.7867282823547096E-03,  -8.5757132682452399E-05,  -4.7406212906147315E-05,  -6.0170940680029958E-04,   3.7382238724714779E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,7       ,   5.0580569354999998E+00,   8.6119328536000024E-03,   0.0000000000000000E+00,   7.4747403365387332E-03,  -6.0559855372978779E-03,  -7.4503904192488353E-05,  -4.7579368925397901E-05,  -6.0046176882440198E-04,   3.7938646049982629E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,8       ,   5.0765366864999999E+00,   1.5224093498000000E-02,   0.0000000000000000E+00,   7.2480535979868310E-03,  -5.3310975962406791E-03,  -6.3699203211270268E-05,  -4.7774736585065932E-05,  -5.9900351488580833E-04,   3.8453014257739004E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,9       ,   5.0942793473999997E+00,   2.3615747130000003E-02,   0.0000000000000000E+00,   6.9466389197160089E-03,  -4.6206587970783622E-03,  -5.3450282359882713E-05,  -4.8009332562582379E-05,  -5.9733335260054427E-04,   3.8910798698397982E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,10      ,   5.1111140466000000E+00,   3.3706077539000005E-02,   0.0000000000000000E+00,   6.5718893250708236E-03,  -3.9336181773025674E-03,  -4.3857840727186508E-05,  -4.8302355189496074E-05,  -5.9544857777379620E-04,   3.9297964946336791E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,11      ,   5.1268786567999998E+00,   4.5397909327000011E-02,   0.0000000000000000E+00,   6.1266256802625695E-03,  -3.2788582396515525E-03,  -3.5015451406454191E-05,  -4.8674774921975264E-05,  -5.9334770198461500E-04,   3.9601152325472379E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,12      ,   5.1414213562000004E+00,   5.8578643763000017E-02,   0.0000000000000000E+00,   5.6149776991477824E-03,  -2.6650353448558566E-03,  -2.7008681217175513E-05,  -4.9149086365918513E-05,  -5.9103126203851860E-04,   3.9807807808785914E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,13      ,   5.1546020907000001E+00,   7.3121343167000016E-02,   0.0000000000000000E+00,   5.0424074653816599E-03,  -2.1003220297976933E-03,  -1.9914223979480134E-05,  -4.9749048982967341E-05,  -5.8850228871480822E-04,   3.9906308090710461E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,14      ,   5.1662939225000004E+00,   8.8885953396000014E-02,   0.0000000000000000E+00,   4.4156450584461309E-03,  -1.5921724160853281E-03,  -1.3799113265528348E-05,  -5.0499358123679500E-05,  -5.8576668736210326E-04,   3.9886072947959254E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,15      ,   5.1763842529000001E+00,   1.0572065262999999E-01,   0.0000000000000000E+00,   3.7425800454938922E-03,  -1.1470977196781562E-03,  -8.7200296352872166E-06,  -5.1425223001523378E-05,  -5.8283356657166821E-04,   3.9737673982998115E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,16      ,   5.1847759064999996E+00,   1.2346331353000001E-01,   0.0000000000000000E+00,   3.0321247220606684E-03,  -7.7041861437470230E-04,  -4.7226951352070974E-06,  -5.2551779853669494E-05,  -5.7971553172151823E-04,   3.9452962662695448E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,17      ,   5.1913880671000001E+00,   1.4194306455000003E-01,   0.0000000000000000E+00,   2.2939203011498504E-03,  -4.6621135537347860E-04,  -1.8412691831063130E-06,  -5.3902919283742458E-05,  -5.7642902332296503E-04,   3.9025352157358986E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,18      ,   5.1961570560999997E+00,   1.6098193560000001E-01,   0.0000000000000000E+00,   1.5380855611152018E-03,  -2.3651260575542407E-04,  -9.7249895760722808E-08,  -5.5497142283672021E-05,  -5.7299496260658934E-04,   3.8450991499379653E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,19      ,   5.1990369452999996E+00,   1.8039657193000003E-01,   0.0000000000000000E+00,   7.7311208567007591E-04,  -8.3686420708201158E-05,   5.0485096666640681E-07,  -5.7327268174897547E-05,  -5.6943990135906294E-04,   3.7734869240528483E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,20      ,   2.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.8581008851347165E-03,  -2.6740828731751473E-02,  -4.3471720927606999E-04,  -2.3535103172142712E-05,   1.8276232259611773E-04,  -1.1469087154724045E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,21      ,   5.2000000000000002E+00,   1.7000000000000000E+00,   0.0000000000000000E+00,  -1.3819713567465962E-02,   1.8955506974038500E-18,  -2.3368847569436185E-05,   1.4600143171847534E-05,  -2.8289586344041798E-04,  -9.0989099676871826E-03
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,22      ,   5.0098017140000000E+00,   4.8152733278000021E-04,   0.0000000000000000E+00,   7.7068309270547147E-03,  -7.8746101166862845E-03,  -1.0323791461701815E-04,  -4.7153017750965066E-05,  -6.0314102415380544E-04,   3.6500947275390536E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,23      ,   5.0293107462000002E+00,   2.4029992925000006E-03,   0.0000000000000000E+00,   7.6649067693838994E-03,  -7.1519465290148876E-03,  -9.1548614650572164E-05,  -4.7319277767253018E-05,  -6.0225118170819769E-04,   3.7092889743614736E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,24      ,   5.0485374999000001E+00,   6.2274383865000013E-03,   0.0000000000000000E+00,   7.5507758832332357E-03,  -6.4224281637518576E-03,  -8.0127597031092926E-05,  -4.7486558341193713E-05,  -6.0111046964485151E-04,   3.7664773961108441E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,25      ,   5.0672968110000003E+00,   1.1918013176000003E-02,   0.0000000000000000E+00,   7.3617125028016869E-03,  -5.6945298125579951E-03,  -6.9098056014855550E-05,  -4.7668650936251818E-05,  -5.9975612336607604E-04,   3.8202003328489491E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,26      ,   5.0854080168999998E+00,   1.9419920314000003E-02,   0.0000000000000000E+00,   7.0977352976855359E-03,  -4.9766949716389241E-03,  -5.8570799414960942E-05,  -4.7881399688723983E-05,  -5.9819091931850572E-04,   3.8689870225287193E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,27      ,   5.1026966969999998E+00,   2.8660912335000007E-02,   0.0000000000000000E+00,   6.7596374817957211E-03,  -4.2777775941866244E-03,  -4.8649724527863555E-05,  -4.8143036531929360E-05,  -5.9641233294986575E-04,   3.9114060988578184E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,28      ,   5.1189963516999999E+00,   3.9551993433000011E-02,   0.0000000000000000E+00,   6.3495761942807130E-03,  -3.6066797244617816E-03,  -3.9431956067368824E-05,  -4.8473698524241279E-05,  -5.9441818507640666E-04,   3.9460860285560562E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,29      ,   5.1341500064999996E+00,   5.1988276545000003E-02,   0.0000000000000000E+00,   5.8710099013633077E-03,  -2.9721893984105169E-03,  -3.1007064616993413E-05,  -4.8895148119478758E-05,  -5.9220799867389334E-04,   3.9717295398435638E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,30      ,   5.1480117234999998E+00,   6.5849993465000020E-02,   0.0000000000000000E+00,   5.3287364478509141E-03,  -2.3827309956275695E-03,  -2.3456183017205124E-05,  -4.9430534825741182E-05,  -5.8978357257169467E-04,   3.9871263485689194E-02
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,31      ,   5.1604480066000002E+00,   8.1003648282000018E-02,   0.0000000000000000E+00,   4.7288520760093433E-03,  -1.8461313694007019E-03,  -1.6851177600470248E-05,  -5.0104105418332185E-05,  -5.8714939383126624E-04,   3.9911649083651760E-02
