#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000046 CALCULE LE 01/07/2026 A 11:20:50 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,1       ,1       ,           1, 0.00000E+00, 0.00000E+00, 0.00000E+00,-2.44362E+05, 6.10055E+03,-1.03049E-09, 2.62668E-10, 1.62090E-09, 9.89933E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,1       ,2       ,           1, 5.00000E+00, 0.00000E+00, 0.00000E+00,-2.44362E+05, 5.31204E+03,-8.78693E-10, 2.73197E-10,-3.11347E-09,-1.86321E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,1       ,20      ,           1, 2.50000E+00, 0.00000E+00, 0.00000E+00,-2.44362E+05, 5.70629E+03,-9.54593E-10, 2.67932E-10,-7.46281E-10,-4.36640E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,2       ,3       ,           1, 5.20000E+00, 2.00000E-01, 0.00000E+00,-8.77074E+05, 1.47385E+04, 6.05116E-10,-1.02388E-09,-1.34649E-09, 2.95100E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,2       ,4       ,           1, 5.20000E+00, 3.20000E+00, 0.00000E+00,-8.76601E+05, 1.47385E+04, 6.60889E-10,-1.03190E-09, 6.68738E-10,-1.47055E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,2       ,21      ,           1, 5.20000E+00, 1.70000E+00, 0.00000E+00,-8.76837E+05, 1.47385E+04, 6.33003E-10,-1.02789E-09,-3.38876E-10, 7.40226E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,3       ,2       ,           1, 5.00000E+00, 0.00000E+00, 0.00000E+00,-2.44328E+05,-6.68463E+03, 7.99711E-09,-4.49415E-10,-2.88237E-09,-1.83036E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,3       ,5       ,           1, 5.01960E+00, 9.63055E-04, 0.00000E+00,-2.44328E+05,-6.68772E+03,-1.80716E-08, 1.38310E-10,-6.80056E-09,-1.81724E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,3       ,22      ,           1, 5.00980E+00, 4.81527E-04, 0.00000E+00,-2.44328E+05,-6.68618E+03,-5.03724E-09,-1.55553E-10,-4.84147E-09,-1.82380E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,4       ,5       ,           1, 5.01960E+00, 9.63055E-04, 0.00000E+00,-2.42496E+05,-3.06039E+04,-8.57824E-09, 4.11142E-10,-4.97854E-09,-1.81724E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,4       ,6       ,           1, 5.03902E+00, 3.84294E-03, 0.00000E+00,-2.42496E+05,-3.06069E+04,-6.80918E-09,-1.76238E-09,-4.20706E-09,-1.75717E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,4       ,23      ,           1, 5.02931E+00, 2.40300E-03, 0.00000E+00,-2.42496E+05,-3.06054E+04,-7.69371E-09,-6.75617E-10,-4.59280E-09,-1.78720E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,5       ,6       ,           1, 5.03902E+00, 3.84294E-03, 0.00000E+00,-2.38328E+05,-5.42283E+04,-4.42251E-09,-1.41709E-09,-4.79322E-09,-1.75717E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,5       ,7       ,           1, 5.05806E+00, 8.61193E-03, 0.00000E+00,-2.38327E+05,-5.42313E+04,-2.36749E-09,-2.25950E-09,-7.16361E-09,-1.65073E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,5       ,24      ,           1, 5.04854E+00, 6.22744E-03, 0.00000E+00,-2.38328E+05,-5.42298E+04,-3.39500E-09,-1.83829E-09,-5.97841E-09,-1.70395E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,6       ,7       ,           1, 5.05806E+00, 8.61193E-03, 0.00000E+00,-2.31864E+05,-7.73303E+04, 4.63771E-09,-1.93972E-09,-7.76371E-09,-1.65073E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,6       ,8       ,           1, 5.07654E+00, 1.52241E-02, 0.00000E+00,-2.31863E+05,-7.73332E+04,-1.11380E-08,-1.89214E-09,-3.44659E-09,-1.49895E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,6       ,25      ,           1, 5.06730E+00, 1.19180E-02, 0.00000E+00,-2.31864E+05,-7.73318E+04,-3.25012E-09,-1.91593E-09,-5.60515E-09,-1.57484E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,7       ,8       ,           1, 5.07654E+00, 1.52241E-02, 0.00000E+00,-2.23167E+05,-9.96874E+04,-6.33864E-09,-1.34225E-09,-2.45261E-09,-1.49895E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,7       ,9       ,           1, 5.09428E+00, 2.36157E-02, 0.00000E+00,-2.23165E+05,-9.96902E+04,-5.73827E-09,-3.92996E-09,-3.18336E-09,-1.30329E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,7       ,26      ,           1, 5.08541E+00, 1.94199E-02, 0.00000E+00,-2.23166E+05,-9.96888E+04,-6.03845E-09,-2.63611E-09,-2.81798E-09,-1.40112E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,8       ,9       ,           1, 5.09428E+00, 2.36157E-02, 0.00000E+00,-2.12319E+05,-1.21084E+05,-1.44353E-08,-3.60234E-09,-3.94464E-09,-1.30329E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,8       ,10      ,           1, 5.11111E+00, 3.37061E-02, 0.00000E+00,-2.12318E+05,-1.21087E+05, 5.93040E-09,-2.10290E-09,-2.32351E-09,-1.06564E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,8       ,27      ,           1, 5.10270E+00, 2.86609E-02, 0.00000E+00,-2.12318E+05,-1.21085E+05,-4.25243E-09,-2.85262E-09,-3.13407E-09,-1.18446E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,9       ,10      ,           1, 5.11111E+00, 3.37061E-02, 0.00000E+00,-1.99427E+05,-1.41315E+05,-1.95800E-09,-1.87514E-09,-2.69437E-09,-1.06564E+04
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,9       ,11      ,           1, 5.12688E+00, 4.53979E-02, 0.00000E+00,-1.99425E+05,-1.41317E+05,-1.94535E-09,-4.27827E-09,-3.12330E-09,-7.88274E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,9       ,28      ,           1, 5.11900E+00, 3.95520E-02, 0.00000E+00,-1.99426E+05,-1.41316E+05,-1.95167E-09,-3.07671E-09,-2.90884E-09,-9.26955E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,10      ,11      ,           1, 5.12688E+00, 4.53979E-02, 0.00000E+00,-1.84613E+05,-1.60184E+05, 1.11271E-08,-2.79187E-09,-2.16069E-09,-7.88274E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,10      ,12      ,           1, 5.14142E+00, 5.85786E-02, 0.00000E+00,-1.84611E+05,-1.60186E+05,-2.43348E-09,-1.19789E-09,-1.51595E-09,-4.73878E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,10      ,29      ,           1, 5.13415E+00, 5.19883E-02, 0.00000E+00,-1.84612E+05,-1.60185E+05, 4.34683E-09,-1.99488E-09,-1.83832E-09,-6.31076E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,11      ,12      ,           1, 5.14142E+00, 5.85786E-02, 0.00000E+00,-1.68021E+05,-1.77510E+05, 4.79383E-09,-3.36066E-10,-4.63382E-10,-4.73878E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,11      ,13      ,           1, 5.15460E+00, 7.31213E-02, 0.00000E+00,-1.68019E+05,-1.77512E+05, 4.03589E-10,-1.26504E-09,-2.00963E-10,-1.25477E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,11      ,30      ,           1, 5.14801E+00, 6.58500E-02, 0.00000E+00,-1.68020E+05,-1.77511E+05, 2.59871E-09,-8.00554E-10,-3.32173E-10,-2.99678E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,12      ,13      ,           1, 5.15460E+00, 7.31213E-02, 0.00000E+00,-1.49811E+05,-1.93126E+05, 4.60678E-09,-7.98890E-10,-1.44806E-10,-1.25477E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,12      ,14      ,           1, 5.16629E+00, 8.88860E-02, 0.00000E+00,-1.49808E+05,-1.93127E+05, 3.26973E-09,-9.08358E-10,-4.25695E-10, 2.53574E+03
RESU            ,EFGE_ELNO       , 0.00000E+00,           1,12      ,31      ,           1, 5.16045E+00, 8.10036E-02, 0.00000E+00,-1.49809E+05,-1.93127E+05, 3.93825E-09,-8.53624E-10,-2.85250E-10, 6.40484E+02
