#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000048 CALCULE LE 08/09/2026 A 23:00:56 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       , 0.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.45720E+05, 5.68100E+03, 4.87374E+02, 4.34674E+00,-4.88862E+02, 9.85605E+03
RESU            ,REAC_NODA       , 0.00000E+00,           1,2       , 5.00000E+00, 0.00000E+00, 0.00000E+00,-1.62085E-06,-1.88356E-08, 4.98156E-09, 8.30997E-10,-1.11129E-09, 2.21298E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,3       , 5.20000E+00, 2.00000E-01, 0.00000E+00,-2.60433E+05, 8.71156E+05, 5.63529E+02, 4.90274E-12, 1.46670E-10,-4.87489E-10
RESU            ,REAC_NODA       , 0.00000E+00,           1,4       , 5.20000E+00, 3.20000E+00, 0.00000E+00, 1.47129E+04,-8.76837E+05, 2.60226E+02,-1.41897E+02, 8.70809E+01, 1.46800E+04
RESU            ,REAC_NODA       , 0.00000E+00,           1,5       , 5.01960E+00, 9.63055E-04, 0.00000E+00,-3.13952E-06,-8.09549E-07,-5.95451E-10, 6.47294E-10, 2.39571E-09, 4.34011E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,6       , 5.03902E+00, 3.84294E-03, 0.00000E+00, 4.96552E-06,-2.27599E-07,-1.41277E-08,-2.06910E-11,-2.47290E-10, 2.20462E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,7       , 5.05806E+00, 8.61193E-03, 0.00000E+00, 2.79781E-06, 1.59554E-06, 9.71263E-09, 9.96280E-10,-3.90678E-10, 2.17697E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,8       , 5.07654E+00, 1.52241E-02, 0.00000E+00,-1.94067E-06,-8.88569E-07,-1.05960E-09,-4.65848E-10, 9.05651E-10, 1.37115E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,9       , 5.09428E+00, 2.36157E-02, 0.00000E+00,-1.76972E-06, 1.19310E-06, 1.29085E-08, 2.82482E-10,-4.19291E-10, 1.23764E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,10      , 5.11111E+00, 3.37061E-02, 0.00000E+00,-6.50820E-07, 6.73637E-07, 9.62986E-09,-1.20316E-10,-1.04308E-10, 2.05036E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,11      , 5.12688E+00, 4.53979E-02, 0.00000E+00, 1.39611E-07,-1.72877E-07, 5.39450E-09,-8.66820E-10, 7.64608E-10, 1.60408E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,12      , 5.14142E+00, 5.85786E-02, 0.00000E+00,-8.99512E-07,-1.90704E-06, 6.36740E-09,-1.32168E-09,-1.12649E-10, 2.05928E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,13      , 5.15460E+00, 7.31213E-02, 0.00000E+00,-4.96279E-07,-1.17482E-06,-6.44040E-11, 7.71294E-11,-1.20423E-10, 1.23991E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,14      , 5.16629E+00, 8.88860E-02, 0.00000E+00, 2.43628E-07,-3.32380E-07,-7.51096E-09, 4.15561E-10,-6.34230E-10, 1.50235E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,15      , 5.17638E+00, 1.05721E-01, 0.00000E+00,-5.48636E-07, 5.05257E-07,-1.91706E-09, 1.49072E-11, 2.40448E-11, 2.56478E-10
RESU            ,REAC_NODA       , 0.00000E+00,           1,16      , 5.18478E+00, 1.23463E-01, 0.00000E+00,-3.91650E-07, 3.43047E-07, 2.07194E-09, 4.94467E-11,-8.22951E-11,-2.33194E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,17      , 5.19139E+00, 1.41943E-01, 0.00000E+00, 2.03028E-07, 2.89947E-08,-4.06215E-10, 2.95607E-10,-9.87939E-11, 7.42511E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,18      , 5.19616E+00, 1.60982E-01, 0.00000E+00, 3.08792E-08, 8.87667E-10, 1.01705E-09, 2.09681E-11,-1.44368E-10, 9.42237E-10
RESU            ,REAC_NODA       , 0.00000E+00,           1,19      , 5.19904E+00, 1.80397E-01, 0.00000E+00, 8.71951E-08, 1.04756E-08,-3.07705E-11,-8.53078E-11, 3.19886E-11,-4.81305E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,20      , 2.50000E+00, 0.00000E+00, 0.00000E+00, 1.60468E-08,-1.24095E-08,-1.51772E-10,-7.94168E-12, 1.32392E-11,-1.07861E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,21      , 5.20000E+00, 1.70000E+00, 0.00000E+00,-6.35625E-09,-1.15961E-10, 1.14483E-10,-7.80247E-11, 1.07052E-11, 1.13690E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,22      , 5.00980E+00, 4.81527E-04, 0.00000E+00,-6.01712E-06,-3.64561E-07,-1.51271E-08,-5.30514E-10,-2.66568E-09, 3.70475E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,23      , 5.02931E+00, 2.40300E-03, 0.00000E+00, 1.53515E-06,-4.25124E-07,-7.35953E-09, 1.52706E-09,-5.24519E-10, 2.08255E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,24      , 5.04854E+00, 6.22744E-03, 0.00000E+00, 1.03811E-06,-2.31080E-06,-2.38470E-08, 1.71988E-09,-1.39382E-09, 6.29513E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,25      , 5.06730E+00, 1.19180E-02, 0.00000E+00, 6.43459E-07, 1.25186E-06, 5.43926E-09,-1.54039E-09, 3.36251E-09, 1.19127E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,26      , 5.08541E+00, 1.94199E-02, 0.00000E+00,-2.46364E-06,-2.75755E-07, 7.52313E-09, 8.68682E-10, 2.62485E-10,-6.62155E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,27      , 5.10270E+00, 2.86609E-02, 0.00000E+00,-6.06848E-07, 1.09339E-06, 1.08721E-08,-5.37599E-10, 6.49640E-10, 1.36452E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,28      , 5.11900E+00, 3.95520E-02, 0.00000E+00, 1.22562E-06,-2.97022E-07,-1.00160E-08, 1.51437E-09, 7.64906E-10, 2.18790E-08
RESU            ,REAC_NODA       , 0.00000E+00,           1,29      , 5.13415E+00, 5.19883E-02, 0.00000E+00,-5.90182E-07,-1.60379E-07,-3.32170E-09,-1.77605E-09,-9.86610E-10, 7.76845E-09
RESU            ,REAC_NODA       , 0.00000E+00,           1,30      , 5.14801E+00, 6.58500E-02, 0.00000E+00, 1.46746E-07,-1.15100E-06,-1.23259E-08, 1.89736E-10, 8.99900E-10,-1.54434E-09
