#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000017 CALCULE LE 10/09/2026 A 09:09:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        1,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,  -1.0190632759936963E+06,   1.9807575040917853E-12,   7.8850287198356261E+02,   2.5822986838619151E-12,  -9.8562871009907485E+02,  -6.8192461191683886E-12
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,1       ,6       ,                        1,   5.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,  -1.0190632759936962E+06,  -1.5569850511378178E-11,   2.7795294954557903E-09,   1.0615329205911680E-12,   9.8562846987389082E+02,   1.0103381273602663E-11
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,1       ,29      ,                        1,   2.5000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,  -1.0190632759936963E+06,  -6.7945465036431966E-12,   3.9425143599317107E+02,   1.8219158022265416E-12,  -1.2011259201472058E-04,   1.6420675772171374E-12
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,2       ,6       ,                        1,   5.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,  -1.0190632759936894E+06,   3.4940331794224355E-11,   9.5980112746474333E-11,   1.0815436305809619E-12,   9.8562846987482112E+02,   5.6980261260349490E-12
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,2       ,7       ,                        1,   1.0000000000000000E+01,   3.1143000000000001E+00,   0.0000000000000000E+00,  -1.0190632759936885E+06,  -8.8619071152415133E-12,  -7.8850287198894227E+02,  -4.0993927560898022E-12,  -9.8562871009953676E+02,  -6.0802914881227933E-12
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,2       ,30      ,                        1,   7.5000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,  -1.0190632759936891E+06,   1.3039212339491420E-11,  -3.9425143599442316E+02,  -1.5089245627544200E-12,  -1.2011235781983487E-04,  -1.9113268104392191E-13
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,3       ,1       ,                        1,   5.0000000000000000E+00,   0.0000000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803156078E+03,   1.0475722475711332E-05,  -7.2314122315472705E+03,  -1.0475722079255311E-05,   1.1849914786466401E+04,  -3.4338776444750314E-06
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,3       ,8       ,                        1,   5.0000000000000000E+00,   3.7500000000000000E-01,  -1.0000000000000000E+00,  -1.4669297803156078E+03,   1.0475722475711332E-05,  -7.2314122315472705E+03,  -1.0475722079255311E-05,   9.1381351996361773E+03,  -7.3622735728667807E-06
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,4       ,8       ,                        1,   5.0000000000000000E+00,   3.7500000000000000E-01,  -1.0000000000000000E+00,  -1.4669297803156078E+03,   1.0475722475711327E-05,  -7.0539846475472878E+03,  -1.0475722079255305E-05,   9.1381351996361773E+03,  -7.3622735728667824E-06
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,4       ,9       ,                        1,   5.0000000000000000E+00,   7.5000000000000000E-01,  -1.0000000000000000E+00,  -1.4669297803156078E+03,   1.0475722475711327E-05,  -7.0539846475472878E+03,  -1.0475722079255305E-05,   6.4928909568059498E+03,  -1.1290669501258533E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,5       ,9       ,                        1,   5.0000000000000000E+00,   7.5000000000000000E-01,  -1.0000000000000000E+00,  -1.4669297803156078E+03,   1.0475722475711347E-05,  -6.8765570635472686E+03,  -1.0475722079255303E-05,   6.4928909568059653E+03,  -1.1290669501258535E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,5       ,10      ,                        1,   5.0000000000000000E+00,   1.1250000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803156078E+03,   1.0475722475711347E-05,  -6.8765570635472686E+03,  -1.0475722079255303E-05,   3.9141820579757405E+03,  -1.5219065429650302E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,6       ,10      ,                        1,   5.0000000000000000E+00,   1.1250000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803156078E+03,   1.0475722475711415E-05,  -6.6991294795472641E+03,  -1.0475722079255306E-05,   3.9141820579757405E+03,  -1.5219065429650280E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,6       ,11      ,                        1,   5.0000000000000000E+00,   1.5000000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803156078E+03,   1.0475722475711415E-05,  -6.6991294795472641E+03,  -1.0475722079255306E-05,   1.4020085031455092E+03,  -1.9147461358042073E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,7       ,11      ,                        1,   5.0000000000000000E+00,   1.5000000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803137451E+03,   1.0475722475711063E-05,  -6.5217018955470267E+03,  -1.0475722079255300E-05,   1.4020085031455073E+03,  -1.9147461358042110E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,7       ,12      ,                        1,   5.0000000000000000E+00,   1.8750000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803137451E+03,   1.0475722475711063E-05,  -6.5217018955470267E+03,  -1.0475722079255300E-05,  -1.0436297076846604E+03,  -2.3075857286433782E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,8       ,12      ,                        1,   5.0000000000000000E+00,   1.8750000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803174704E+03,   1.0475722475711171E-05,  -6.3442743115471676E+03,  -1.0475722079255273E-05,  -1.0436297076846813E+03,  -2.3075857286433691E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,8       ,13      ,                        1,   5.0000000000000000E+00,   2.2500000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803174704E+03,   1.0475722475711171E-05,  -6.3442743115471676E+03,  -1.0475722079255273E-05,  -3.4227325745148701E+03,  -2.7004253214825478E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,9       ,13      ,                        1,   5.0000000000000000E+00,   2.2500000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803137451E+03,   1.0475722475711496E-05,  -6.1668467275474686E+03,  -1.0475722079255273E-05,  -3.4227325745149019E+03,  -2.7004253214825458E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,9       ,14      ,                        1,   5.0000000000000000E+00,   2.6250000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803137451E+03,   1.0475722475711496E-05,  -6.1668467275474686E+03,  -1.0475722079255273E-05,  -5.7353000973451635E+03,  -3.0932649143217052E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,10      ,14      ,                        1,   5.0000000000000000E+00,   2.6250000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803211957E+03,   1.0475722475716863E-05,  -5.9894191435472312E+03,  -1.0475722079255218E-05,  -5.7353000973452135E+03,  -3.0932649143231913E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,10      ,2       ,                        1,   5.0000000000000000E+00,   3.0000000000000000E+00,  -1.0000000000000000E+00,  -1.4669297803211957E+03,   1.0475722475716863E-05,  -5.9894191435472312E+03,  -1.0475722079255218E-05,  -7.9813322761754571E+03,  -3.4861045071625974E-05
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,11      ,3       ,                        1,   5.0000000000000000E+00,   0.0000000000000000E+00,   1.0000000000000000E+00,   1.4669297803090885E+03,  -1.0475722475752617E-05,   3.3672361163282912E+03,  -1.0475722223243997E-05,  -6.9283144894432226E+03,   3.4338774646946168E-06
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,11      ,15      ,                        1,   5.0000000000000000E+00,   3.7500000000000000E-01,   1.0000000000000000E+00,   1.4669297803090885E+03,  -1.0475722475752617E-05,   3.3672361163282912E+03,  -1.0475722223243997E-05,  -5.6656009458201152E+03,   7.3622733931018482E-06
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,12      ,15      ,                        1,   5.0000000000000000E+00,   3.7500000000000000E-01,   1.0000000000000000E+00,   1.4669297803109512E+03,  -1.0475722475752628E-05,   3.5446637003282885E+03,  -1.0475722223243997E-05,  -5.6656009458201133E+03,   7.3622733931018567E-06
