#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000018 CALCULE LE 30/06/2026 A 13:19:22 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,FORC_NODA       , 1.00000E+00,           1,1       , 5.00000E+00, 0.00000E+00,-1.00000E+00, 3.27274E-13, 1.31109E+03, 5.34477E+03, 9.43331E+03,-6.48471E-13,-3.58508E-13
RESU            ,FORC_NODA       , 1.00000E+00,           1,2       , 5.00000E+00, 3.00000E+00,-1.00000E+00,-1.46168E-19,-1.31109E+03,-6.97582E-10, 2.00460E+02,-2.50094E-19, 9.45387E-15
RESU            ,FORC_NODA       , 1.00000E+00,           1,3       , 5.00000E+00, 0.00000E+00, 1.00000E+00,-3.27274E-13, 1.31109E+03,-5.34477E+03,-9.43331E+03, 6.48473E-13, 7.96738E-13
RESU            ,FORC_NODA       , 1.00000E+00,           1,4       , 5.00000E+00, 3.00000E+00, 1.00000E+00, 1.97909E-26,-1.31109E+03, 4.58385E-10,-2.00460E+02,-3.78653E-27, 3.40027E-14
RESU            ,FORC_NODA       , 1.00000E+00,           1,5       , 0.00000E+00, 3.11430E+00, 0.00000E+00, 1.01906E+06, 6.57086E+02,-1.06231E-11,-1.74019E-12, 1.76616E-11, 1.31417E+03
RESU            ,FORC_NODA       , 1.00000E+00,           1,6       , 5.00000E+00, 3.11430E+00, 0.00000E+00,-3.14321E-09,-2.62834E+02,-6.44043E-12, 2.60737E-12,-1.96834E-11, 1.42165E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,7       , 1.00000E+01, 3.11430E+00, 0.00000E+00,-1.01906E+06, 6.57086E+02,-7.08305E-12,-1.71960E-12,-1.00144E-11,-1.31417E+03
RESU            ,FORC_NODA       , 1.00000E+00,           1,8       , 2.50000E+00, 3.11430E+00, 0.00000E+00,-1.65983E-11,-5.25669E+02, 2.36820E-11,-2.34387E-13,-1.54898E-11,-5.05113E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,9       , 7.50000E+00, 3.11430E+00, 0.00000E+00,-2.49815E-09,-5.25669E+02, 4.53530E-13, 1.08513E-12,-1.07860E-11, 1.69134E-09

