#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000001a CALCULE LE 10/09/2026 A 09:09:52 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,VMIS
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        1,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   4.9094221739125460E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        2,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   4.9128201550689799E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        3,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   4.9228835918809903E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        4,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   4.9392259666733128E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        5,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   4.9612195679098380E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        6,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   4.9880195597675949E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        7,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.0185963889466500E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        8,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.0517752938382274E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        9,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.0862814068408269E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       10,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.1207887227342206E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       11,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.1539710537748742E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       12,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.1845530122245622E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       13,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2113590570542663E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       14,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2333587140621114E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       15,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2497062248832184E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       16,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2597730946020484E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       17,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2631722814475590E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       18,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2597730946011102E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       19,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2497062248817146E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       20,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2333587140606558E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       21,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.2113590570534867E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       22,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.1845530122248691E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       23,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.1539710537763053E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       24,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.1207887227363950E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                       25,   0.0000000000000000E+00,   3.1143000000000001E+00,   0.0000000000000000E+00,   5.0862814068430710E+08
