#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000001b CALCULE LE 10/09/2026 A 01:02:43 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,2       ,   0.0000000000000000E+00,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,3       ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,4       ,   4.0000000000000000E+00,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,5       ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.1005360919753065E-03,  -6.8558818487378674E-04,  -1.5280246041825986E-19,   4.1531385980232347E-04,   1.2236486370585068E-04,   1.4577460852184683E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,6       ,   0.0000000000000000E+00,   1.0000000000000000E+00,   3.0000000000000000E+00,  -3.8344935573768491E-03,   3.1467828211620423E-03,   5.7535913875696792E-03,  -1.3919825586307037E-03,  -8.2653744302802607E-04,   1.0828285589342581E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,7       ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   1.1005360919656344E-03,  -6.8558818322327314E-04,  -4.0008146980353090E-19,   4.1531385762356797E-04,  -1.2236485891765377E-04,  -1.4577460733913259E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,8       ,   4.0000000000000000E+00,   1.0000000000000000E+00,   3.0000000000000000E+00,   3.8344935312780641E-03,   3.1467828228630497E-03,   5.7535913875713472E-03,  -1.3919825795692654E-03,   8.2653739911849912E-04,  -1.0828285388814222E-03
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,9       ,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,10      ,   6.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,11      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.7500000000000000E-01,  -5.2529922040084466E-05,  -1.2616364212409209E-05,  -1.8048867187497494E-07,   6.5100175869945773E-05,  -2.6500459179295329E-04,   1.8221826065230787E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,12      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   7.5000000000000000E-01,  -1.8942048387273080E-04,  -4.8938904551334366E-05,  -3.0940915178555218E-07,   1.2643293934141840E-04,  -4.4992341222699616E-04,   3.6443652130461587E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,13      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   1.1250000000000000E+00,  -3.8063952123834773E-04,  -1.0755484136734806E-04,  -3.8676143973258565E-07,   1.8399829041441799E-04,  -5.5475646130213061E-04,   5.4665478195692387E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,14      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   1.5000000000000000E+00,  -5.9615486987734485E-04,  -1.8705139501102292E-04,  -4.1254553571433288E-07,   2.3779622908894464E-04,  -5.7950373901835648E-04,   7.2887304260923255E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,15      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   1.8750000000000000E+00,  -8.0593436553013113E-04,  -2.8601578583293153E-04,  -3.8676143973226955E-07,   2.8782675536499791E-04,  -5.2416524537567198E-04,   9.1109130326154096E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,16      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   2.2500000000000000E+00,  -9.7994584393711428E-04,  -4.0303523418364637E-04,  -3.0940915178562979E-07,   3.3408986924257867E-04,  -3.8874098037407521E-04,   1.0933095639138494E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,17      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   2.6250000000000000E+00,  -1.0881571408387033E-03,  -5.3669696041374042E-04,  -1.8048867187498884E-07,   3.7658557072168711E-04,  -1.7323094401356835E-04,   1.2755278245661576E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,18      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   3.7500000000000000E-01,  -1.3131181845047290E-04,   8.1364396860202933E-05,   7.1901843477433489E-04,  -3.9696133252137934E-04,  -6.6970671897808860E-04,   1.3535356986678202E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,19      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   7.5000000000000000E-01,  -4.8342135980703708E-04,   2.9964481952167969E-04,   1.4380884377406340E-03,  -7.3021880427346047E-04,  -1.1775878554991536E-03,   2.7070713973356410E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,20      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   1.1250000000000000E+00,  -9.9564403064830958E-04,   6.3095232019594360E-04,   2.1572100088988978E-03,  -9.9977241525624444E-04,  -1.5236434095631994E-03,   4.0606070960034617E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,21      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   1.5000000000000000E+00,  -1.6072952375529082E-03,   1.0513979510945080E-03,   2.8763831482491258E-03,  -1.2056221654697307E-03,  -1.7078733811702258E-03,   5.4141427946712852E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,22      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   1.8750000000000000E+00,  -2.2576903870994490E-03,   1.5370927644288866E-03,   3.5956078557913182E-03,  -1.3477680549139192E-03,  -1.7302777703202237E-03,   6.7676784933391092E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,23      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   2.2500000000000000E+00,  -2.8861448858665440E-03,   2.0641478124105925E-03,   4.3148841315254751E-03,  -1.4262100835888099E-03,  -1.5908565770131841E-03,   8.1212141920069321E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,24      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   2.6250000000000000E+00,  -3.4319741404328064E-03,   2.6086741472511402E-03,   5.0342119754515956E-03,  -1.4409482514944061E-03,  -1.2896098012491100E-03,   9.4747498906747583E-04
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,25      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   3.7500000000000000E-01,   5.2529921842032326E-05,  -1.2616364696265304E-05,  -1.8048867187510684E-07,   6.5100174710353183E-05,   2.6500459082155617E-04,  -1.8221825917391608E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,26      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   7.5000000000000000E-01,   1.8942048319645552E-04,  -4.8938905131730483E-05,  -3.0940915178598782E-07,   1.2643293727573264E-04,   4.4992341073275106E-04,  -3.6443651834783222E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,27      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   1.1250000000000000E+00,   3.8063951997188418E-04,  -1.0755484175203040E-04,  -3.8676143973247554E-07,   1.8399828769613853E-04,   5.5475645973358649E-04,  -5.4665477752174863E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,28      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   1.5000000000000000E+00,   5.9615486807693401E-04,  -1.8705139500280001E-04,  -4.1254553571453955E-07,   2.3779622597157077E-04,   5.7950373782406322E-04,  -7.2887303669566552E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,29      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   1.8750000000000000E+00,   8.0593436342021993E-04,  -2.8601578532967404E-04,  -3.8676143973225981E-07,   2.8782675210202907E-04,   5.2416524500417802E-04,  -9.1109129586958214E-05
RESU            ,DEPL            ,   1.0000000000000000E+00,                        1,30      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   2.2500000000000000E+00,   9.7994584191035575E-04,  -4.0303523317828738E-04,  -3.0940915178500473E-07,   3.3408986608751424E-04,   3.8874098127393038E-04,  -1.0933095550434985E-04
