#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000001a CALCULE LE 10/09/2026 A 09:13:14 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        1,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.0544996207800950E+06,   7.7821743193546558E+02,   4.3095288340084444E+01,   1.0067542915865940E+02,   7.6018015884880768E+01,   7.3226802686653332E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,1       ,5       ,                        1,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.0544996207800936E+06,   7.7821743193545376E+02,  -2.7230586045542680E+02,   1.0067542915865899E+02,  -1.5319255623016170E+02,  -8.2416683700520832E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,1       ,67      ,                        1,  -1.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.0544996207800943E+06,   7.7821743193545967E+02,  -1.1460528605767115E+02,   1.0067542915865918E+02,  -3.8587270172640466E+01,  -4.5949405069337445E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,2       ,5       ,                        1,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -5.8121954466779972E+05,   8.4300762915450596E-08,   3.1540114766586993E+02,  -2.6407380082418003E-07,   3.8587031473457280E+01,   4.5949405068539157E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,2       ,7       ,                        1,   4.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -5.8121954466780135E+05,   8.4178915532596276E-08,  -3.1540114992422360E+02,  -2.6407420689005107E-07,   3.8587026956445492E+01,   4.5949404731032345E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,2       ,68      ,                        1,   2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -5.8121954466780066E+05,   8.4239839224023449E-08,  -1.1291768373666855E-06,  -2.6407400385711557E-07,   3.8587029214951386E+01,   4.5949404899785748E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,3       ,7       ,                        1,   4.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.0544996207780191E+06,  -7.7821742928359515E+02,   2.7230585597210359E+02,  -1.0067542863051091E+02,  -1.5319255023751546E+02,  -8.2416683397990141E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,3       ,10      ,                        1,   6.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.0544996207780128E+06,  -7.7821742928306662E+02,  -4.3095292823495207E+01,  -1.0067542863051173E+02,   7.6018012911166267E+01,   7.3226802458697978E+02
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,3       ,69      ,                        1,   5.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.0544996207780158E+06,  -7.7821742928333083E+02,   1.1460528157430416E+02,  -1.0067542863051131E+02,  -3.8587268663174598E+01,  -4.5949404696460789E+01
RESU            ,EFGE_ELNO       ,   1.0000000000000000E+00,                        1,4       ,1       ,                        1,   0.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,  -8.1043066020665423E+05,  -4.8916244626722346E+01,   8.1702391367468863E+01,   1.3701743283100706E-01,  -1.1670194951866804E+02,  -3.2614560221807307E+02
