#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000001c CALCULE LE 10/09/2026 A 09:13:14 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,   8.1702391367518487E+01,   4.8916244626722346E+01,   8.1045967546360486E+05,  -3.2614560221807307E+02,   1.1670194951866804E+02,  -1.3701743283098708E-01
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,2       ,   0.0000000000000000E+00,   1.0000000000000000E+00,   0.0000000000000000E+00,   1.6509221109851211E+02,  -8.2713366827601385E+02,   1.1335863559797785E+03,   2.0878986936758574E+03,   2.8716434868988989E+02,  -1.0177498176206345E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,3       ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   0.0000000000000000E+00,  -8.1702390909815620E+01,   4.8916241335274208E+01,   8.1045967546360497E+05,  -3.2614559595485150E+02,  -1.1670194906124021E+02,   1.3701547506965453E-01
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,4       ,   4.0000000000000000E+00,   1.0000000000000000E+00,   0.0000000000000000E+00,  -1.6509221362866577E+02,  -8.2713367890516020E+02,   1.1335863557456673E+03,   2.0878987223633517E+03,  -2.8716435038531773E+02,   1.0177828841194434E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,5       ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -9.8953023552894592E-10,  -9.4644292403245345E-10,  -8.0941195671014697E+05,  -1.0574763287252154E-11,  -8.6448626035462439E-11,   6.0822458181064576E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,6       ,   0.0000000000000000E+00,   1.0000000000000000E+00,   3.0000000000000000E+00,   6.4574123825877905E-11,  -3.4197000786662102E-10,   3.1511149245488923E-10,  -1.6937451441378926E-11,  -1.1031175972675555E-11,   1.3415046851150692E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,7       ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -5.0467861001379788E-09,  -8.2422957348171622E-11,  -8.0941195671489951E+05,   3.0676572393417700E-12,   6.5782934655089775E-12,   9.8793861980084330E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,8       ,   4.0000000000000000E+00,   1.0000000000000000E+00,   3.0000000000000000E+00,  -8.4583007264882326E-11,   1.2350938050076365E-09,   1.5266721220541513E-09,   6.2716498661075093E-13,  -2.7706725802545407E-12,  -1.2619238987099379E-11
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,9       ,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   1.0544996207800957E+06,   7.7821743193546320E+02,   4.3095288340012964E+01,  -1.0067542915865948E+02,   2.3451157752347026E+01,   7.3226802686639871E+02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,10      ,   6.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.0544996207780147E+06,   7.7821742928315427E+02,   4.3095292823409601E+01,  -1.0067542863051160E+02,  -2.3451154778552510E+01,  -7.3226802458685597E+02
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,11      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   3.7500000000000000E-01,   2.7284841053187847E-12,   4.5474735088646412E-13,  -1.3363887774175964E-10,   1.1368683772161603E-13,   4.5474735088646412E-13,  -1.1102230246251565E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,12      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   7.5000000000000000E-01,  -3.6379788070917130E-12,   9.0949470177292824E-13,   9.1409901870065369E-10,  -4.5474735088646412E-13,   7.3896444519050419E-13,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,13      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   1.1250000000000000E+00,   1.3500311979441904E-12,  -9.0949470177292824E-13,  -1.1813767741841730E-09,  -1.0231815394945443E-12,   5.1159076974727213E-13,  -4.7184478546569153E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,14      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   1.5000000000000000E+00,   7.2759576141834259E-12,  -1.8189894035458565E-12,   5.6485305321984924E-10,   9.9475983006414026E-13,   1.7053025658242404E-12,   3.0531133177191805E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,15      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   1.8750000000000000E+00,  -1.0459189070388675E-11,  -1.5461409930139780E-11,  -3.6646952139562927E-10,  -1.1368683772161603E-12,  -4.8316906031686813E-13,  -2.4980018054066022E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,16      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   2.2500000000000000E+00,   5.2295945351943374E-12,   0.0000000000000000E+00,   3.3202240956597961E-10,   3.8369307731045410E-12,  -1.7053025658242404E-13,   2.2204460492503131E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,17      ,   0.0000000000000000E+00,  -1.0000000000000000E+00,   2.6250000000000000E+00,   1.3741896509600338E-11,   1.6370904631912708E-11,   9.9191765912109986E-11,  -1.7337242752546445E-12,   3.3395508580724709E-12,  -1.9706458687096529E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,18      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   3.7500000000000000E-01,  -9.0949470177292824E-13,   1.8189894035458565E-12,   2.1560708773904480E-10,  -1.5916157281026244E-12,   2.2737367544323206E-13,  -4.4408920985006262E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,19      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   7.5000000000000000E-01,   4.5474735088646412E-12,   1.0913936421275139E-11,  -4.8288484322256409E-10,   9.0949470177292824E-13,   1.5916157281026244E-12,   4.4408920985006262E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,20      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   1.1250000000000000E+00,   3.6379788070917130E-12,   1.4551915228366852E-11,  -2.5005419956869446E-10,  -5.6843418860808015E-12,   2.7284841053187847E-12,  -1.9984014443252818E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,21      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   1.5000000000000000E+00,   0.0000000000000000E+00,  -2.5465851649641991E-11,   4.4843773139291443E-10,  -9.4360075308941305E-12,   9.0949470177292824E-13,  -1.5543122344752192E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,22      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   1.8750000000000000E+00,  -1.4551915228366852E-11,   4.3655745685100555E-11,  -4.8288484322256409E-10,  -2.7284841053187847E-12,  -6.7075234255753458E-12,   2.2204460492503131E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,23      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   2.2500000000000000E+00,   3.4560798667371273E-11,  -9.4587448984384537E-11,   4.4843773139291443E-10,   2.0008883439004421E-11,  -1.3642420526593924E-12,   0.0000000000000000E+00
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,24      ,   0.0000000000000000E+00,   1.0000000000000000E+00,   2.6250000000000000E+00,  -6.4574123825877905E-11,   4.0017766878008842E-11,   1.8454215933161322E-09,  -9.3223206931725144E-12,   5.6274984672199935E-12,   6.6613381477509392E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,25      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   3.7500000000000000E-01,  -1.3642420526593924E-12,   1.3642420526593924E-12,   9.9191765912109986E-11,   1.7053025658242404E-13,  -2.2737367544323206E-13,   8.3266726846886741E-17
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,26      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   7.5000000000000000E-01,   6.3664629124104977E-12,  -3.1832314562052488E-12,  -1.3363887774175964E-10,  -1.1368683772161603E-13,  -1.7053025658242404E-13,   1.3877787807814457E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,27      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   1.1250000000000000E+00,  -5.4711790653527714E-12,   5.4569682106375694E-12,  -1.3363887774175964E-10,  -6.8212102632969618E-13,   3.9790393202565610E-13,   4.1633363423443370E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,28      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   1.5000000000000000E+00,  -3.1832314562052488E-12,  -6.3664629124104977E-12,  -1.7223555914824829E-11,   1.7337242752546445E-12,  -7.9580786405131221E-13,  -2.2204460492503131E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,29      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   1.8750000000000000E+00,   3.1832314562052488E-12,  -1.1823431123048067E-11,  -8.3213080870336853E-10,   1.0516032489249483E-12,  -7.1054273576010019E-13,  -3.8857805861880479E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,30      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   2.2500000000000000E+00,  -1.3642420526593924E-12,  -2.7284841053187847E-12,   2.3110828806238715E-09,  -1.4210854715202004E-13,  -4.2632564145606011E-13,   2.7755575615628914E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,31      ,   4.0000000000000000E+00,  -1.0000000000000000E+00,   2.6250000000000000E+00,  -3.0837554731988348E-12,  -1.6370904631912708E-11,  -1.4142074178380426E-09,   3.4674485505092889E-12,  -1.4210854715202004E-13,  -4.0523140398818214E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,32      ,   4.0000000000000000E+00,   1.0000000000000000E+00,   3.7500000000000000E-01,   4.0927261579781771E-12,  -3.6379788070917130E-12,   4.4843773139291443E-10,  -2.2737367544323206E-13,   6.8212102632969618E-13,   4.4408920985006262E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,33      ,   4.0000000000000000E+00,   1.0000000000000000E+00,   7.5000000000000000E-01,   6.3664629124104977E-12,   1.8189894035458565E-11,   9.9191765912109986E-11,  -1.5916157281026244E-12,   2.0463630789890885E-12,   2.2204460492503131E-16
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,34      ,   4.0000000000000000E+00,   1.0000000000000000E+00,   1.1250000000000000E+00,  -1.0913936421275139E-11,   4.0017766878008842E-11,  -2.1126993487996515E-09,  -6.5938365878537297E-12,  -9.0949470177292824E-13,   3.1086244689504383E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,35      ,   4.0000000000000000E+00,   1.0000000000000000E+00,   1.5000000000000000E+00,  -3.2741809263825417E-11,  -6.1845639720559120E-11,   1.3797603060083929E-09,  -1.3869794202037156E-11,  -2.7284841053187847E-12,  -3.7747582837255322E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,36      ,   4.0000000000000000E+00,   1.0000000000000000E+00,   1.8750000000000000E+00,   1.8189894035458565E-11,   1.0913936421275139E-11,   9.1409901870065369E-10,   9.2086338554508984E-12,  -4.8885340220294893E-12,   2.2204460492503131E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,37      ,   4.0000000000000000E+00,   1.0000000000000000E+00,   2.2500000000000000E+00,  -1.1823431123048067E-11,   7.2759576141834259E-11,  -2.3455299924535211E-09,  -1.2505552149377763E-12,   4.3200998334214091E-12,  -4.6629367034256575E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,38      ,   4.0000000000000000E+00,   1.0000000000000000E+00,   2.6250000000000000E+00,   2.5465851649641991E-11,  -1.2732925824820995E-10,  -9.4854613053030334E-10,  -8.0717654782347381E-12,   9.5496943686157465E-12,   2.4424906541753444E-15
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,39      ,   5.0000000000000000E-01,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -1.7462298274040222E-10,   6.2527760746888816E-12,   3.0674129902763525E-11,  -1.3562556026164296E-15,   3.3821834222180769E-12,  -2.5153212845907547E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,40      ,   1.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,  -5.8207660913467407E-11,  -8.4696694102603942E-12,  -4.2277292777725961E-12,  -3.4148133268557118E-17,  -4.4337866711430252E-12,   9.9475983006414026E-13
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,41      ,   1.5000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.8207660913467407E-11,   9.4300983334395859E-12,  -1.8594903394841822E-11,  -6.5811474251879096E-16,   1.5916157281026244E-12,  -1.5489831639570184E-12
RESU            ,REAC_NODA       ,   1.0000000000000000E+00,                        1,42      ,   2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   0.0000000000000000E+00,  -9.3164114957179698E-12,   7.6383344094210770E-12,   1.0353177876529937E-16,   3.1548097467748448E-12,   1.6768808563938364E-12
