#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 0000001d CALCULE LE 10/09/2026 A 01:02:44 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,VMIS
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        1,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.2304449220108157E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        2,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.2045608684652883E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        3,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1791481614419150E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        4,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1551833028798717E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        5,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1335871743252110E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        6,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1151896601478297E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        7,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1006977629907918E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        8,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.0906684352991027E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                        9,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.0854871705513006E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       10,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.0853531776523793E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       11,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.0902717100637698E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       12,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1000538470806772E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       13,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1143237385708928E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       14,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1325330373879653E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       15,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1539819666663116E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       16,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.1778462131252885E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       17,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.2032086124393243E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       18,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.2290944075596672E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       19,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.2545087228906190E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       20,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.2784748118121713E+08
RESU            ,SIEQ_ELNO       ,   1.0000000000000000E+00,                        1,1       ,9       ,                       21,  -2.0000000000000000E+00,  -1.0000000000000000E+00,   3.0000000000000000E+00,   5.3000716054696029E+08
