#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000034 CALCULE LE 10/09/2026 A 01:01:07 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ
RESU            ,DEPL            , 0.00000E+00,           1,1       ,-9.79685E-18, 0.00000E+00, 4.00000E-02,-3.10904E-07,-3.79095E-06, 5.71136E-06
RESU            ,DEPL            , 0.00000E+00,           1,2       , 8.00000E-02, 9.79685E-18, 4.00000E-02,-6.58139E-07,-6.78383E-06, 3.83606E-06
RESU            ,DEPL            , 0.00000E+00,           1,3       ,-8.00000E-02, 9.79685E-18, 4.00000E-02, 0.00000E+00,-5.32553E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,4       , 4.00000E-02, 4.00000E-02,-9.79685E-18,-1.37135E-06,-8.26487E-06,-1.18860E-07
RESU            ,DEPL            , 0.00000E+00,           1,5       , 4.89843E-18, 0.00000E+00,-4.00000E-02,-3.27613E-07,-3.80812E-06,-5.82012E-06
RESU            ,DEPL            , 0.00000E+00,           1,6       ,-9.79685E-18, 8.00000E-02, 4.00000E-02, 2.77515E-06,-4.08958E-06, 2.02020E-06
RESU            ,DEPL            , 0.00000E+00,           1,7       ,-1.22461E-17, 0.00000E+00, 5.00000E-02,-8.39880E-07,-4.48771E-06, 5.60719E-06
RESU            ,DEPL            , 0.00000E+00,           1,8       , 8.00000E-02, 1.22461E-17, 5.00000E-02,-4.76033E-07,-6.69473E-06, 3.74242E-06
RESU            ,DEPL            , 0.00000E+00,           1,9       ,-8.00000E-02, 1.22461E-17, 5.00000E-02, 0.00000E+00, 7.74835E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,10      , 5.00000E-02, 5.00000E-02, 0.00000E+00,-1.17689E-06,-9.05532E-06,-1.21221E-07
RESU            ,DEPL            , 0.00000E+00,           1,11      , 6.12303E-18, 0.00000E+00,-5.00000E-02,-8.78286E-07,-4.51343E-06,-5.71622E-06
RESU            ,DEPL            , 0.00000E+00,           1,12      ,-1.22461E-17, 8.00000E-02, 5.00000E-02, 2.70499E-06,-3.61361E-06, 1.92917E-06
RESU            ,DEPL            , 0.00000E+00,           1,13      , 1.00000E-02, 9.79685E-18, 4.00000E-02,-4.45212E-07,-4.27045E-06, 6.11262E-06
RESU            ,DEPL            , 0.00000E+00,           1,14      , 2.00000E-02, 9.79685E-18, 4.00000E-02,-5.70581E-07,-4.75238E-06, 6.14108E-06
RESU            ,DEPL            , 0.00000E+00,           1,15      , 3.00000E-02, 9.79685E-18, 4.00000E-02,-6.50420E-07,-5.20877E-06, 5.86572E-06
RESU            ,DEPL            , 0.00000E+00,           1,16      , 4.00000E-02, 9.79685E-18, 4.00000E-02,-6.88000E-07,-5.61440E-06, 5.42282E-06
RESU            ,DEPL            , 0.00000E+00,           1,17      , 5.00000E-02, 9.79685E-18, 4.00000E-02,-6.98686E-07,-5.96374E-06, 4.93187E-06
RESU            ,DEPL            , 0.00000E+00,           1,18      , 6.00000E-02, 9.79685E-18, 4.00000E-02,-6.95535E-07,-6.26239E-06, 4.47010E-06
RESU            ,DEPL            , 0.00000E+00,           1,19      , 7.00000E-02, 9.79685E-18, 4.00000E-02,-6.81464E-07,-6.53276E-06, 4.08862E-06
RESU            ,DEPL            , 0.00000E+00,           1,20      , 5.00000E-03, 9.79685E-18, 4.00000E-02,-3.74379E-07,-4.02709E-06, 5.95549E-06
RESU            ,DEPL            , 0.00000E+00,           1,21      , 1.50000E-02, 9.79685E-18, 4.00000E-02,-5.12247E-07,-4.51055E-06, 6.17057E-06
RESU            ,DEPL            , 0.00000E+00,           1,22      , 2.50000E-02, 9.79685E-18, 4.00000E-02,-6.17061E-07,-4.98386E-06, 6.03061E-06
RESU            ,DEPL            , 0.00000E+00,           1,23      , 3.50000E-02, 9.79685E-18, 4.00000E-02,-6.74161E-07,-5.41801E-06, 5.65401E-06
RESU            ,DEPL            , 0.00000E+00,           1,24      , 4.50000E-02, 9.79685E-18, 4.00000E-02,-6.95551E-07,-5.79618E-06, 5.17429E-06
RESU            ,DEPL            , 0.00000E+00,           1,25      , 5.50000E-02, 9.79685E-18, 4.00000E-02,-6.98848E-07,-6.11842E-06, 4.69054E-06
RESU            ,DEPL            , 0.00000E+00,           1,26      , 6.50000E-02, 9.79685E-18, 4.00000E-02,-6.89835E-07,-6.39986E-06, 4.26346E-06
RESU            ,DEPL            , 0.00000E+00,           1,27      , 7.50000E-02, 9.79685E-18, 4.00000E-02,-6.70483E-07,-6.66402E-06, 3.93997E-06
RESU            ,DEPL            , 0.00000E+00,           1,28      , 2.50000E-03, 9.79685E-18, 4.00000E-02,-3.40965E-07,-3.90875E-06, 5.84240E-06
RESU            ,DEPL            , 0.00000E+00,           1,29      , 7.50000E-03, 9.79685E-18, 4.00000E-02,-4.10743E-07,-4.14889E-06, 6.04496E-06
RESU            ,DEPL            , 0.00000E+00,           1,30      , 1.25000E-02, 9.79685E-18, 4.00000E-02,-4.78255E-07,-4.39063E-06, 6.15196E-06
RESU            ,DEPL            , 0.00000E+00,           1,31      , 1.75000E-02, 9.79685E-18, 4.00000E-02,-5.43322E-07,-4.63264E-06, 6.16462E-06
RESU            ,DEPL            , 0.00000E+00,           1,32      , 2.25000E-02, 9.79685E-18, 4.00000E-02,-5.94303E-07,-4.86852E-06, 6.09243E-06
RESU            ,DEPL            , 0.00000E+00,           1,33      , 2.75000E-02, 9.79685E-18, 4.00000E-02,-6.35392E-07,-5.09833E-06, 5.95362E-06
RESU            ,DEPL            , 0.00000E+00,           1,34      , 3.25000E-02, 9.79685E-18, 4.00000E-02,-6.62940E-07,-5.31424E-06, 5.76292E-06
RESU            ,DEPL            , 0.00000E+00,           1,35      , 3.75000E-02, 9.79685E-18, 4.00000E-02,-6.81737E-07,-5.51856E-06, 5.54010E-06
RESU            ,DEPL            , 0.00000E+00,           1,36      , 4.25000E-02, 9.79685E-18, 4.00000E-02,-6.92551E-07,-5.70629E-06, 5.29904E-06
RESU            ,DEPL            , 0.00000E+00,           1,37      , 4.75000E-02, 9.79685E-18, 4.00000E-02,-6.97035E-07,-5.88173E-06, 5.05258E-06
RESU            ,DEPL            , 0.00000E+00,           1,38      , 5.25000E-02, 9.79685E-18, 4.00000E-02,-6.99357E-07,-6.04171E-06, 4.80977E-06
RESU            ,DEPL            , 0.00000E+00,           1,39      , 5.75000E-02, 9.79685E-18, 4.00000E-02,-6.96961E-07,-6.19185E-06, 4.57821E-06
RESU            ,DEPL            , 0.00000E+00,           1,40      , 6.25000E-02, 9.79685E-18, 4.00000E-02,-6.93557E-07,-6.33156E-06, 4.36407E-06
RESU            ,DEPL            , 0.00000E+00,           1,41      , 6.75000E-02, 9.79685E-18, 4.00000E-02,-6.85333E-07,-6.46662E-06, 4.17307E-06
RESU            ,DEPL            , 0.00000E+00,           1,42      , 7.25000E-02, 9.79685E-18, 4.00000E-02,-6.76803E-07,-6.59827E-06, 4.01025E-06
RESU            ,DEPL            , 0.00000E+00,           1,43      , 7.75000E-02, 9.79685E-18, 4.00000E-02,-6.63595E-07,-6.72600E-06, 3.88330E-06
RESU            ,DEPL            , 0.00000E+00,           1,44      ,-7.00000E-02, 9.79685E-18, 4.00000E-02, 1.89145E-07,-3.49554E-07, 5.43488E-07
RESU            ,DEPL            , 0.00000E+00,           1,45      ,-6.00000E-02, 9.79685E-18, 4.00000E-02, 1.26951E-07,-7.92336E-07, 1.29774E-06
RESU            ,DEPL            , 0.00000E+00,           1,46      ,-5.00000E-02, 9.79685E-18, 4.00000E-02, 1.25163E-09,-1.29246E-06, 2.03945E-06
