#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000035 CALCULE LE 27/08/2026 A 12:40:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ
RESU            ,FORC_NODA       , 0.00000E+00,           1,1       ,-9.79685E-18, 0.00000E+00, 4.00000E-02, 7.79341E-04, 5.34773E-02, 6.24566E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,2       , 8.00000E-02, 9.79685E-18, 4.00000E-02, 1.39903E-05, 5.83237E-03, 4.88717E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,3       ,-8.00000E-02, 9.79685E-18, 4.00000E-02,-1.26546E+01,-1.23239E-01,-1.00410E+01
RESU            ,FORC_NODA       , 0.00000E+00,           1,4       , 4.00000E-02, 4.00000E-02,-9.79685E-18,-7.37677E-03,-4.32363E-03,-2.51073E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,5       , 4.89843E-18, 0.00000E+00,-4.00000E-02,-6.01162E-04, 5.71672E-02,-4.70368E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,6       ,-9.79685E-18, 8.00000E-02, 4.00000E-02,-1.13940E-02, 1.30016E-05, 5.77115E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,7       ,-1.22461E-17, 0.00000E+00, 5.00000E-02,-1.28586E-12,-6.99507E-12, 9.27377E-04
RESU            ,FORC_NODA       , 0.00000E+00,           1,8       , 8.00000E-02, 1.22461E-17, 5.00000E-02, 1.67061E-13, 1.88616E-12, 1.71157E-04
RESU            ,FORC_NODA       , 0.00000E+00,           1,9       ,-8.00000E-02, 1.22461E-17, 5.00000E-02, 1.23346E+01,-2.75516E-01,-1.52746E+01
RESU            ,FORC_NODA       , 0.00000E+00,           1,10      , 5.00000E-02, 5.00000E-02, 0.00000E+00, 3.12431E-12,-2.28839E-12, 1.14876E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,11      , 6.12303E-18, 0.00000E+00,-5.00000E-02, 4.70735E-13,-3.40172E-12, 9.68131E-04
RESU            ,FORC_NODA       , 0.00000E+00,           1,12      ,-1.22461E-17, 8.00000E-02, 5.00000E-02,-3.76088E-13,-7.74956E-13, 1.87648E-04
RESU            ,FORC_NODA       , 0.00000E+00,           1,13      , 5.00000E-03, 9.79685E-18, 4.00000E-02, 7.87655E-07, 4.05810E-02, 6.65807E-03
