#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000016 CALCULE LE 08/09/2026 A 22:54:08 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            , 1.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,2       , 3.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,-2.22774E-03, 1.45432E-04,-3.10306E-04
RESU            ,DEPL            , 1.00000E+00,           1,3       , 3.30000E+00, 3.00000E-01, 0.00000E+00, 5.58302E-04, 3.61570E-04,-7.72311E-04,-2.44278E-03, 1.47717E-04,-2.51246E-04
RESU            ,DEPL            , 1.00000E+00,           1,4       , 3.30000E+00, 2.30000E+00, 0.00000E+00, 5.11838E-04, 3.43657E-03,-3.79263E-03, 3.54745E-04,-1.95306E-04, 1.62667E-04
RESU            ,DEPL            , 1.00000E+00,           1,5       , 3.30000E+00, 2.60000E+00, 3.00000E-01, 3.92371E-04, 3.54921E-03,-3.08136E-03, 1.57397E-03,-2.57376E-04, 1.39506E-04
RESU            ,DEPL            , 1.00000E+00,           1,6       , 3.30000E+00, 2.60000E+00, 2.30000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,7       , 3.02941E+00, 1.44458E-03, 0.00000E+00, 4.96807E-05,-7.28797E-06,-7.94491E-06,-2.24937E-03, 1.55166E-04,-3.20593E-04
RESU            ,DEPL            , 1.00000E+00,           1,8       , 3.05853E+00, 5.76442E-03, 0.00000E+00, 9.53667E-05,-1.05006E-05,-2.25523E-05,-2.27048E-03, 1.63409E-04,-3.28922E-04
RESU            ,DEPL            , 1.00000E+00,           1,9       , 3.08709E+00, 1.29179E-02, 0.00000E+00, 1.41911E-04,-9.22720E-06,-4.38235E-05,-2.29091E-03, 1.69856E-04,-3.34847E-04
RESU            ,DEPL            , 1.00000E+00,           1,10      , 3.11481E+00, 2.28361E-02, 0.00000E+00, 1.88022E-04,-3.56387E-06,-7.16115E-05,-2.31046E-03, 1.74590E-04,-3.38402E-04
RESU            ,DEPL            , 1.00000E+00,           1,11      , 3.14142E+00, 3.54236E-02, 0.00000E+00, 2.33388E-04, 6.54410E-06,-1.05693E-04,-2.32902E-03, 1.77731E-04,-3.39684E-04
RESU            ,DEPL            , 1.00000E+00,           1,12      , 3.16667E+00, 5.05591E-02, 0.00000E+00, 2.77528E-04, 2.10519E-05,-1.45777E-04,-2.34644E-03, 1.79415E-04,-3.38813E-04
RESU            ,DEPL            , 1.00000E+00,           1,13      , 3.19032E+00, 6.80969E-02, 0.00000E+00, 3.19982E-04, 3.98704E-05,-1.91508E-04,-2.36262E-03, 1.79784E-04,-3.35933E-04
RESU            ,DEPL            , 1.00000E+00,           1,14      , 3.21213E+00, 8.78680E-02, 0.00000E+00, 3.60290E-04, 6.28522E-05,-2.42469E-04,-2.37747E-03, 1.78982E-04,-3.31206E-04
