#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000015 CALCULE LE 08/09/2026 A 13:53:13 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,1       ,           1, 0.00000E+00, 0.00000E+00, 0.00000E+00,-6.63043E+05,-2.16092E+02, 3.24888E+01,-3.60015E+02, 1.34476E+02,-4.87157E+01
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,2       ,           1, 3.00000E+00, 0.00000E+00, 0.00000E+00,-6.63043E+05, 1.18442E+02,-3.02045E+02,-3.60015E+02,-2.69858E+02, 9.77597E+01
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,1       ,37      ,           1, 1.50000E+00, 0.00000E+00, 0.00000E+00,-6.63043E+05,-4.88251E+01,-1.34778E+02,-3.60015E+02,-6.76908E+01, 2.45220E+01
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,3       ,           1, 3.30000E+00, 3.00000E-01, 0.00000E+00,-1.84887E+03,-7.93094E+02, 6.68934E+02,-8.31514E+01, 1.81720E+02,-1.81718E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,4       ,           1, 3.30000E+00, 2.30000E+00, 0.00000E+00,-1.84887E+03,-5.78560E+02, 4.37735E+02,-8.31514E+01, 1.28839E+03, 1.18994E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,2       ,38      ,           1, 3.30000E+00, 1.30000E+00, 0.00000E+00,-1.84887E+03,-6.85827E+02, 5.53335E+02,-8.31514E+01, 7.35055E+02, 5.04110E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,5       ,           1, 3.30000E+00, 2.60000E+00, 3.00000E-01,-6.40122E+02, 1.21800E+03,-1.39670E+03,-3.38174E+01, 9.88568E+02, 9.24584E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,6       ,           1, 3.30000E+00, 2.60000E+00, 2.30000E+00,-3.24721E+02, 1.21800E+03,-1.39670E+03,-3.38174E+01,-1.80484E+03,-1.51142E+03
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,3       ,39      ,           1, 3.30000E+00, 2.60000E+00, 1.30000E+00,-4.82422E+02, 1.21800E+03,-1.39670E+03,-3.38174E+01,-4.08134E+02,-2.93418E+02
RESU            ,EFGE_ELNO       , 1.00000E+00,           1,4       ,2       ,           1, 3.00000E+00, 0.00000E+00, 0.00000E+00,-2.16927E+02, 5.21936E+02, 2.08179E+03,-3.47807E+02,-3.65768E+02, 2.06813E+00
