#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000017 CALCULE LE 01/07/2026 A 11:21:23 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,FORC_NODA       , 1.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 6.63043E+05,-3.99991E+03, 4.14363E+02, 2.69219E+02,-4.13435E+02,-4.03002E+03
RESU            ,FORC_NODA       , 1.00000E+00,           1,2       , 3.00000E+00, 0.00000E+00, 0.00000E+00,-6.60729E+05, 5.24931E+04, 7.27786E+01,-3.33159E-10, 3.38787E-11, 1.35333E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,3       , 3.30000E+00, 3.00000E-01, 0.00000E+00,-1.53509E-07,-5.33407E+01, 7.01675E-09, 1.19519E-09, 7.66249E-11, 4.94401E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,4       , 3.30000E+00, 2.30000E+00, 0.00000E+00,-1.81611E-07,-4.69577E+04, 5.26186E-08, 6.88715E-10, 6.82121E-13, 6.67796E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,5       , 3.30000E+00, 2.60000E+00, 3.00000E-01,-2.50921E-07,-5.33407E+01,-6.89122E-07, 2.86605E-10, 2.55704E-09,-2.15186E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,6       , 3.30000E+00, 2.60000E+00, 2.30000E+00,-2.31465E+03,-5.47484E+02,-4.87141E+02,-5.59092E+02, 4.34790E+03,-1.54124E+01
RESU            ,FORC_NODA       , 1.00000E+00,           1,7       , 3.02941E+00, 1.44458E-03, 0.00000E+00,-1.22541E-08,-1.54760E+00, 3.54760E-09,-3.22814E-10, 2.52044E-10, 2.50748E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,8       , 3.05853E+00, 5.76442E-03, 0.00000E+00,-2.18188E-09,-1.54760E+00, 2.63486E-09, 3.18494E-10,-5.87761E-11,-9.54060E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,9       , 3.08709E+00, 1.29179E-02, 0.00000E+00,-2.88965E-08,-1.54760E+00,-4.49040E-09, 1.26761E-11,-1.74737E-10,-1.93177E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,10      , 3.11481E+00, 2.28361E-02, 0.00000E+00,-2.08256E-08,-1.54760E+00,-8.26128E-09,-4.64411E-11, 7.81029E-11, 1.52977E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,11      , 3.14142E+00, 3.54236E-02, 0.00000E+00, 1.90630E-08,-1.54760E+00, 4.83845E-09, 2.50765E-10, 1.31308E-10,-5.82304E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,12      , 3.16667E+00, 5.05591E-02, 0.00000E+00, 4.05380E-08,-1.54760E+00, 2.45393E-09, 2.64436E-10, 9.62928E-11,-1.11152E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,13      , 3.19032E+00, 6.80969E-02, 0.00000E+00, 2.50948E-07,-1.54760E+00, 1.14916E-08, 5.28786E-10, 4.05407E-10, 2.56478E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,14      , 3.21213E+00, 8.78680E-02, 0.00000E+00, 6.19548E-08,-1.54760E+00, 2.54829E-10,-6.43922E-10,-3.05363E-10, 1.55728E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,15      , 3.23190E+00, 1.09682E-01, 0.00000E+00,-1.80273E-07,-1.54760E+00,-3.57204E-09,-1.73742E-10, 1.47907E-10, 5.56611E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,16      , 3.24944E+00, 1.33329E-01, 0.00000E+00,-4.35393E-08,-1.54760E+00,-1.55995E-09, 8.15845E-10, 1.60014E-09, 2.07774E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,17      , 3.26458E+00, 1.58581E-01, 0.00000E+00, 3.68193E-07,-1.54760E+00, 1.20201E-09, 3.85398E-11, 3.32875E-10, 1.26829E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,18      , 3.27716E+00, 1.85195E-01, 0.00000E+00, 2.72657E-07,-1.54760E+00,-9.98739E-10,-5.96259E-10,-7.86258E-10,-3.53430E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,19      , 3.28708E+00, 2.12915E-01, 0.00000E+00, 1.32010E-07,-1.54760E+00,-1.01443E-09, 3.66555E-10, 1.02887E-09,-3.03771E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,20      , 3.29424E+00, 2.41473E-01, 0.00000E+00, 3.69336E-07,-1.54760E+00,-7.70842E-09, 6.77858E-11, 4.50200E-10,-1.04137E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,21      , 3.29856E+00, 2.70595E-01, 0.00000E+00,-2.52535E-08,-1.54760E+00, 5.68826E-09, 3.51065E-10,-4.47130E-10,-2.41016E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,22      , 3.30000E+00, 2.32941E+00, 1.44458E-03,-4.46509E-07,-1.54760E+00, 1.19948E-07, 3.20028E-10, 3.63798E-12, 4.47130E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,23      , 3.30000E+00, 2.35853E+00, 5.76442E-03, 6.13563E-07,-1.54760E+00,-2.33032E-07, 4.41673E-10, 4.66116E-12, 2.31717E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,24      , 3.30000E+00, 2.38709E+00, 1.29179E-02,-4.66940E-07,-1.54760E+00, 1.60495E-07, 3.41402E-10,-1.02341E-09, 1.61083E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,25      , 3.30000E+00, 2.41481E+00, 2.28361E-02,-5.11442E-07,-1.54760E+00, 2.18620E-07, 3.56749E-10,-1.65164E-09, 1.88368E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,26      , 3.30000E+00, 2.44142E+00, 3.54236E-02, 6.99235E-07,-1.54760E+00,-3.39121E-07, 1.54614E-10,-2.92175E-10, 2.38003E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,27      , 3.30000E+00, 2.46667E+00, 5.05591E-02, 8.33306E-07,-1.54760E+00,-2.83281E-07, 3.11388E-10,-9.43032E-10, 2.10571E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,28      , 3.30000E+00, 2.49032E+00, 6.80969E-02, 1.65404E-06,-1.54760E+00,-1.01747E-07, 5.05906E-10, 1.92131E-10, 7.66079E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,29      , 3.30000E+00, 2.51213E+00, 8.78680E-02,-2.03418E-07,-1.54760E+00, 2.92422E-07, 2.52044E-10,-2.48735E-09,-5.34442E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,30      , 3.30000E+00, 2.53190E+00, 1.09682E-01,-4.29730E-07,-1.54760E+00,-2.55738E-07, 1.07775E-10,-1.51852E-09, 1.40761E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,31      , 3.30000E+00, 2.54944E+00, 1.33329E-01, 4.05747E-07,-1.54760E+00,-4.47233E-07,-5.24778E-10, 1.08389E-09, 2.90441E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,32      , 3.30000E+00, 2.56458E+00, 1.58581E-01, 1.45339E-06,-1.54760E+00,-1.86517E-07,-2.82057E-10,-9.75092E-10, 4.08221E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,33      , 3.30000E+00, 2.57716E+00, 1.85195E-01, 8.47635E-07,-1.54760E+00,-1.75737E-09,-7.88987E-11,-3.81715E-09, 3.52202E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,34      , 3.30000E+00, 2.58708E+00, 2.12915E-01, 3.20480E-07,-1.54760E+00, 3.14246E-07, 3.29919E-10,-1.79409E-09, 1.66253E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,35      , 3.30000E+00, 2.59424E+00, 2.41473E-01, 1.52917E-07,-1.54760E+00, 1.36686E-06, 5.32054E-11,-9.76627E-10,-4.16449E-11
RESU            ,FORC_NODA       , 1.00000E+00,           1,36      , 3.30000E+00, 2.59856E+00, 2.70595E-01,-3.88417E-07,-1.54760E+00, 3.92712E-07,-1.75078E-10,-1.51732E-09,-4.11898E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,37      , 1.50000E+00, 0.00000E+00, 0.00000E+00,-1.15620E-10,-3.15401E+02, 8.34101E-11, 4.59982E-12, 1.07676E-10, 8.26589E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,38      , 3.30000E+00, 1.30000E+00, 0.00000E+00,-5.12907E-09,-2.10267E+02, 1.20333E-10,-2.95071E-09, 1.14708E-12,-7.57276E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,39      , 3.30000E+00, 2.60000E+00, 1.30000E+00, 4.52665E-10,-2.10267E+02, 4.42618E-09, 2.84663E-10,-2.20576E-09, 2.15938E-13
RESU            ,FORC_NODA       , 1.00000E+00,           1,40      , 3.01470E+00, 7.22291E-04, 0.00000E+00,-5.29765E-09,-3.09520E+00, 7.76095E-10,-7.27595E-10, 1.87925E-10, 2.85458E-09
