#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000018 CALCULE LE 27/08/2026 A 15:08:31 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,VMIS
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           1, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.77860E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           2, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.88227E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           3, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.96376E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           4, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.01992E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           5, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.04860E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           6, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.04870E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           7, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.02019E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           8, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.96419E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,           9, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.88285E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          10, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.77928E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          11, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.65746E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          12, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.52209E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          13, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.37836E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          14, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.23181E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          15, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.08806E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          16, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.95264E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          17, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.83077E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          18, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.72712E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          19, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.64568E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          20, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.58958E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          21, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.56096E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          22, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.56092E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          23, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.58946E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          24, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.64547E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          25, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.72681E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          26, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.83036E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          27, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.95212E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          28, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.08744E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          29, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.23111E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          30, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.37761E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          31, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.52132E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          32, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.65672E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          33, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.77860E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          34, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.77898E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          35, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.88279E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          36, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.96438E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          37, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.02062E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          38, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.04933E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          39, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.04942E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          40, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.02088E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          41, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.96480E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          42, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.88335E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          43, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.77964E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          44, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.65766E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          45, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.52210E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          46, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.37817E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          47, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.23141E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          48, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.08745E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          49, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.95184E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          50, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.82978E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          51, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.72598E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          52, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.64441E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          53, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.58822E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          54, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.55956E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          55, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.55952E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          56, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.58811E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          57, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.64422E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          58, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.72570E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          59, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.82940E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          60, 0.00000E+00, 0.00000E+00, 0.00000E+00, 2.95135E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          61, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.08687E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          62, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.23074E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          63, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.37745E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          64, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.52136E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          65, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.65694E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          66, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.77898E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          67, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.77936E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          68, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.88331E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          69, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.96501E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          70, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.02131E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          71, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.05006E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          72, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.05015E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          73, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.02157E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          74, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.96542E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          75, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.88385E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          76, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.78000E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          77, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.65786E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          78, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.52211E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          79, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.37798E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          80, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.23101E+08
RESU            ,SIEQ_ELNO       , 1.00000E+00,           1,1       ,1       ,          81, 0.00000E+00, 0.00000E+00, 0.00000E+00, 3.08685E+08
