#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000016 CALCULE LE 29/07/2026 A 12:01:46 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            , 1.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,2       , 3.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,-1.66574E-03,-9.90540E-04,-9.93768E-03
RESU            ,DEPL            , 1.00000E+00,           1,3       , 3.30000E+00, 3.00000E-01, 0.00000E+00, 3.66100E-03,-2.86061E-03,-1.79869E-04,-1.92134E-03,-1.80252E-03,-9.56890E-03
RESU            ,DEPL            , 1.00000E+00,           1,4       , 3.30000E+00, 2.30000E+00, 0.00000E+00, 1.08267E-02,-1.36123E-19,-3.38799E-03,-7.66131E-04,-5.82810E-03,-7.02068E-05
RESU            ,DEPL            , 1.00000E+00,           1,5       , 3.30000E+00, 2.60000E+00, 3.00000E-01, 8.92417E-03, 5.67234E-04,-3.08133E-03,-1.30094E-04,-6.45131E-03, 6.36104E-05
RESU            ,DEPL            , 1.00000E+00,           1,6       , 3.30000E+00, 2.60000E+00, 2.30000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,7       , 3.02941E+00, 1.44458E-03, 0.00000E+00, 6.40597E-05,-3.06126E-04, 2.71678E-05,-1.68263E-03,-1.02996E-03,-1.02835E-02
RESU            ,DEPL            , 1.00000E+00,           1,8       , 3.05853E+00, 5.76442E-03, 0.00000E+00, 1.53976E-04,-6.11699E-04, 5.03505E-05,-1.70052E-03,-1.07048E-03,-1.05783E-02
RESU            ,DEPL            , 1.00000E+00,           1,9       , 3.08709E+00, 1.29179E-02, 0.00000E+00, 2.75614E-04,-9.13985E-04, 6.91940E-05,-1.71924E-03,-1.11243E-03,-1.08102E-02
RESU            ,DEPL            , 1.00000E+00,           1,10      , 3.11481E+00, 2.28361E-02, 0.00000E+00, 4.27785E-04,-1.20833E-03, 8.33880E-05,-1.73857E-03,-1.15599E-03,-1.09800E-02
